ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,out_type
14.2," Rutherford to Shankar, 1 run, Rutherford shortens his length on Shankar's pads, nudged behind square on the on-side for a single ",1st Inns,Eli,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Axar Patel, Keemo Paul, Amit Mishra, Ishant Sharma, Trent Boult","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Martin Guptill, Manish Pandey, Kane Williamson(c), Vijay Shankar, Mohammad Nabi, Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Basil Thampi",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 08,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 2 wkts,Rishabh Pant,DC,field,SRH,DC,Shankar, Rutherford,1,0,Short,,square,,
14.1," Rutherford to Williamson, 1 run, short, slower ball outside off, Williamson backs away and cuts it square on the off-side for a single ",1st Inns,Eli,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Axar Patel, Keemo Paul, Amit Mishra, Ishant Sharma, Trent Boult","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Martin Guptill, Manish Pandey, Kane Williamson(c), Vijay Shankar, Mohammad Nabi, Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Basil Thampi",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 08,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 2 wkts,Rishabh Pant,DC,field,SRH,DC,Williamson, Rutherford,1,0,Short,off side,square,cut shot,
13.6," K Paul to Williamson, 1 run, back of a length and on Williamson's hips, clipped away behind square on the on-side for a single ",1st Inns,Eli,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Axar Patel, Keemo Paul, Amit Mishra, Ishant Sharma, Trent Boult","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Martin Guptill, Manish Pandey, Kane Williamson(c), Vijay Shankar, Mohammad Nabi, Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Basil Thampi",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 08,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 2 wkts,Rishabh Pant,DC,field,SRH,DC,Williamson, K Paul,1,0,Back of Length,,square,,
13.5," K Paul to Shankar, 1 run, fraction fuller and at the stumps, eased down towards long-on for a single ",1st Inns,Eli,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Axar Patel, Keemo Paul, Amit Mishra, Ishant Sharma, Trent Boult","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Martin Guptill, Manish Pandey, Kane Williamson(c), Vijay Shankar, Mohammad Nabi, Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Basil Thampi",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 08,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 2 wkts,Rishabh Pant,DC,field,SRH,DC,Shankar, K Paul,1,0,Full,stump line,long-on,,
13.4," K Paul to Williamson, 1 run, the slower ball from Keemo, driven towards deep cover for a single ",1st Inns,Eli,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Axar Patel, Keemo Paul, Amit Mishra, Ishant Sharma, Trent Boult","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Martin Guptill, Manish Pandey, Kane Williamson(c), Vijay Shankar, Mohammad Nabi, Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Basil Thampi",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 08,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 2 wkts,Rishabh Pant,DC,field,SRH,DC,Williamson, K Paul,1,0,,,deep cover,drive,
13.3,"K Paul to Manish Pandey, out Caught by Rutherford!! This isn't happening, not for Manish at least - after taking plenty of time to settle, he's thrown his wicket away. The two West Indians in action - smart bowling from Keemo, spotted Manish making room and followed him with a full ball - with no room to free his arms, Manish shovelled the lofted drive into the waiting hands of Rutherford at long-on. The partnership was beginning to grow, but it's all over now. Manish Pandey c Rutherford b K Paul 30(36) [4s-3]",1st Inns,Eli,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Axar Patel, Keemo Paul, Amit Mishra, Ishant Sharma, Trent Boult","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Martin Guptill, Manish Pandey, Kane Williamson(c), Vijay Shankar, Mohammad Nabi, Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Basil Thampi",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 08,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 2 wkts,Rishabh Pant,DC,field,SRH,DC,Manish Pandey,K Paul,out,out,Full,,long-on,on drive,"Catch out , rutherford"
13.2," K Paul to Williamson, 1 run, yorker length delivery outside off, Williamson backs away, plays with an open face and finds the fielder at deep cover, just a single ",1st Inns,Eli,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Axar Patel, Keemo Paul, Amit Mishra, Ishant Sharma, Trent Boult","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Martin Guptill, Manish Pandey, Kane Williamson(c), Vijay Shankar, Mohammad Nabi, Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Basil Thampi",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 08,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 2 wkts,Rishabh Pant,DC,field,SRH,DC,Williamson, K Paul,1,0,yorker,off side,deep cover,,
13.1,"K Paul to Manish Pandey, 1 run, stunning bit of work from Shaw at cover - a direct hit might have had Manish in trouble. On a length and just outside off, Manish backed away and drove it to the left of cover, Shaw tumbled, stopped the ball, turned around and had a shy at the bowler's end - all in one motion",1st Inns,Eli,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Axar Patel, Keemo Paul, Amit Mishra, Ishant Sharma, Trent Boult","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Martin Guptill, Manish Pandey, Kane Williamson(c), Vijay Shankar, Mohammad Nabi, Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Basil Thampi",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 08,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 2 wkts,Rishabh Pant,DC,field,SRH,DC,Manish Pandey,K Paul,1,0,Good,off side,cover,,
12.6," Mishra to Manish Pandey, 1 run, nicely flighted outside off, Manish leans forward and drives it to long-off for a single. Mishra has bowled out - superb returns tonight: 4-0-16-1 ",1st Inns,Eli,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Axar Patel, Keemo Paul, Amit Mishra, Ishant Sharma, Trent Boult","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Martin Guptill, Manish Pandey, Kane Williamson(c), Vijay Shankar, Mohammad Nabi, Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Basil Thampi",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 08,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 2 wkts,Rishabh Pant,DC,field,SRH,DC,Manish Pandey, Mishra,1,0,,off side,long-off,off drive,
12.5," Mishra to Williamson, 1 run, tad too short from Mishra, allows Williamson to work it behind square on the on-side for a single ",1st Inns,Eli,Delhi Capitals,Sunrisers Hyderabad,"Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Sherfane Rutherford, Axar Patel, Keemo Paul, Amit Mishra, Ishant Sharma, Trent Boult","Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Martin Guptill, Manish Pandey, Kane Williamson(c), Vijay Shankar, Mohammad Nabi, Deepak Hooda, Rashid Khan, Bhuvneshwar Kumar, K Khaleel Ahmed, Basil Thampi",,,IPL,2019,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,Visakhapatnam","May 08,2019",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 2 wkts,Rishabh Pant,DC,field,SRH,DC,Williamson, Mishra,1,0,Short,,square,,
