ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
5.1," Shami to Morgan, no run, short ball on leg, Morgan nudges it into the leg side and a loud 'no' is his call ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Morgan, Shami,0,0,Short,leg side
4.6," Jordan to Shubman Gill, no run, down the leg side, Shubman Gill doesn't connect his leg glance, this one brushes his pads on its way to the keeper ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Shubman Gill, Jordan,0,0,,
4.5,"Jordan to Shubman Gill, FOUR, nicely done by Shubman Gill! Jordan sprays this one on the batsman's pad who is quick to transfer his weight onto the back foot as he times his clip through square leg. With no fielder in the deep, this was always heading towards the boundary",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Shubman Gill,Jordan,4,0,,
4.4," Jordan to Shubman Gill, no run, seaming into the batsman on back of a length, Shubman Gill offers a back foot punch, but the timing is not good enough ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Shubman Gill, Jordan,0,0,Back of Length,
4.3," Jordan to Shubman Gill, no run, back of a length outside off, Shubman Gill is on his back foot to cut it towards cover-point ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Shubman Gill, Jordan,0,0,Back of Length,off side
4.2," Jordan to Shubman Gill, no run, on a length around off, Shubman Gill punches it towards mid-off ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Shubman Gill, Jordan,0,0,Good,
4.1," Jordan to Shubman Gill, no run, back of a length on off, Shubman Gill rides the bounce and punches it towards mid-off ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Shubman Gill, Jordan,0,0,Back of Length,off side
3.6," Arshdeep Singh to Morgan, no run, tries to hack this one through the on side, but once again the two paced track induces an underedge and rolls back to the bowler ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Morgan, Arshdeep Singh,0,0,,
3.5," Arshdeep Singh to Morgan, no run, flicks this length ball in front of mid-wicket uppishly ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Morgan, Arshdeep Singh,0,0,Good,
3.4," Arshdeep Singh to Shubman Gill, 1 run, pulls the short ball through mid-wicket and Morgan's on strike to face his first ball ",2nd Inns,24t,Kings XI Punjab,Kolkata Knight Riders,"Kings XI Punjab (Playing XI): KL Rahul(c), Mayank Agarwal, Mandeep Singh, Nicholas Pooran, Simran Singh(w), Glenn Maxwell, Mujeeb Ur Rahman, Chris Jordan, Ravi Bishnoi, Mohammed Shami, Arshdeep Singh","Kolkata Knight Riders (Playing XI): Rahul Tripathi, Shubman Gill, Nitish Rana, Sunil Narine, Eoin Morgan, Andre Russell, Dinesh Karthik(w/c), Pat Cummins, Kamlesh Nagarkoti, Prasidh Krishna, Varun Chakravarthy",,,IPL,2020,"Sheikh Zayed Stadium,Abu Dhabi","Oct 10,2020",Kolkata Knight Riders have won the toss and have opted to bat,Kolkata Knight Riders won by 2 runs,Dinesh Karthik,KKR,field,KKR,PBKS,Shubman Gill, Arshdeep Singh,1,0,Short,
