ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler
18.4," Southee to Ashwin, 1 run, back of a length on the stumps, Ashwin heaves the pull to deep mid-wicket ",1st Inns,47t,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Baba Indrajith(w), Nitish Rana, Anukul Roy, Andre Russell, Rinku Singh, Umesh Yadav, Tim Southee, Shivam Mavi","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 02,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Rinku Singh,KKR,field,RR,KKR,Ashwin, Southee
18.3," Southee to Hetmyer, 1 run, off-cutter on a good length outside off, Hetmyer mistimes the drive to long-off ",1st Inns,47t,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Baba Indrajith(w), Nitish Rana, Anukul Roy, Andre Russell, Rinku Singh, Umesh Yadav, Tim Southee, Shivam Mavi","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 02,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Rinku Singh,KKR,field,RR,KKR,Hetmyer, Southee
18.3," Southee to Hetmyer, wide, back over the wicket now. Short down leg, Hetmyer pulls and misses. Wide called ",1st Inns,47t,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Baba Indrajith(w), Nitish Rana, Anukul Roy, Andre Russell, Rinku Singh, Umesh Yadav, Tim Southee, Shivam Mavi","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 02,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Rinku Singh,KKR,field,RR,KKR,Hetmyer, Southee
18.2," Southee to Hetmyer, SIX, that's right in the slot and Hetmyer has powered the loft over wide long-on. Full and angled in on the stumps, Hetmyer clears his front leg and goes 91-metres ",1st Inns,47t,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Baba Indrajith(w), Nitish Rana, Anukul Roy, Andre Russell, Rinku Singh, Umesh Yadav, Tim Southee, Shivam Mavi","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 02,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Rinku Singh,KKR,field,RR,KKR,Hetmyer, Southee
18.1," Southee to Hetmyer, SIX, length ball on the stumps, Hetmyer takes full toll of it, clears his front leg and mows it over the deep mid-wicket fence, was hitting to the short fence and cleared it. Good start to the over ",1st Inns,47t,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Baba Indrajith(w), Nitish Rana, Anukul Roy, Andre Russell, Rinku Singh, Umesh Yadav, Tim Southee, Shivam Mavi","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 02,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Rinku Singh,KKR,field,RR,KKR,Hetmyer, Southee
17.6," Shivam Mavi to Hetmyer, 1 run, just a single. Slower ball full outside off, Hetmyer drags the big hit to long-on ",1st Inns,47t,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Baba Indrajith(w), Nitish Rana, Anukul Roy, Andre Russell, Rinku Singh, Umesh Yadav, Tim Southee, Shivam Mavi","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 02,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Rinku Singh,KKR,field,RR,KKR,Hetmyer, Shivam Mavi
17.6," Shivam Mavi to Ashwin, no ball, 1 run, high full-toss and it's a no-ball. Poor from Shivam Mavi, the slower delivery slipped out and it's over the waist, swung away behind square ",1st Inns,47t,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Baba Indrajith(w), Nitish Rana, Anukul Roy, Andre Russell, Rinku Singh, Umesh Yadav, Tim Southee, Shivam Mavi","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 02,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Rinku Singh,KKR,field,RR,KKR,Ashwin, Shivam Mavi
17.5," Shivam Mavi to Ashwin, 2 runs, full and angled in on off, Ashwin whips it wide of deep square and comes back for the second ",1st Inns,47t,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Baba Indrajith(w), Nitish Rana, Anukul Roy, Andre Russell, Rinku Singh, Umesh Yadav, Tim Southee, Shivam Mavi","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 02,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Rinku Singh,KKR,field,RR,KKR,Ashwin, Shivam Mavi
17.4," Shivam Mavi to Hetmyer, 1 run, slower delivery on a fuller length outside off, Hetmyer gets forward to push to the sweeper ",1st Inns,47t,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Baba Indrajith(w), Nitish Rana, Anukul Roy, Andre Russell, Rinku Singh, Umesh Yadav, Tim Southee, Shivam Mavi","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 02,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Rinku Singh,KKR,field,RR,KKR,Hetmyer, Shivam Mavi
17.3," Shivam Mavi to Hetmyer, no run, slower delivery on a fuller length on the stumps, Hetmyer defends it back to Shivam Mavi ",1st Inns,47t,Kolkata Knight Riders,Rajasthan Royals,"Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Baba Indrajith(w), Nitish Rana, Anukul Roy, Andre Russell, Rinku Singh, Umesh Yadav, Tim Southee, Shivam Mavi","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen",,,IPL,2022,"Wankhede Stadium,Mumbai","May 02,2022",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Rinku Singh,KKR,field,RR,KKR,Hetmyer, Shivam Mavi
