ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,out_type
3.3," Hardik Pandya to Mandeep, leg byes, 1 run, ouch! 137.7ks short ball right at the batter's head, Mandeep does not back down and goes for the pull, beaten on the top-edge and struck on the back of the helmet. Hardik checks if he's fine before walking back to his run-up ",2nd Inns,10t,Gujarat Titans,Delhi Capitals,"Gujarat Titans (Playing XI): Shubman Gill, Matthew Wade(w), Vijay Shankar, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar Sadarangani, Rashid Khan, Lockie Ferguson, Varun Aaron, Mohammed Shami","Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Shardul Thakur, Axar Patel, Kuldeep Yadav, Khaleel Ahmed, Mustafizur Rahman",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 02,2022",Delhi Capitals have won the toss and have opted to field,Gujarat Titans won by 14 runs,Lockie Ferguson,DC,field,DC,GT,Mandeep, Hardik Pandya,byes,1,Short,,,edge,
3.2," Hardik Pandya to Mandeep, FOUR, smart batting. Hardik shortens his length with third man inside the ring, Mandeep gives himself room and flays it over the infield in that region, couple of bounces and into the fence ",2nd Inns,10t,Gujarat Titans,Delhi Capitals,"Gujarat Titans (Playing XI): Shubman Gill, Matthew Wade(w), Vijay Shankar, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar Sadarangani, Rashid Khan, Lockie Ferguson, Varun Aaron, Mohammed Shami","Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Shardul Thakur, Axar Patel, Kuldeep Yadav, Khaleel Ahmed, Mustafizur Rahman",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 02,2022",Delhi Capitals have won the toss and have opted to field,Gujarat Titans won by 14 runs,Lockie Ferguson,DC,field,DC,GT,Mandeep, Hardik Pandya,4,0,Short,,third man,,
3.1," Hardik Pandya to Mandeep, no run, fraction short in length, Mandeep nails the pull but picks out mid-wicket ",2nd Inns,10t,Gujarat Titans,Delhi Capitals,"Gujarat Titans (Playing XI): Shubman Gill, Matthew Wade(w), Vijay Shankar, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar Sadarangani, Rashid Khan, Lockie Ferguson, Varun Aaron, Mohammed Shami","Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Shardul Thakur, Axar Patel, Kuldeep Yadav, Khaleel Ahmed, Mustafizur Rahman",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 02,2022",Delhi Capitals have won the toss and have opted to field,Gujarat Titans won by 14 runs,Lockie Ferguson,DC,field,DC,GT,Mandeep, Hardik Pandya,0,0,Short,,mid-wicket,pull shot,
2.6," Shami to Mandeep, 1 run, on a length and outside off, Mandeep steers it down to third man ",2nd Inns,10t,Gujarat Titans,Delhi Capitals,"Gujarat Titans (Playing XI): Shubman Gill, Matthew Wade(w), Vijay Shankar, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar Sadarangani, Rashid Khan, Lockie Ferguson, Varun Aaron, Mohammed Shami","Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Shardul Thakur, Axar Patel, Kuldeep Yadav, Khaleel Ahmed, Mustafizur Rahman",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 02,2022",Delhi Capitals have won the toss and have opted to field,Gujarat Titans won by 14 runs,Lockie Ferguson,DC,field,DC,GT,Mandeep, Shami,1,0,Good,off side,third man,,
2.5," Shami to Mandeep, FOUR, that's a good shot. Overcooks the 140.8ks delivery outside off, Mandeep bends his back knee and lofts it over extra cover, one bounce and over the ropes ",2nd Inns,10t,Gujarat Titans,Delhi Capitals,"Gujarat Titans (Playing XI): Shubman Gill, Matthew Wade(w), Vijay Shankar, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar Sadarangani, Rashid Khan, Lockie Ferguson, Varun Aaron, Mohammed Shami","Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Shardul Thakur, Axar Patel, Kuldeep Yadav, Khaleel Ahmed, Mustafizur Rahman",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 02,2022",Delhi Capitals have won the toss and have opted to field,Gujarat Titans won by 14 runs,Lockie Ferguson,DC,field,DC,GT,Mandeep, Shami,4,0,Good,off side,extra cover,,
2.4," Shami to Mandeep, no run, 137ks delivery around off, Mandeep dabs it on the bounce to backward point ",2nd Inns,10t,Gujarat Titans,Delhi Capitals,"Gujarat Titans (Playing XI): Shubman Gill, Matthew Wade(w), Vijay Shankar, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar Sadarangani, Rashid Khan, Lockie Ferguson, Varun Aaron, Mohammed Shami","Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Shardul Thakur, Axar Patel, Kuldeep Yadav, Khaleel Ahmed, Mustafizur Rahman",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 02,2022",Delhi Capitals have won the toss and have opted to field,Gujarat Titans won by 14 runs,Lockie Ferguson,DC,field,DC,GT,Mandeep, Shami,0,0,,,backward point,dab,
2.3," Shami to Mandeep, FOUR, not sure that's where Mandeep intended to play the shot but he will pick up the boundary. The bat turns on impact and he drags the drive off the inner part, no one at mid-wicket and the new ball races across the turf ",2nd Inns,10t,Gujarat Titans,Delhi Capitals,"Gujarat Titans (Playing XI): Shubman Gill, Matthew Wade(w), Vijay Shankar, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar Sadarangani, Rashid Khan, Lockie Ferguson, Varun Aaron, Mohammed Shami","Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Shardul Thakur, Axar Patel, Kuldeep Yadav, Khaleel Ahmed, Mustafizur Rahman",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 02,2022",Delhi Capitals have won the toss and have opted to field,Gujarat Titans won by 14 runs,Lockie Ferguson,DC,field,DC,GT,Mandeep, Shami,4,0,,,mid-wicket,on drive,
2.2," Shami to Mandeep, no run, 140.4ks good length ball around off, Mandeep defends to cover ",2nd Inns,10t,Gujarat Titans,Delhi Capitals,"Gujarat Titans (Playing XI): Shubman Gill, Matthew Wade(w), Vijay Shankar, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar Sadarangani, Rashid Khan, Lockie Ferguson, Varun Aaron, Mohammed Shami","Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Shardul Thakur, Axar Patel, Kuldeep Yadav, Khaleel Ahmed, Mustafizur Rahman",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 02,2022",Delhi Capitals have won the toss and have opted to field,Gujarat Titans won by 14 runs,Lockie Ferguson,DC,field,DC,GT,Mandeep, Shami,0,0,Good,,cover,defend,
2.1," Shami to Prithvi Shaw, 1 run, too straight - on off and middle, Shaw tucks it backward of square leg ",2nd Inns,10t,Gujarat Titans,Delhi Capitals,"Gujarat Titans (Playing XI): Shubman Gill, Matthew Wade(w), Vijay Shankar, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar Sadarangani, Rashid Khan, Lockie Ferguson, Varun Aaron, Mohammed Shami","Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Shardul Thakur, Axar Patel, Kuldeep Yadav, Khaleel Ahmed, Mustafizur Rahman",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 02,2022",Delhi Capitals have won the toss and have opted to field,Gujarat Titans won by 14 runs,Lockie Ferguson,DC,field,DC,GT,Prithvi Shaw, Shami,1,0,,off side,straight,,
1.6," Hardik Pandya to Mandeep, no run, 140.6ks short of length delivery outside off, Mandeep punches and picks out backward point. An excellent first over from Hardik ",2nd Inns,10t,Gujarat Titans,Delhi Capitals,"Gujarat Titans (Playing XI): Shubman Gill, Matthew Wade(w), Vijay Shankar, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar Sadarangani, Rashid Khan, Lockie Ferguson, Varun Aaron, Mohammed Shami","Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Shardul Thakur, Axar Patel, Kuldeep Yadav, Khaleel Ahmed, Mustafizur Rahman",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 02,2022",Delhi Capitals have won the toss and have opted to field,Gujarat Titans won by 14 runs,Lockie Ferguson,DC,field,DC,GT,Mandeep, Hardik Pandya,0,0,Short,off side,backward point,,
1.5," Hardik Pandya to Mandeep, no run, 141ks delivery attacking the stumps, Mandeep tucks it to mid-wicket ",2nd Inns,10t,Gujarat Titans,Delhi Capitals,"Gujarat Titans (Playing XI): Shubman Gill, Matthew Wade(w), Vijay Shankar, Hardik Pandya(c), David Miller, Rahul Tewatia, Abhinav Manohar Sadarangani, Rashid Khan, Lockie Ferguson, Varun Aaron, Mohammed Shami","Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Shardul Thakur, Axar Patel, Kuldeep Yadav, Khaleel Ahmed, Mustafizur Rahman",,,IPL,2022,"Maharashtra Cricket Association Stadium,Pune","Apr 02,2022",Delhi Capitals have won the toss and have opted to field,Gujarat Titans won by 14 runs,Lockie Ferguson,DC,field,DC,GT,Mandeep, Hardik Pandya,0,0,,,mid-wicket,,
