ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
18.2," Arshdeep Singh to Shepherd, 1 run, yorker on middle, swung to deep mid-wicket ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Shepherd, Arshdeep Singh,1,0,yorker
18.1," Arshdeep Singh to Washington Sundar, 1 run, low full-toss on off, driven to long-off ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Washington Sundar, Arshdeep Singh,1,0,Full toss
17.6," Rabada to Washington Sundar, 1 run, in-angler on a good length on the stumps, heaved to deep mid-wicket - 19 off the over ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Washington Sundar, Rabada,1,0,Good
17.5," Rabada to Washington Sundar, no run, full on the stumps, Washington Sundar makes room and drives it back to Rabada who fumbles but they don't take a single ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Washington Sundar, Rabada,0,0,Full
17.5," Rabada to Washington Sundar, 5 wides, gets better for SRH. Slung down leg, Jitesh Sharma dives to his right but can't get a glove and it runs away for 5 bonus runs. Poor bowling this ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Washington Sundar, Rabada,wide,5,
17.4," Rabada to Washington Sundar, FOUR, big over for SRH this. Washington Sundar is on the floor but has four to his name. Sundar gets across and scoops the full ball from outside off over short fine, went down after playing but that was his momentum taking him down more than a fall ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Washington Sundar, Rabada,4,0,Full
17.3," Rabada to Shepherd, byes, 1 run, Rabada beats Shepherd with a slower off-cutter, the batter swings and misses, bounces in front of Jitesh Sharma who can't take it cleanly. They run a bye ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Shepherd, Rabada,byes,1,
17.2," Rabada to Washington Sundar, 1 run, angled in on middle, defended in front of point for an easy single ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Washington Sundar, Rabada,1,0,
17.2," Rabada to Washington Sundar, wide, full and down leg, Washington Sundar flicks and misses, given as a wide ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Washington Sundar, Rabada,wide,1,Full
17.1," Rabada to Washington Sundar, SIX, that is a shot and a half. Washington Sundar shows off his batting skills with a blast off the back foot over wide long-off. Cross-seamer on a short of length and powered away as Sundar stood tall and generated enormous bat-speed. Not easy to force that such a long distance but Sundar smoked it ",1st Inns,70t,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Priyam Garg, Rahul Tripathi, Aiden Markram, Nicholas Pooran(w), Romario Shepherd, Washington Sundar, Jagadeesha Suchith, Bhuvneshwar Kumar(c), Fazalhaq Farooqi, Umran Malik","Punjab Kings (Playing XI): Jonny Bairstow, Shikhar Dhawan, Liam Livingstone, Mayank Agarwal(c), Shahrukh Khan, Jitesh Sharma(w), Harpreet Brar, Nathan Ellis, Prerak Mankad, Kagiso Rabada, Arshdeep Singh",,,IPL,2022,"Wankhede Stadium,Mumbai","May 22,2022",Sunrisers Hyderabad have won the toss and have opted to bat,Punjab Kings won by 5 wkts,Harpreet Brar,SRH,bat,SRH,PBKS,Washington Sundar, Rabada,6,0,Short
