ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,toss_winner.1,toss_choosen.1,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
5.5," Ashwin to Prithvi Shaw, 1 run, quicker and no flight on offer, Shaw nudges it into the vacant mid-wicket region ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Prithvi Shaw, Ashwin,1,0,
5.4," Ashwin to Pant, 1 run, this time plays the clip much squarer and picks out deep square leg, just a single ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Pant, Ashwin,1,0,
5.3," Ashwin to Pant, FOUR, flatter and sliding on, Pant brings the bottom hand into play and whips it in front of square on the leg-side, no chance stopping that ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Pant, Ashwin,4,0,
5.2," Ashwin to Pant, no run, drifting in from round the wicket, Pant prods forward and defends it back ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Pant, Ashwin,0,0,
5.1," Ashwin to Sarfaraz Khan, out Caught by Prasidh!! Ashwin strikes first ball. Sarfaraz wanted to take on the off-spinner from the get-go and perishes in the process. He premeditates the sweep and does not get the length he wants, miscues the shot horribly and offers a simple catch near square leg, Prasidh moves to his right and completes the dolly. Sarfaraz Khan c Prasidh b Ashwin 1(3) ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Sarfaraz Khan, Ashwin,out,out,
4.6," Prasidh to Prithvi Shaw, FOUR, overpitched and Shaw does not miss out, pumps it straight down the ground and beats a desperate dive from mid-on ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Prithvi Shaw, Prasidh,4,0,
4.5," Prasidh to Sarfaraz Khan, 1 run, on a length and around off, Sarfaraz mistimes the drive towards mid-on and opens his account ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Sarfaraz Khan, Prasidh,1,0,Good
4.4," Prasidh to Sarfaraz Khan, no run, attempted yorker but ends up as a full toss, Sarfaraz misses the swing across the line and wears it on the thigh pad ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Sarfaraz Khan, Prasidh,0,0,yorker
4.3,"Prasidh to Warner, out Caught by Samson!! Warner's given out. He waits for a second or two before starting the walk back. Not sure why he waited as there was a clear nick and a big deflection. Anyway, Rajasthan Royals have broken the opening stand and have the big wicket of the in-form Warner. Prasidh angles it in and cramps the left hander for room, Warner has nowhere to go as the ball keeps following him as he backs away, takes the outside edge and carries nicely to Samson. Warner tried to steer it to third man but there was no space to play that. He then said no to Shaw for the single and marked his guard as though he hadn't nicked it but the umpire's finger had gone up. Warner c Samson b Prasidh 28(14) [4s-5 6s-1]",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Warner,Prasidh,out,out,
4.2," Prasidh to Warner, FOUR, hammered! Absolute disdain from Warner. Back of a length, Warner makes room and slams it cross-batted straight past Prasidh. He didn't even bother to run as the ball traveled at the rate of knots ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Warner, Prasidh,4,0,Back of Length
4.1," Prasidh to Warner, FOUR, streaky! But Warner and Delhi won't mind that. Short of length angled across, Warner clears his front leg and attempts a mow to cow corner, gets an under-edge that leaves Samson wrongfooted and races to the fence ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Warner, Prasidh,4,0,Short
3.6," Obed McCoy to Warner, 1 run, off-pace delivery at 122.9ks, Warner checks his shot and knocks it in front of mid-off, quick single taken ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Warner, Obed McCoy,1,0,
3.5," Obed McCoy to Warner, FOUR, poor planning from McCoy. He has third man and point in and he ends up offering width outside off, Warner flays it over backward point and Parag gives a valiant chase, even puts in the dive but not enough to stop the boundary ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Warner, Obed McCoy,4,0,
3.4," Obed McCoy to Prithvi Shaw, 1 run, once more McCoy pounds it halfway down, Shaw mistimes the pull and gets it over mid-wicket, just a single ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Prithvi Shaw, Obed McCoy,1,0,
3.3," Obed McCoy to Prithvi Shaw, no run, fuller than a good length and Shaw thumps the drive on the up, goes on the bounce to mid-off and Buttler is quick to have a shy at the bowler's end, Warner gets back in ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Prithvi Shaw, Obed McCoy,0,0,Full
