ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,toss_winner.1,toss_choosen.1,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
19.6," Thakur to Samson, SIX, Pant is now angry at Thakur. For the full-toss on the stumps, so easy for Samson who swings it over deep mid-wicket to better RR's own 217 against KKR in their last game - to record the highest score this IPL ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Thakur,6,0,Full toss
19.5," Thakur to Samson, FOUR, bottom-edge and wide of the diving Kuldeep at short third. Length ball outside off, Samson throws the bat and gets lucky beating the dive from the spinner. Thakur is unhappy and shows off his anger at the senior bowler. He wanted a better effort ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Thakur,4,0,Short
19.4," Thakur to Hetmyer, 1 run, full-toss on the stumps, Hetmyer toe-ends it to deep mid-wicket. Missed out there ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Hetmyer, Thakur,1,0,Full toss
19.3," Thakur to Samson, 1 run, right up there outside off, Samson drags it to deep mid-wicket ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Thakur,1,0,
19.3," Thakur to Samson, wide, just wide of the line as Samson leaves. Takes the wide ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Thakur,wide,1,
19.2," Thakur to Samson, FOUR, right in the slot outside off, Samson stands and delivers. Drilled hard and flat over Hetmyer. Long-off can't get there ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Thakur,4,0,Slot
19.1," Thakur to Samson, 2 runs, full outside off, carved in the air, and just on the bounce to the onrushing deep cover, Hetmyer has to be quick and gets there beating Thakur's flick-back onto the stumps ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Thakur,2,0,Full
19.1," Thakur to Samson, wide, Thakur from round the wicket, sprays it wide outside off, Samson drives and misses. Called a wide ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Thakur,wide,1,
18.6,"Mustafizur to Buttler, out Caught by Warner!! End of Buttler. Low full-toss on the stumps, Buttler stays low but can't get under this whip enough. Holes out to long-on. Everyone inside the Wankhede give him a standing ovation as he walks back. Samson pats him on the way back. Nice touch from Shaw and Warner who punch his right glove as he walks off. Buttler c Warner b Mustafizur 116(65) [4s-9 6s-9]",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Buttler,Mustafizur,out,out,Full toss
18.5," Mustafizur to Buttler, 2 runs, outstanding from Powell running from long-off. Drilled down the ground, Powell runs and sticks his right foot out, there's Warner coming in and he is almost close to colliding with the West Indian. After the foot is stuck out, the ball is rolling away to the fence, Powell does ever so well to pull it back with his right hand, keeping his right toe out of the cushions, avoids Warner and gets up with the ball in hand to keep it to two. One of the brilliant fielding efforts this season ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Buttler, Mustafizur,2,0,
18.4," Mustafizur to Samson, 1 run, full on off, Samson stays deep and drags the heave to deep mid-wicket ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Mustafizur,1,0,Full
18.3," Mustafizur to Buttler, 1 run, very full on the stumps, squeezed out towards extra-cover ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Buttler, Mustafizur,1,0,Full
18.2," Mustafizur to Buttler, SIX, just over long-off's hands. Powell the man at long-off. Full outside off, bottom-handed flick - trademark Buttler and just enough to clear Powell's hands, Mustafizur though thinks otherwise, should've been taken. Powell is right on the fence, but did not judge it well ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Buttler, Mustafizur,6,0,Full
18.1," Mustafizur to Buttler, FOUR, low full-toss on off, Buttler puts his left leg across and sweeps wide of deep backward square. Sweep! ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Buttler, Mustafizur,4,0,Full toss
17.6," Khaleel Ahmed to Samson, no run, simple caught and bowled dropped. Short on off, Samson miscues it straight up and it's a dolly for Khaleel Ahmed who somehow drops it. Can't believe that he has put that down. Buttler sends Samson back ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Khaleel Ahmed,0,0,Short
17.5," Khaleel Ahmed to Samson, SIX, incredible shot. Slower ball outside off, full as well, Samson opens the face of the bat slices it over deep point. Short boundary and it goes all the way. Khaleel Ahmed has been poor this over and has been predictable, Samson has taken full toll ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Khaleel Ahmed,6,0,Full
17.4," Khaleel Ahmed to Samson, FOUR, Samson gets across outside off and knows the wide line that Khaleel Ahmed is going to bowl. This is on a good length outside off, lofted over extra-cover and Pant can only look on in disappointment ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Khaleel Ahmed,4,0,Good
17.4," Khaleel Ahmed to Samson, wide, very wide outside off, Samson misses the reverse-lap and gets a wide ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Khaleel Ahmed,wide,1,
17.3," Khaleel Ahmed to Samson, SIX, full-toss on off, Samson swings it high and it has enough to clear long-on. Not hit as well as he would've liked but such is the power of Samson's swing ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Khaleel Ahmed,6,0,Full toss
17.2," Khaleel Ahmed to Samson, FOUR, full and wide outside off, Samson carves that hard and wide of extra-cover. Khaleel Ahmed missed his length but Samson did not ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Khaleel Ahmed,4,0,Full
17.1," Khaleel Ahmed to Samson, no run, Samson has edged that onto his face? He walks away and removes his helmet to have a look. Full on the stumps, he tried the reverse-lap and seems to have edged it onto the helmet. Slight break in play as the physio comes out to have a look. Replays show that the edge hit him near the throat, just below it. Anyway he is fine now ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Khaleel Ahmed,0,0,Full
16.6," Mustafizur to Samson, 1 run, low full-toss on off, driven hard but straight to the fielder at sweeper ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Mustafizur,1,0,Full toss
16.5," Mustafizur to Buttler, 1 run, very full outside leg, Buttler flicks to long-on ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Buttler, Mustafizur,1,0,Full
16.4," Mustafizur to Samson, 1 run, off-cutter on the stumps, Samson mistimes the pull to deep mid-wicket ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Mustafizur,1,0,
16.3," Mustafizur to Samson, FOUR, dug in short and angled across Samson who ramps it over short third man. Used the pace and angle superbly ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Mustafizur,4,0,Short
16.2," Mustafizur to Buttler, 1 run, low full-toss on the stumps, pushed to long-off ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Buttler, Mustafizur,1,0,Full toss
16.1," Mustafizur to Samson, 1 run, back of a length into the pitch, Samson splices the pull over Mustafizur's head ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Samson, Mustafizur,1,0,Back of Length
15.6," Khaleel Ahmed to Buttler, no run, low full-toss outside off, Buttler shuffles across to lap then tries to reverse-lap but misses ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Buttler, Khaleel Ahmed,0,0,Full toss
15.5," Khaleel Ahmed to Buttler, 2 runs, there's the 100 - 3rd one this season and Buttler leaps in the air and punches the air in joy. Full on the legs, pushed in front of long-on and they steal two. Then the celebrations begin. A standing ovation for Buttler ",1st Inns,34t,Delhi Capitals,Rajasthan Royals,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Rishabh Pant(w/c), Rovman Powell, Sarfaraz Khan, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Karun Nair, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 22,2022",Delhi Capitals have won the toss and have opted to field,Rajasthan Royals won by 15 runs,Jos Buttler,DC,field,DC,field,RR,DC,Buttler, Khaleel Ahmed,2,0,Full
