ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team
19.6," J Suchith to Russell, FOUR, four to end the innings. Slower and drifting into the pads of Russell who sweeps and it takes a thin edge on the shot, runs away wide of short fine. Given as runs as KKR end on 175 ",1st Inns,25t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Kolkata Knight Riders (Playing XI): Aaron Finch, Venkatesh Iyer, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Pat Cummins, Sunil Narine, Umesh Yadav, Aman Hakim Khan, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 15,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 7 wkts,Rahul Tripathi,SRH,field,KKR,SRH
19.5," J Suchith to Russell, SIX, poor ball. Real drag-down and Russell does not need another invitation, it's on off, smeared hard and flat over wide long-on, it's a flat six and Umesh Yadav applauds from the other end ",1st Inns,25t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Kolkata Knight Riders (Playing XI): Aaron Finch, Venkatesh Iyer, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Pat Cummins, Sunil Narine, Umesh Yadav, Aman Hakim Khan, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 15,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 7 wkts,Rahul Tripathi,SRH,field,KKR,SRH
19.4," J Suchith to Russell, SIX, flat and darting into him, Russell just muscles that over deep mid-wicket, connected well and all the way. That's why he wanted the strike as much as possible against J Suchith this over ",1st Inns,25t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Kolkata Knight Riders (Playing XI): Aaron Finch, Venkatesh Iyer, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Pat Cummins, Sunil Narine, Umesh Yadav, Aman Hakim Khan, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 15,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 7 wkts,Rahul Tripathi,SRH,field,KKR,SRH
19.3," J Suchith to Russell, no run, flat outside off, hammered powerfully to long-off, Russell does not take the single ",1st Inns,25t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Kolkata Knight Riders (Playing XI): Aaron Finch, Venkatesh Iyer, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Pat Cummins, Sunil Narine, Umesh Yadav, Aman Hakim Khan, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 15,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 7 wkts,Rahul Tripathi,SRH,field,KKR,SRH
19.2," J Suchith to Umesh Yadav, 1 run, had Tripathi from mid-wicket picked it up, Umesh Yadav was gone! Bunted to Tripathi's left, he went across to field but did not pick it up, Russell went through for the single and Umesh Yadav had no option but to sacrifice his wicket ",1st Inns,25t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Kolkata Knight Riders (Playing XI): Aaron Finch, Venkatesh Iyer, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Pat Cummins, Sunil Narine, Umesh Yadav, Aman Hakim Khan, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 15,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 7 wkts,Rahul Tripathi,SRH,field,KKR,SRH
19.1," J Suchith to Aman Hakim Khan, out Bowled!! Knocked him over. Drifting into the stumps, flatter trajectory, Aman Hakim Khan crouches low to swing but loses all shape and sees the leg-stump knocked back. Ugly swipe and he missed it completely. Russell is watching all this from the other end. Aman Hakim Khan b J Suchith 5(3) [4s-1] ",1st Inns,25t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Kolkata Knight Riders (Playing XI): Aaron Finch, Venkatesh Iyer, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Pat Cummins, Sunil Narine, Umesh Yadav, Aman Hakim Khan, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 15,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 7 wkts,Rahul Tripathi,SRH,field,KKR,SRH
18.6," Bhuvneshwar to Russell, no run, what a ball! Again Russell is on the floor but on his knees this time. Yorker tailing in at the toes of Russell who flicks to mid-wicket and falls over due to him losing balance. Mid-wicket was in close and that's a dot which SRH wanted badly ",1st Inns,25t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Kolkata Knight Riders (Playing XI): Aaron Finch, Venkatesh Iyer, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Pat Cummins, Sunil Narine, Umesh Yadav, Aman Hakim Khan, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 15,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 7 wkts,Rahul Tripathi,SRH,field,KKR,SRH
18.5," Bhuvneshwar to Aman Hakim Khan, 1 run, yorker length on the pads, clipped to deep square ",1st Inns,25t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Kolkata Knight Riders (Playing XI): Aaron Finch, Venkatesh Iyer, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Pat Cummins, Sunil Narine, Umesh Yadav, Aman Hakim Khan, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 15,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 7 wkts,Rahul Tripathi,SRH,field,KKR,SRH
18.4,"Bhuvneshwar to Aman Hakim Khan, FOUR, Aman Hakim Khan on debut hits his first-ball in the IPL for four. Another leg-cutter, on a fuller length outside off, Aman lofts into the gap wide of sweeper and it runs away",1st Inns,25t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Kolkata Knight Riders (Playing XI): Aaron Finch, Venkatesh Iyer, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Pat Cummins, Sunil Narine, Umesh Yadav, Aman Hakim Khan, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 15,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 7 wkts,Rahul Tripathi,SRH,field,KKR,SRH
18.3," Bhuvneshwar to Cummins, out Caught by Marco Jansen!! No heroics from Cummins tonight. The off-pace leg-cutter into the pitch outside off, sliding away from Cummins who slices the flat-batted hit straight up. Simple catch to long-on. Cummins c Marco Jansen b Bhuvneshwar 3(3) ",1st Inns,25t,Sunrisers Hyderabad,Kolkata Knight Riders,"Sunrisers Hyderabad (Playing XI): Abhishek Sharma, Kane Williamson(c), Rahul Tripathi, Nicholas Pooran(w), Aiden Markram, Shashank Singh, Jagadeesha Suchith, Bhuvneshwar Kumar, Marco Jansen, Umran Malik, T Natarajan","Kolkata Knight Riders (Playing XI): Aaron Finch, Venkatesh Iyer, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Pat Cummins, Sunil Narine, Umesh Yadav, Aman Hakim Khan, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 15,2022",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 7 wkts,Rahul Tripathi,SRH,field,KKR,SRH
