ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
16.3," Basil Thampi to Lalit Yadav, wide, slips in a fuller length delivery down leg and Lalit Yadav misses the clip for it to be wided ",2nd Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,DC,MI,Lalit Yadav, Basil Thampi,wide,1,Full,wide
16.2," Basil Thampi to Lalit Yadav, no run, fuller length delivery, Lalit Yadav looks to clip it but is done by the fuller length. There seemed to be some tailing in movement ",2nd Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,DC,MI,Lalit Yadav, Basil Thampi,0,0,Full,
16.1," Basil Thampi to Axar, 1 run, dropped! That was flogged down to long-on and David drops a sitter. That was a full toss, Axar slammed it straight to the fielder who ended up spilling it. There could have been a run-out as well but the bowler wasn't near to the sticks ",2nd Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,DC,MI,Axar, Basil Thampi,1,0,Full,stump line
15.6," Bumrah to Axar, 1 run, fuller length delivery, clipped to deep square leg for a single. 41 needed off the last 4 overs. DC would back themselves to do this. 15 runs come off the over as Bumrah has leaked 38 from his 3 overs already ",2nd Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,DC,MI,Axar, Bumrah,1,0,Full,
15.5," Bumrah to Axar, 2 runs, backs away, the bowler follows him with a yorker. Axar does well to jam the ball down to deep mid for a couple. Good running indeed ",2nd Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,DC,MI,Axar, Bumrah,2,0,yorker,
15.4," Bumrah to Lalit Yadav, 1 run, fuller length delivery, Lalit Yadav drives the ball down to long-off for a single ",2nd Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,DC,MI,Lalit Yadav, Bumrah,1,0,Full,
15.3," Bumrah to Lalit Yadav, FOUR, short ball, outside off, Lalit Yadav gets that over point for a four. There was freedom outside off and Lalit Yadav took advantage of it. 11 off the over already. Rohit seems a little fidgety ",2nd Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,DC,MI,Lalit Yadav, Bumrah,4,0,Short,off side
15.2," Bumrah to Axar, 1 run, closes the face of the bat and tucks it down into the on-side for a single as that was a back of a length delivery outside off and angled across a little ",2nd Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,DC,MI,Axar, Bumrah,1,0,Back of Length,off side
15.1," Bumrah to Axar, SIX, Bumrah is leaking plenty of runs. Fuller, outside off and Axar swipes that over long-on. That came off the middle of the bat and went miles over the fence. DC still in the hunt for sure ",2nd Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,DC,MI,Axar, Bumrah,6,0,Full,off side
14.6," Tymal Mills to Lalit Yadav, FOUR, and four to end the over. MI bowlers haven't been able to close out overs that well. Well outside off, Lalit Yadav takes it on the full and lifts it over the man at cover for a four. Hit so well and into the gap ",2nd Inns,2nd,Delhi Capitals,Mumbai Indians,"Delhi Capitals (Playing XI): Prithvi Shaw, Tim Seifert, Mandeep Singh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Khaleel Ahmed, Kuldeep Yadav, Kamlesh Nagarkoti","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Anmolpreet Singh, Kieron Pollard, Tim David, Daniel Sams, Murugan Ashwin, Tymal Mills, Jasprit Bumrah, Basil Thampi",,,IPL,2022,"Brabourne Stadium,Mumbai","Mar 27,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field,DC,MI,Lalit Yadav, Tymal Mills,4,0,Full,off side
