ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
2.6," Daniel Sams to Rayudu, no run, on a length around middle and leg, hint of shape, Rayudu stands tall and guides it back to the bowler ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Rayudu, Daniel Sams,0,0,Good,,,,,
2.5," Daniel Sams to Rayudu, no run, short of a length and outside off, this one shapes away from the batter as Rayudu lets it through to the keeper ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Rayudu, Daniel Sams,0,0,Short,off side,keeper,,,
2.4," Daniel Sams to Rayudu, no run, drifting on the pads and Rayudu has nudged this to mid-wicket ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Rayudu, Daniel Sams,0,0,,stump line,mid-wicket,,,
2.3," Daniel Sams to Rayudu, no run, short of a length around off, Rayudu steers it to point ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Rayudu, Daniel Sams,0,0,Short,,point,,,
2.2," Daniel Sams to Rayudu, no run, well directed short ball around off, Rayudu sways away from it ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Rayudu, Daniel Sams,0,0,Short,,,,,
2.1," Daniel Sams to Gaikwad, 1 run, on a lengh around middle and leg, Gaikwad clips it to fine leg for a single ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Gaikwad, Daniel Sams,1,0,,,fine leg,,,
1.6," Bumrah to Rayudu, no run, sharp nip-backer outside off, Rayudu stays put and lets it through to the keeper ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Rayudu, Bumrah,0,0,,off side,keeper,,,
1.5," Bumrah to Rayudu, no run, stands tall and knocks this back to Bumrah ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Rayudu, Bumrah,0,0,,,,,,
1.4," Bumrah to Uthappa, out Lbw!! Uthappa has been trapped LBW, but this looks OUT. Uthappa has a word with the umpire, but DRS is still not available. Was the away seamer by Bumrah around off, was on a length and it shaped away to beat Uthappa's defence. Struck around off and it might have crashed into the off-stump looking at the replays. Mumbai Indians off to a dream start! Uthappa lbw b Bumrah 1(6) ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Uthappa, Bumrah,out,out,Good,,defence,,,LBW
1.3," Bumrah to Uthappa, no run, full and quick outside off, hint of inswing, Uthappa goes for a cover drive and almost gets an outside edge to the keeper ",1st Inns,59th,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Robin Uthappa, Ambati Rayudu, Moeen Ali, Shivam Dube, MS Dhoni(w/c), Dwayne Bravo, Maheesh Theekshana, Simarjeet Singh, Mukesh Choudhary","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Tilak Varma, Tristan Stubbs, Ramandeep Singh, Tim David, Daniel Sams, Kumar Kartikeya, Hrithik Shokeen, Jasprit Bumrah, Riley Meredith",,,IPL,2022,"Wankhede Stadium,Mumbai","May 12,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Daniel Sams,MI,field,CSK,MI,Uthappa, Bumrah,0,0,Full,off side,cover,edge,,
