ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen
19.6," Mustafizur to Harshit Rana, no run, fantastic last over. Just the 2 off it and 3 wickets from it as well. Low full-toss at pace and sliding across Harshit Rana who drives and misses. KKR end on 146 ",KKR Inns,41s,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Chetan Sakariya","Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Venkatesh Iyer, Baba Indrajith(w), Rinku Singh, Andre Russell, Umesh Yadav, Tim Southee, Harshit Rana",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 28,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field
19.5," Mustafizur to Southee, out Bowled!! First-baller for Southee. Perfect yorker on leg-stump, slips under the bat and toes of Southee who fails to dig it out. The leg-stump takes a beating. Mustafizur landed that perfectly. Is now on a hat-trick. Southee b Mustafizur 0(1) ",KKR Inns,41s,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Chetan Sakariya","Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Venkatesh Iyer, Baba Indrajith(w), Rinku Singh, Andre Russell, Umesh Yadav, Tim Southee, Harshit Rana",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 28,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field
19.4," Mustafizur to Nitish Rana, out Caught by Chetan Sakariya!! Good catch at sweeper. But they are checking for a clean catch. It is. Waste of time. But that's what the IPL is all about. Saving time. Full outside off, Nitish Rana carves in the air and Sakariya dives forward to pouch it cleanly. Nitish Rana wants the catch to be checked and stands his ground, Pant isn't too pleased. Has a bit of a word or two to the departing batter after the catch is deemed clean. Nitish Rana c Chetan Sakariya b Mustafizur 57(34) [4s-3 6s-4] ",KKR Inns,41s,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Chetan Sakariya","Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Venkatesh Iyer, Baba Indrajith(w), Rinku Singh, Andre Russell, Umesh Yadav, Tim Southee, Harshit Rana",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 28,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field
19.3,"Mustafizur to Umesh Yadav, leg byes, 1 run, DC review for an LBW and lose it. Mustafizur fires the yorker at Umesh Yadav's toes but it has pitched outside leg, end of story. DC reviewed just for the sake of it",KKR Inns,41s,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Chetan Sakariya","Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Venkatesh Iyer, Baba Indrajith(w), Rinku Singh, Andre Russell, Umesh Yadav, Tim Southee, Harshit Rana",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 28,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field
19.2," Mustafizur to Rinku Singh, out Caught by Powell!! Safe catch as Powell takes it at long-off running to his right. Full on off, Rinku Singh's bat turns as he lofts and there's no timing as a result. Powell has great hands and he makes no mistake. Made it look simple than what it actually was. Rinku Singh c Powell b Mustafizur 23(16) [4s-3] ",KKR Inns,41s,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Chetan Sakariya","Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Venkatesh Iyer, Baba Indrajith(w), Rinku Singh, Andre Russell, Umesh Yadav, Tim Southee, Harshit Rana",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 28,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field
19.1," Mustafizur to Nitish Rana, 1 run, slower delivery outside off, Nitish Rana miscues the slog to deep mid-wicket, just a single ",KKR Inns,41s,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Chetan Sakariya","Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Venkatesh Iyer, Baba Indrajith(w), Rinku Singh, Andre Russell, Umesh Yadav, Tim Southee, Harshit Rana",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 28,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field
18.6," Thakur to Rinku Singh, 2 runs, Powell at long-on is caught napping and one becomes two. Driven to long-on and Powell was a bit lax, Rinku Singh spots that and rushes back for the second. Pant is angry but does well to be stoic ",KKR Inns,41s,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Chetan Sakariya","Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Venkatesh Iyer, Baba Indrajith(w), Rinku Singh, Andre Russell, Umesh Yadav, Tim Southee, Harshit Rana",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 28,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field
18.5," Thakur to Rinku Singh, FOUR, drilled and four wide of long-on. Right in the slot, full on the stumps, Rinku Singh powers it past the fielder. That was hit very hard ",KKR Inns,41s,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Chetan Sakariya","Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Venkatesh Iyer, Baba Indrajith(w), Rinku Singh, Andre Russell, Umesh Yadav, Tim Southee, Harshit Rana",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 28,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field
18.4," Thakur to Nitish Rana, 1 run, comedy of errors! Nitish Rana did not want the single as he thought his falling scoop was fielded at short fine but Mustafizur charges in and the spin on the shot takes it away from his left hand. Rinku Singh and Nitish Rana are both at the same end, then Rana after seeing the ball elude the pacer, runs and takes the single ",KKR Inns,41s,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Chetan Sakariya","Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Venkatesh Iyer, Baba Indrajith(w), Rinku Singh, Andre Russell, Umesh Yadav, Tim Southee, Harshit Rana",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 28,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field
18.3," Thakur to Rinku Singh, 1 run, slower delivery full on off, in the slot but Rinku Singh mistimes the slog to long-on ",KKR Inns,41s,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Chetan Sakariya","Kolkata Knight Riders (Playing XI): Aaron Finch, Sunil Narine, Shreyas Iyer(c), Nitish Rana, Venkatesh Iyer, Baba Indrajith(w), Rinku Singh, Andre Russell, Umesh Yadav, Tim Southee, Harshit Rana",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 28,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Kuldeep Yadav,DC,field
