ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,out_type
19.6," Thakur to van der Dussen, byes, 1 run, a fantastic final over by Thakur, but Rajasthan Royals finish with a competitive total of 160/6. On a length around off, van der Dussen swings hard and connects thin air. They manage to sneak in with a bye though ",1st Inns,58t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Rassie van der Dussen, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Chetan Sakariya, Kuldeep Yadav, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 11,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 8 wkts,Mitchell Marsh,DC,field,RR,DC,van der Dussen, Thakur,byes,1,Good,,,,
19.5," Thakur to van der Dussen, 2 runs, full and wide outside off, hint of swing and van der Dussen has slapped this to wide long-off where Warner cuts it off ",1st Inns,58t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Rassie van der Dussen, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Chetan Sakariya, Kuldeep Yadav, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 11,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 8 wkts,Mitchell Marsh,DC,field,RR,DC,van der Dussen, Thakur,2,0,Full,wide,long-off,cut shot,
19.4," Thakur to van der Dussen, no run, and once again van der Dussen looks to play the ramp shot towards third man, but fails to make connection, it's a back of a length delivery that beats him ",1st Inns,58t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Rassie van der Dussen, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Chetan Sakariya, Kuldeep Yadav, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 11,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 8 wkts,Mitchell Marsh,DC,field,RR,DC,van der Dussen, Thakur,0,0,Back of Length,,third man,ramp shot,
19.3," Thakur to van der Dussen, no run, try to play the ramp shot, but Thakur keeps is short outside off, beats the batter ",1st Inns,58t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Rassie van der Dussen, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Chetan Sakariya, Kuldeep Yadav, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 11,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 8 wkts,Mitchell Marsh,DC,field,RR,DC,van der Dussen, Thakur,0,0,Short,off side,,ramp shot,
19.2," Thakur to Boult, 1 run, slightly fuller around off, Boult drives this to wide mid-off for a quick run ",1st Inns,58t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Rassie van der Dussen, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Chetan Sakariya, Kuldeep Yadav, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 11,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 8 wkts,Mitchell Marsh,DC,field,RR,DC,Boult, Thakur,1,0,Full,wide,mid-off,off drive,
19.2," Thakur to Boult, wide, banged in short by Thakur and Boult fails to make contact as this one sails over him ",1st Inns,58t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Rassie van der Dussen, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Chetan Sakariya, Kuldeep Yadav, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 11,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 8 wkts,Mitchell Marsh,DC,field,RR,DC,Boult, Thakur,wide,1,Short,wide,,wide,
19.1," Thakur to van der Dussen, 1 run, full and quick around off, van der Dussen looks to heave through the leg-side, gets an inside edge that deflects off the pads towards point ",1st Inns,58t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Rassie van der Dussen, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Chetan Sakariya, Kuldeep Yadav, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 11,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 8 wkts,Mitchell Marsh,DC,field,RR,DC,van der Dussen, Thakur,1,0,Full,,point,edge,
18.6," Nortje to van der Dussen, 1 run, dug in short by Nortje and van der Dussen miscues his pull to deep square leg for a single ",1st Inns,58t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Rassie van der Dussen, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Chetan Sakariya, Kuldeep Yadav, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 11,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 8 wkts,Mitchell Marsh,DC,field,RR,DC,van der Dussen, Nortje,1,0,Short,,deep square,pull shot,
18.5," Nortje to van der Dussen, FOUR, 150 up for RR! A full toss outside off, slightly wide and van der Dussen goes down on his knee to reach for it. Plays a lofted drive and manages to clear the fielder at mid-off quite comfortably ",1st Inns,58t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Rassie van der Dussen, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Chetan Sakariya, Kuldeep Yadav, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 11,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 8 wkts,Mitchell Marsh,DC,field,RR,DC,van der Dussen, Nortje,4,0,Full,off side,mid-off,off drive,
18.4," Nortje to Boult, 1 run, makes room and slices this shortish delivery to sweeper cover. A cross batted shot, but doesn't fly to the fielder in the deep ",1st Inns,58t,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Rassie van der Dussen, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Delhi Capitals (Playing XI): David Warner, Srikar Bharat, Mitchell Marsh, Rishabh Pant(w/c), Lalit Yadav, Rovman Powell, Axar Patel, Shardul Thakur, Chetan Sakariya, Kuldeep Yadav, Anrich Nortje",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","May 11,2022",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 8 wkts,Mitchell Marsh,DC,field,RR,DC,Boult, Nortje,1,0,Short,,sweeper,,
