ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
5.3," Ashwin to Shreyas Iyer, 2 runs, drifting in on middle and leg, nudged through mid-wicket. Iyer wanted two from the outset and with the big boundary that side, it's easy pickings ",2nd Inns,30t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Aaron Finch, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Sunil Narine, Pat Cummins, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 18,2022",Kolkata Knight Riders have won the toss and have opted to field,Rajasthan Royals won by 7 runs,Yuzvendra Chahal,KKR,field,KKR,RR,Shreyas Iyer, Ashwin,2,0,
5.2," Ashwin to Finch, 1 run, quicker and shorter, Finch stays back and punches this sweetly but mid-off is wider and keeps the batters to just a single ",2nd Inns,30t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Aaron Finch, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Sunil Narine, Pat Cummins, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 18,2022",Kolkata Knight Riders have won the toss and have opted to field,Rajasthan Royals won by 7 runs,Yuzvendra Chahal,KKR,field,KKR,RR,Finch, Ashwin,1,0,Short
5.1," Ashwin to Finch, no run, quicker one, follows Finch who was backing away early, ends up getting cramped for room and gets an inside edge onto the back pad ",2nd Inns,30t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Aaron Finch, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Sunil Narine, Pat Cummins, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 18,2022",Kolkata Knight Riders have won the toss and have opted to field,Rajasthan Royals won by 7 runs,Yuzvendra Chahal,KKR,field,KKR,RR,Finch, Ashwin,0,0,
4.6," Prasidh to Finch, 1 run, short of a length outside off, Finch toe-ends the cut towards cover and they pinch another risky single. They're certainly testing the fielders here and for now, somehow getting away with it ",2nd Inns,30t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Aaron Finch, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Sunil Narine, Pat Cummins, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 18,2022",Kolkata Knight Riders have won the toss and have opted to field,Rajasthan Royals won by 7 runs,Yuzvendra Chahal,KKR,field,KKR,RR,Finch, Prasidh,1,0,Short
4.6," Prasidh to Finch, wide, slower ball gone wrong, it's well down the leg-side and Finch watches it go through to Samson ",2nd Inns,30t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Aaron Finch, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Sunil Narine, Pat Cummins, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 18,2022",Kolkata Knight Riders have won the toss and have opted to field,Rajasthan Royals won by 7 runs,Yuzvendra Chahal,KKR,field,KKR,RR,Finch, Prasidh,wide,1,
4.5," Prasidh to Finch, FOUR, carved over the infield! Not full enough but there is width and Finch intentionally slices this away over point. Nobody sweeping there when he is on strike, so he's taken toll of it ",2nd Inns,30t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Aaron Finch, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Sunil Narine, Pat Cummins, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 18,2022",Kolkata Knight Riders have won the toss and have opted to field,Rajasthan Royals won by 7 runs,Yuzvendra Chahal,KKR,field,KKR,RR,Finch, Prasidh,4,0,Full
4.4," Prasidh to Shreyas Iyer, 1 run, back of a length, Iyer makes room and slaps it away through backward point. There is a man at sweeper there though ",2nd Inns,30t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Aaron Finch, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Sunil Narine, Pat Cummins, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 18,2022",Kolkata Knight Riders have won the toss and have opted to field,Rajasthan Royals won by 7 runs,Yuzvendra Chahal,KKR,field,KKR,RR,Shreyas Iyer, Prasidh,1,0,Back of Length
4.3," Prasidh to Shreyas Iyer, FOUR, deft touch! Expects the length to be full and it's almost yorkerish from Krishna, Iyer sits deep in the crease and opens the bat face to use all of the pace, slicing it between short third man and backward point ",2nd Inns,30t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Aaron Finch, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Sunil Narine, Pat Cummins, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 18,2022",Kolkata Knight Riders have won the toss and have opted to field,Rajasthan Royals won by 7 runs,Yuzvendra Chahal,KKR,field,KKR,RR,Shreyas Iyer, Prasidh,4,0,Full
4.2," Prasidh to Shreyas Iyer, no run, very full and outside off, bunted to mid-off. Firmly struck, but couldn't pierce the gap ",2nd Inns,30t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Aaron Finch, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Sunil Narine, Pat Cummins, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 18,2022",Kolkata Knight Riders have won the toss and have opted to field,Rajasthan Royals won by 7 runs,Yuzvendra Chahal,KKR,field,KKR,RR,Shreyas Iyer, Prasidh,0,0,Full
4.1," Prasidh to Finch, 1 run, another run out scare for Shreyas Iyer! Almost a replay of the first ball of this innings, Finch bunted this low full toss towards cover and promptly called his skipper across for the run. Had Hetmyer hit the stumps, it would have been curtains for Iyer. Fortunately for him, the throw misses ",2nd Inns,30t,Rajasthan Royals,Kolkata Knight Riders,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Karun Nair, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Obed McCoy, Yuzvendra Chahal","Kolkata Knight Riders (Playing XI): Venkatesh Iyer, Aaron Finch, Shreyas Iyer(c), Nitish Rana, Andre Russell, Sheldon Jackson(w), Sunil Narine, Pat Cummins, Shivam Mavi, Umesh Yadav, Varun Chakaravarthy",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 18,2022",Kolkata Knight Riders have won the toss and have opted to field,Rajasthan Royals won by 7 runs,Yuzvendra Chahal,KKR,field,KKR,RR,Finch, Prasidh,1,0,Full
