ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length
4.4," Khaleel Ahmed to Kohli, no run, beaten on the outside edge! Away-angling length ball, Kohli probably expected the ball to shape in. It holds its line and whistles past the outside edge ",1st Inns,27t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 16,2022",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 16 runs,Dinesh Karthik,DC,field,RCB,DC,Kohli, Khaleel Ahmed,0,0,Good
4.3," Khaleel Ahmed to Kohli, no run, 135.2kph, fuller length, Kohli presses forward and defends to cover ",1st Inns,27t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 16,2022",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 16 runs,Dinesh Karthik,DC,field,RCB,DC,Kohli, Khaleel Ahmed,0,0,Full
4.2," Khaleel Ahmed to Maxwell, 1 run, 124.9kph, slower delivery - cutter, Maxwell is early into his flick. Goes up off the toe-end but fortunately for him, it falls well wide of mid-on ",1st Inns,27t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 16,2022",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 16 runs,Dinesh Karthik,DC,field,RCB,DC,Maxwell, Khaleel Ahmed,1,0,
4.1," Khaleel Ahmed to Kohli, 1 run, 139.2kph, short of a good length, off-stump line, tapped on its head to dink it to backward point's right ",1st Inns,27t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 16,2022",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 16 runs,Dinesh Karthik,DC,field,RCB,DC,Kohli, Khaleel Ahmed,1,0,Short
3.6," Axar to Maxwell, no run, Axar Patel bowls it slower wide of off and Maxwell tries to flog across the line, misses and is beaten on the inside edge ",1st Inns,27t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 16,2022",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 16 runs,Dinesh Karthik,DC,field,RCB,DC,Maxwell, Axar,0,0,
3.5," Axar to Maxwell, FOUR, makes good contact on this occasion and finds the gap as well. The line's around off, Maxwell moves back and makes room to cut it fiercely through the gap between backward point and short third man ",1st Inns,27t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 16,2022",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 16 runs,Dinesh Karthik,DC,field,RCB,DC,Maxwell, Axar,4,0,Good
3.4," Axar to Maxwell, no run, 94.8kph, in-dart, Maxwell moves leg-side and chops to backward point off the under-edge. Too close to be playing that stroke ",1st Inns,27t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 16,2022",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 16 runs,Dinesh Karthik,DC,field,RCB,DC,Maxwell, Axar,0,0,
3.3," Axar to Kohli, 1 run, floated up, full and wide of off, Kohli leans and plays a whippy-drive to long-off's left ",1st Inns,27t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 16,2022",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 16 runs,Dinesh Karthik,DC,field,RCB,DC,Kohli, Axar,1,0,Full
3.2," Axar to Maxwell, 1 run, full on off, driven along the carpet to long-off ",1st Inns,27t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 16,2022",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 16 runs,Dinesh Karthik,DC,field,RCB,DC,Maxwell, Axar,1,0,Full
3.1," Axar to Kohli, 1 run, 93.5kph, round the wicket, flat and short of length, knocked to long-on ",1st Inns,27t,Delhi Capitals,Royal Challengers Bangalore,"Delhi Capitals (Playing XI): Prithvi Shaw, David Warner, Mitchell Marsh, Rishabh Pant(w/c), Rovman Powell, Lalit Yadav, Axar Patel, Shardul Thakur, Kuldeep Yadav, Mustafizur Rahman, Khaleel Ahmed","Royal Challengers Bangalore (Playing XI): Faf du Plessis(c), Anuj Rawat, Virat Kohli, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, Wanindu Hasaranga, Harshal Patel, Josh Hazlewood, Mohammed Siraj",,,IPL,2022,"Wankhede Stadium,Mumbai","Apr 16,2022",Delhi Capitals have won the toss and have opted to field,Royal Challengers Bangalore won by 16 runs,Dinesh Karthik,DC,field,RCB,DC,Kohli, Axar,1,0,Short
