ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra
19.6," Meredith to Hetmyer, 1 run, just the single to end. Slower ball wide outside off, Hetmyer reaches out to drive to long-off. RR end on 158 ",1st Inns,44t,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Daryl Mitchell, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Tim David, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Hrithik Shokeen, Daniel Sams, Jasprit Bumrah, Kumar Kartikeya, Riley Meredith",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 30,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Suryakumar Yadav,MI,field,RR,MI,Hetmyer, Meredith,1,0
19.5," Meredith to Hetmyer, no run, Hetmyer and Boult are within shaking hands of each other mid-pitch. And Hetmyer turns back to decline the single. Low full-toss which has been whipped straight to the fielder at deep backward square. No chance of two there ",1st Inns,44t,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Daryl Mitchell, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Tim David, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Hrithik Shokeen, Daniel Sams, Jasprit Bumrah, Kumar Kartikeya, Riley Meredith",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 30,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Suryakumar Yadav,MI,field,RR,MI,Hetmyer, Meredith,0,0
19.5," Meredith to Hetmyer, wide, Meredith is not happy as well as Rohit. The slower short ball dug in, Hetmyer gets forward to pull and misses. Called a wide ",1st Inns,44t,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Daryl Mitchell, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Tim David, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Hrithik Shokeen, Daniel Sams, Jasprit Bumrah, Kumar Kartikeya, Riley Meredith",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 30,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Suryakumar Yadav,MI,field,RR,MI,Hetmyer, Meredith,wide,1
19.4," Meredith to Hetmyer, no run, lovely yorker nutmegs Hetmyer outside leg. Right through the legs and MI have reviewed for LBW. Oh my! This is such a silly review. Pitching miles outside leg. Even to the naked eye, one can spot that it pitched outside leg. But MI think otherwise. No bat and that is at least a stump and a half wide of the leg-stump - the ball pitching well outside leg ",1st Inns,44t,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Daryl Mitchell, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Tim David, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Hrithik Shokeen, Daniel Sams, Jasprit Bumrah, Kumar Kartikeya, Riley Meredith",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 30,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Suryakumar Yadav,MI,field,RR,MI,Hetmyer, Meredith,0,0
19.3," Meredith to Hetmyer, no run, Hetmyer does not want the single. Slower and wider outside off, Hetmyer toe-ends it to long-off. He wants the strike ",1st Inns,44t,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Daryl Mitchell, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Tim David, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Hrithik Shokeen, Daniel Sams, Jasprit Bumrah, Kumar Kartikeya, Riley Meredith",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 30,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Suryakumar Yadav,MI,field,RR,MI,Hetmyer, Meredith,0,0
19.2," Meredith to Boult, 1 run, Boult gives Hetmyer the strike with a single wide of mid-wicket ",1st Inns,44t,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Daryl Mitchell, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Tim David, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Hrithik Shokeen, Daniel Sams, Jasprit Bumrah, Kumar Kartikeya, Riley Meredith",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 30,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Suryakumar Yadav,MI,field,RR,MI,Boult, Meredith,1,0
19.1," Meredith to Ashwin, out Caught by Ishan Kishan!! Ashwin walks even as umpire Bruce Oxenford nods. End of potentially a match-winning cameo with the bat. The slower short ball follows Ashwin who was backing away outside leg, it is right at him and it's off the glove as he flaps and misses with the bat, straight to Ishan Kishan. Ashwin c Ishan Kishan b Meredith 21(9) [4s-3 6s-1] ",1st Inns,44t,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Daryl Mitchell, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Tim David, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Hrithik Shokeen, Daniel Sams, Jasprit Bumrah, Kumar Kartikeya, Riley Meredith",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 30,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Suryakumar Yadav,MI,field,RR,MI,Ashwin, Meredith,out,out
18.6," Bumrah to Ashwin, 1 run, pinpoint yorker on off, this time Ashwin plays the same shot, but gets it finer to third man ",1st Inns,44t,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Daryl Mitchell, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Tim David, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Hrithik Shokeen, Daniel Sams, Jasprit Bumrah, Kumar Kartikeya, Riley Meredith",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 30,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Suryakumar Yadav,MI,field,RR,MI,Ashwin, Bumrah,1,0
18.5," Bumrah to Ashwin, FOUR, even Bumrah is impressed with that shot. Yorker on off, if you have to be ultra-critical then you have it call that a low full-toss, Ashwin moves around and jams the bat down with an open face, angled wide of the diving backward point and the ball runs away to the fence ",1st Inns,44t,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Daryl Mitchell, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Tim David, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Hrithik Shokeen, Daniel Sams, Jasprit Bumrah, Kumar Kartikeya, Riley Meredith",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 30,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Suryakumar Yadav,MI,field,RR,MI,Ashwin, Bumrah,4,0
18.4," Bumrah to Hetmyer, 1 run, low full-toss on the stumps, Hetmyer drives to long-on ",1st Inns,44t,Rajasthan Royals,Mumbai Indians,"Rajasthan Royals (Playing XI): Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Daryl Mitchell, Shimron Hetmyer, Riyan Parag, Ravichandran Ashwin, Trent Boult, Prasidh Krishna, Yuzvendra Chahal, Kuldeep Sen","Mumbai Indians (Playing XI): Ishan Kishan(w), Rohit Sharma(c), Tim David, Suryakumar Yadav, Tilak Varma, Kieron Pollard, Hrithik Shokeen, Daniel Sams, Jasprit Bumrah, Kumar Kartikeya, Riley Meredith",,,IPL,2022,"Dr DY Patil Sports Academy,Mumbai","Apr 30,2022",Mumbai Indians have won the toss and have opted to field,Mumbai Indians won by 5 wkts,Suryakumar Yadav,MI,field,RR,MI,Hetmyer, Bumrah,1,0
