ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra
9.1," Odean Smith to Shivam Dube, 1 run, short of length on middle, Dube pulls to deep midwicket ",2nd Inns,11t,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), MS Dhoni(w), Shivam Dube, Dwayne Bravo, Chris Jordan, Dwaine Pretorius, Mukesh Choudhary","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Shahrukh Khan, Jitesh Sharma(w), Odean Smith, Arshdeep Singh, Kagiso Rabada, Rahul Chahar, Vaibhav Arora",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 03,2022",Chennai Super Kings have won the toss and have opted to field,Punjab Kings won by 54 runs,Liam Livingstone,CSK,field,CSK,PBKS,Shivam Dube, Odean Smith,1,0
8.6," Rahul Chahar to Dhoni, no run, tossed up outside off, Dhoni looks to drive but there's a little bit of turn and it's enough to beat the outside edge ",2nd Inns,11t,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), MS Dhoni(w), Shivam Dube, Dwayne Bravo, Chris Jordan, Dwaine Pretorius, Mukesh Choudhary","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Shahrukh Khan, Jitesh Sharma(w), Odean Smith, Arshdeep Singh, Kagiso Rabada, Rahul Chahar, Vaibhav Arora",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 03,2022",Chennai Super Kings have won the toss and have opted to field,Punjab Kings won by 54 runs,Liam Livingstone,CSK,field,CSK,PBKS,Dhoni, Rahul Chahar,0,0
8.5," Rahul Chahar to Dhoni, no run, steps out and pushes it back down the pitch ",2nd Inns,11t,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), MS Dhoni(w), Shivam Dube, Dwayne Bravo, Chris Jordan, Dwaine Pretorius, Mukesh Choudhary","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Shahrukh Khan, Jitesh Sharma(w), Odean Smith, Arshdeep Singh, Kagiso Rabada, Rahul Chahar, Vaibhav Arora",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 03,2022",Chennai Super Kings have won the toss and have opted to field,Punjab Kings won by 54 runs,Liam Livingstone,CSK,field,CSK,PBKS,Dhoni, Rahul Chahar,0,0
8.4," Rahul Chahar to Shivam Dube, 1 run, full at the stumps, Dube pushes down to long-on ",2nd Inns,11t,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), MS Dhoni(w), Shivam Dube, Dwayne Bravo, Chris Jordan, Dwaine Pretorius, Mukesh Choudhary","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Shahrukh Khan, Jitesh Sharma(w), Odean Smith, Arshdeep Singh, Kagiso Rabada, Rahul Chahar, Vaibhav Arora",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 03,2022",Chennai Super Kings have won the toss and have opted to field,Punjab Kings won by 54 runs,Liam Livingstone,CSK,field,CSK,PBKS,Shivam Dube, Rahul Chahar,1,0
8.3," Rahul Chahar to Dhoni, 1 run, flat outside off, steers it through the cover-point region ",2nd Inns,11t,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), MS Dhoni(w), Shivam Dube, Dwayne Bravo, Chris Jordan, Dwaine Pretorius, Mukesh Choudhary","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Shahrukh Khan, Jitesh Sharma(w), Odean Smith, Arshdeep Singh, Kagiso Rabada, Rahul Chahar, Vaibhav Arora",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 03,2022",Chennai Super Kings have won the toss and have opted to field,Punjab Kings won by 54 runs,Liam Livingstone,CSK,field,CSK,PBKS,Dhoni, Rahul Chahar,1,0
8.2," Rahul Chahar to Dhoni, no run, bit short on off, turning away, Dhoni plays it back to Chahar ",2nd Inns,11t,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), MS Dhoni(w), Shivam Dube, Dwayne Bravo, Chris Jordan, Dwaine Pretorius, Mukesh Choudhary","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Shahrukh Khan, Jitesh Sharma(w), Odean Smith, Arshdeep Singh, Kagiso Rabada, Rahul Chahar, Vaibhav Arora",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 03,2022",Chennai Super Kings have won the toss and have opted to field,Punjab Kings won by 54 runs,Liam Livingstone,CSK,field,CSK,PBKS,Dhoni, Rahul Chahar,0,0
8.1," Rahul Chahar to Shivam Dube, 1 run,flicked through midwicket ",2nd Inns,11t,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), MS Dhoni(w), Shivam Dube, Dwayne Bravo, Chris Jordan, Dwaine Pretorius, Mukesh Choudhary","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Shahrukh Khan, Jitesh Sharma(w), Odean Smith, Arshdeep Singh, Kagiso Rabada, Rahul Chahar, Vaibhav Arora",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 03,2022",Chennai Super Kings have won the toss and have opted to field,Punjab Kings won by 54 runs,Liam Livingstone,CSK,field,CSK,PBKS,Shivam Dube, Rahul Chahar,1,0
7.6," Odean Smith to Shivam Dube, 1 run, back of a length on middle, Dube stays leg-side of it and punches to sweeper cover ",2nd Inns,11t,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), MS Dhoni(w), Shivam Dube, Dwayne Bravo, Chris Jordan, Dwaine Pretorius, Mukesh Choudhary","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Shahrukh Khan, Jitesh Sharma(w), Odean Smith, Arshdeep Singh, Kagiso Rabada, Rahul Chahar, Vaibhav Arora",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 03,2022",Chennai Super Kings have won the toss and have opted to field,Punjab Kings won by 54 runs,Liam Livingstone,CSK,field,CSK,PBKS,Shivam Dube, Odean Smith,1,0
7.5," Odean Smith to Shivam Dube, no run, back of a length on off, blocked in front of cover ",2nd Inns,11t,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), MS Dhoni(w), Shivam Dube, Dwayne Bravo, Chris Jordan, Dwaine Pretorius, Mukesh Choudhary","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Shahrukh Khan, Jitesh Sharma(w), Odean Smith, Arshdeep Singh, Kagiso Rabada, Rahul Chahar, Vaibhav Arora",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 03,2022",Chennai Super Kings have won the toss and have opted to field,Punjab Kings won by 54 runs,Liam Livingstone,CSK,field,CSK,PBKS,Shivam Dube, Odean Smith,0,0
7.4," Odean Smith to Dhoni, 1 run, back of a length on off, Dhoni works it wide of mid-on off the back foot ",2nd Inns,11t,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), MS Dhoni(w), Shivam Dube, Dwayne Bravo, Chris Jordan, Dwaine Pretorius, Mukesh Choudhary","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Shahrukh Khan, Jitesh Sharma(w), Odean Smith, Arshdeep Singh, Kagiso Rabada, Rahul Chahar, Vaibhav Arora",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 03,2022",Chennai Super Kings have won the toss and have opted to field,Punjab Kings won by 54 runs,Liam Livingstone,CSK,field,CSK,PBKS,Dhoni, Odean Smith,1,0
7.3,"Odean Smith to Rayudu, out Caught by Jitesh Sharma!! Five down! Rayudu's gone as well. Wow what a performance this has been from the Punjab pacers so far as Smith joins the party as well. Short of length delivery that shapes back into Rayudu this time, unlike the previous one that went away. He tries to ramp it again but gets cramped for room with the ball coming back. It goes off his gloves to the right of the keeper who takes a brilliant diving catch. Rayudu c Jitesh Sharma b Odean Smith 13(21) [4s-2]",2nd Inns,11t,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), MS Dhoni(w), Shivam Dube, Dwayne Bravo, Chris Jordan, Dwaine Pretorius, Mukesh Choudhary","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Shahrukh Khan, Jitesh Sharma(w), Odean Smith, Arshdeep Singh, Kagiso Rabada, Rahul Chahar, Vaibhav Arora",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 03,2022",Chennai Super Kings have won the toss and have opted to field,Punjab Kings won by 54 runs,Liam Livingstone,CSK,field,CSK,PBKS,Rayudu,Odean Smith,out,out
7.2," Odean Smith to Rayudu, no run, short of length delivery outside off, swings away as Rayudu goes for a ramp and beats him ",2nd Inns,11t,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), MS Dhoni(w), Shivam Dube, Dwayne Bravo, Chris Jordan, Dwaine Pretorius, Mukesh Choudhary","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Shahrukh Khan, Jitesh Sharma(w), Odean Smith, Arshdeep Singh, Kagiso Rabada, Rahul Chahar, Vaibhav Arora",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 03,2022",Chennai Super Kings have won the toss and have opted to field,Punjab Kings won by 54 runs,Liam Livingstone,CSK,field,CSK,PBKS,Rayudu, Odean Smith,0,0
7.1," Odean Smith to Rayudu, no run, 138.6kph, pitched up on middle, Rayudu pushes it back to Smith ",2nd Inns,11t,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), MS Dhoni(w), Shivam Dube, Dwayne Bravo, Chris Jordan, Dwaine Pretorius, Mukesh Choudhary","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Shahrukh Khan, Jitesh Sharma(w), Odean Smith, Arshdeep Singh, Kagiso Rabada, Rahul Chahar, Vaibhav Arora",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 03,2022",Chennai Super Kings have won the toss and have opted to field,Punjab Kings won by 54 runs,Liam Livingstone,CSK,field,CSK,PBKS,Rayudu, Odean Smith,0,0
6.6," Vaibhav Arora to Shivam Dube, no run, 131.2kph, good length that straightens outside off, Shivam Dube drives/pushes with cemented feet and gets beaten on the outside edge. Vaibhav Arora's bowling figures on debut: 4-0-21-2 ",2nd Inns,11t,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Robin Uthappa, Moeen Ali, Ambati Rayudu, Ravindra Jadeja(c), MS Dhoni(w), Shivam Dube, Dwayne Bravo, Chris Jordan, Dwaine Pretorius, Mukesh Choudhary","Punjab Kings (Playing XI): Mayank Agarwal(c), Shikhar Dhawan, Bhanuka Rajapaksa, Liam Livingstone, Shahrukh Khan, Jitesh Sharma(w), Odean Smith, Arshdeep Singh, Kagiso Rabada, Rahul Chahar, Vaibhav Arora",,,IPL,2022,"Brabourne Stadium,Mumbai","Apr 03,2022",Chennai Super Kings have won the toss and have opted to field,Punjab Kings won by 54 runs,Liam Livingstone,CSK,field,CSK,PBKS,Shivam Dube, Vaibhav Arora,0,0
