ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
13.5," Rahul Tewatia to Pollard, SIX, Pollard joins into the act. Tewatia drifted it wide of off but Pollard managed to reach with his long levers and launches it straight down the ground ",2nd Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,MI,PBKS,Pollard, Rahul Tewatia,6,0,,wide,straight,,,
13.4," Rahul Tewatia to Hardik Pandya, 1 run, floats it up full outside off, Pandya leans forward and drives it sweetly through extra cover ",2nd Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,MI,PBKS,Hardik Pandya, Rahul Tewatia,1,0,Full,off side,extra cover,cover drive,,
13.3," Rahul Tewatia to Hardik Pandya, no run, turning away outside off, was close to the tramlines so Pandya left it alone. But the umpire thinks otherwise and deemed it as a legal delivery ",2nd Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,MI,PBKS,Hardik Pandya, Rahul Tewatia,0,0,,off side,,,,
13.2," Rahul Tewatia to Hardik Pandya, SIX, Pandya doesn't bother wasting any time. Sees a tossed up delivery in his arc, flexes his muscle and tonks it straight over the bowler's head ",2nd Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,MI,PBKS,Hardik Pandya, Rahul Tewatia,6,0,Full toss,,straight,,,
13.1," Rahul Tewatia to Hardik Pandya, no run, slider outside off, Pandya waits and waits, chops it with an open bat face to short third man ",2nd Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,MI,PBKS,Hardik Pandya, Rahul Tewatia,0,0,Short,off side,short third man,,,
12.6," Axar to Hardik Pandya, 1 run, flattish outside off, Pandya stays back and punches it to sweeper cover ",2nd Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,MI,PBKS,Hardik Pandya, Axar,1,0,,off side,sweeper,,,
12.5," Axar to Pollard, 1 run, tucked away through square leg ",2nd Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,MI,PBKS,Pollard, Axar,1,0,,,square leg,,,
12.4," Axar to Nitish Rana, out Caught by Guptill!! Gone! Another one bites the dust. Rana hasn't been in the best of touch lately and he departs cheaply today. Axar pushed it through quicker, perhaps Rana was hustled for pace. Went back and looked to clear deep mid-wicket but messes up with his timing. Skies it straight to Guptill near the rope and he gobbles it up nicely. Nitish Rana c Guptill b Axar 12(12) [4s-2] ",2nd Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,MI,PBKS,Nitish Rana, Axar,out,out,,,mid-wicket,push shot,,"Catch out , guptill"
12.3," Axar to Nitish Rana, no run, ooh, gives more air and teases Rana, he swings blindly and gets an under-edge. Rolls away to short fine ",2nd Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,MI,PBKS,Nitish Rana, Axar,0,0,Short,,short fine,edge,,
12.2," Axar to Nitish Rana, no run, angles it wider of off, makes Rana reach for it. Rana sinks low and slogs, comes up with zilch ",2nd Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,MI,PBKS,Nitish Rana, Axar,0,0,,wide,,slog shot,,
12.1," Axar to Pollard, 1 run, flatter and quicker, Pollard skips back and shovels it through mid-wicket ",2nd Inns,51s,Mumbai Indians,Kings XI Punjab,"Mumbai Indians (Playing XI): Lendl Simmons, Parthiv Patel(w), Nitish Rana, Rohit Sharma(c), Hardik Pandya, Kieron Pollard, Karn Sharma, Harbhajan Singh, Mitchell McClenaghan, Jasprit Bumrah, Lasith Malinga","Kings XI Punjab (Playing XI): Manan Vohra, Martin Guptill, Shaun Marsh, Wriddhiman Saha(w), Glenn Maxwell(c), Axar Patel, Rahul Tewatia, Matt Henry, Mohit Sharma, Ishant Sharma, Sandeep Sharma",,,IPL,2017,"Wankhede Stadium,Mumbai","May 11,2017",Mumbai Indians have won the toss and have opted to field,Kings XI Punjab won by 7 runs,Wriddhiman Saha,MI,field,MI,PBKS,Pollard, Axar,1,0,,,mid-wicket,,,
