ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team
18.2," Axar to Corey Anderson, no run, fired in on the pads and Anderson can't get underneath it, struck on the pad ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
18.1," Axar to Corey Anderson, 2 runs, round the wicket and pushed across the left-hander, Anderson drags the pull to deep mid-wicket. Even though it went straight to the fielder, the duo raced back for the second ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
17.6," Sandeep Sharma to Pat Cummins, 2 runs, on a length and just outside off, Cummins eases the drive to wide long-off and called for two. He had placed it to perfection and Anderson went haring back ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
17.5," Sandeep Sharma to Chris Morris, out Caught by Mohit Sharma!! Huge wicket this, especially at this stage of the innings. Morris blasted a 9-ball 38 in the previous game against RPS, coming in at this stage. Short of a length delivery and Morris pulls, he does not bother to keep it down, was planning to clear the fielder. But since it was off the bottom of the bat, it has no wings to fly over Mohit at deep square. Chris Morris c Mohit Sharma b Sandeep Sharma 16(8) [4s-1 6s-1] ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
17.4," Sandeep Sharma to Corey Anderson, 1 run, Anderson has missed out on a full toss, angled in and he didn't have the space to free his arms, spoons it to extra cover and takes off. Maxwell fires a throw at the bowler's end and misses, Anderson makes it in ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
17.3," Sandeep Sharma to Chris Morris, 1 run, length delivery and Morris swings across the line, finds Maxwell at deep mid-wicket ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
17.2," Sandeep Sharma to Corey Anderson, 1 run, shortens the length, Anderson goes for the pull and inside edges it back to Saha, Morris calls his partner through for the single ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
17.1," Sandeep Sharma to Corey Anderson, FOUR, round the wicket and dishes in a full toss, the idea was to nail the yorker, missed and Anderson slices it over the infield on the off-side. The fielder was at deep cover and even though the ball plugged in the outfield, he couldn't get there ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
16.6," Mohit Sharma to Corey Anderson, 1 run, once more no pace on the ball and Anderson bunts it in front of point. Retains strike with that run. 13 off the over and Mohit finishes with: 4-0-37-1 ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
16.5," Mohit Sharma to Corey Anderson, no run, slower bumper, clocked at 108kph, Anderson ducks and allows it to sail over. Saha collects it on the bounce. The umpire signals one for the over ",1st Inns,15t,Delhi Daredevils,Kings XI Punjab,"Delhi Daredevils (Playing XI): Shreyas Iyer, Sam Billings, Sanju Samson, Rishabh Pant(w), Corey Anderson, Chris Morris, Karun Nair, Pat Cummins, Amit Mishra, Shahbaz Nadeem, Zaheer Khan(c)","Kings XI Punjab (Playing XI): Hashim Amla, Manan Vohra, Eoin Morgan, Glenn Maxwell(c), David Miller, Wriddhiman Saha(w), Axar Patel, Mohit Sharma, Varun Aaron, Sandeep Sharma, KC Cariappa",,,IPL,2017,"Arun Jaitley Stadium,Delhi","Apr 15,2017",Delhi Daredevils have won the toss and have opted to bat,Delhi Daredevils won by 51 runs,Corey Anderson,DD,bat,DD,PBKS
