ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
8.2," Jadeja to Shreyas Iyer, 1 run, sliding into the pads, Iyer nurdles it behind square ",2nd Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,DD,GL,Shreyas Iyer, Jadeja,1,0,,,square
8.1," Jadeja to Shreyas Iyer, no run, purchase for Jadeja. It caught Iyer, who was on the charge, by surprise. Fired in from round the wicket, prevents Iyer from getting to the pitch and then turns. Iyer did well to adjust and defend ",2nd Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,DD,GL,Shreyas Iyer, Jadeja,0,0,,,
7.6," Faulkner to Samuels, no run, superb work from Karthik to prevent Samuels from getting off the mark. Throws himself to his right to stop the ball from getting dabbed down to third man ",2nd Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,DD,GL,Samuels, Faulkner,0,0,,,third man
7.5," Faulkner to Samuels, no run, played back down the pitch ",2nd Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,DD,GL,Samuels, Faulkner,0,0,,,down the pitch
7.4," Faulkner to Shreyas Iyer, 1 run, opens the bat-face and angles it down to third man ",2nd Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,DD,GL,Shreyas Iyer, Faulkner,1,0,,,third man
7.3," Faulkner to Nair, out Caught by Dwayne Smith!! Faulkner's done him with lack of pace. Really canny bowling. Cuts his fingers across, the ball holds up on Nair as he tries to loft inside out and ends up slicing it in the air. Smith backpedals at least 10-15 yards from extra-cover, eyes on the ball all the time, and grabs it. Nair c Dwayne Smith b Faulkner 30(15) [4s-5 6s-1] ",2nd Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,DD,GL,Nair, Faulkner,out,out,,,cover
7.2," Faulkner to Nair, no run, Faulkner taking the pace off and foiling the timing from Nair. He's aiming an expansive cover drive on the up but the ball holds up and the inside-edge rolls beside the pitch. Nair wants the run but it's not there ",2nd Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,DD,GL,Nair, Faulkner,0,0,,,cover
7.1," Faulkner to Shreyas Iyer, 1 run, not a lot of pace from Faulkner as he bangs it in from round the wicket, the ball hardly gets up as Iyer glances it off his pads to fine leg ",2nd Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,DD,GL,Shreyas Iyer, Faulkner,1,0,,,fine leg
6.6," Jadeja to Nair, FOUR, goes down low, reverses his stance and scoops the reverse-sweep over short third man. Nair rattling along. 30 off 13 balls now ",2nd Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,DD,GL,Nair, Jadeja,4,0,Short,,short third man
6.5," Jadeja to Nair, no run, skids on rapidly and beats Nair for pace as he attempts a cut. May have misjudged the length slightly. Wasn't short enough ",2nd Inns,50t,Gujarat Lions,Delhi Daredevils,"Gujarat Lions (Playing XI): Dwayne Smith, Ishan Kishan, Suresh Raina(c), Dinesh Karthik(w), Aaron Finch, Ravindra Jadeja, James Faulkner, Dhawal Kulkarni, Pradeep Sangwan, Basil Thampi, Ankit Soni","Delhi Daredevils (Playing XI): Sanju Samson, Karun Nair, Shreyas Iyer, Rishabh Pant(w), Corey Anderson, Marlon Samuels, Carlos Brathwaite, Pat Cummins, Amit Mishra, Mohammed Shami, Zaheer Khan(c)",,,IPL,2017,"Green Park,Kanpur","May 10,2017",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 2 wkts,Shreyas Iyer,DD,field,DD,GL,Nair, Jadeja,0,0,Short,,
