ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,out_type
8.3," Tahir to Uthappa, SIX, had a good piece of that did Robin Uthappa. Got underneath and marmalized a floater over long-on for a 83-metre maximum over long-on ",2nd Inns,30t,Rising Pune Supergiant,Kolkata Knight Riders,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Faf du Plessis, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Sunil Narine, Robin Uthappa(w), Darren Bravo, Manish Pandey, Yusuf Pathan, Colin de Grandhomme, Chris Woakes, Piyush Chawla, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 26,2017",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Robin Uthappa,KKR,field,KKR,RPS,Uthappa, Tahir,6,0,Good,,long-on,,
8.2," Tahir to Gambhir, 1 run, on middle and leg, worked away through mid-wicket ",2nd Inns,30t,Rising Pune Supergiant,Kolkata Knight Riders,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Faf du Plessis, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Sunil Narine, Robin Uthappa(w), Darren Bravo, Manish Pandey, Yusuf Pathan, Colin de Grandhomme, Chris Woakes, Piyush Chawla, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 26,2017",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Robin Uthappa,KKR,field,KKR,RPS,Gambhir, Tahir,1,0,,stump line,mid-wicket,,
8.1," Tahir to Gambhir, 2 runs, eased down to long-on after making half-a-stride forward ",2nd Inns,30t,Rising Pune Supergiant,Kolkata Knight Riders,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Faf du Plessis, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Sunil Narine, Robin Uthappa(w), Darren Bravo, Manish Pandey, Yusuf Pathan, Colin de Grandhomme, Chris Woakes, Piyush Chawla, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 26,2017",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Robin Uthappa,KKR,field,KKR,RPS,Gambhir, Tahir,2,0,,,long-on,,
7.6," Washington Sundar to Gambhir, 1 run, tilting towards the pads, Gambhir uses the angle to ping one to short fine ",2nd Inns,30t,Rising Pune Supergiant,Kolkata Knight Riders,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Faf du Plessis, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Sunil Narine, Robin Uthappa(w), Darren Bravo, Manish Pandey, Yusuf Pathan, Colin de Grandhomme, Chris Woakes, Piyush Chawla, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 26,2017",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Robin Uthappa,KKR,field,KKR,RPS,Gambhir, Washington Sundar,1,0,Short,,short fine,,
7.5," Washington Sundar to Gambhir, 2 runs, gets behind the line of this one and carves it through extra cover. Finding his feet now, looking better ",2nd Inns,30t,Rising Pune Supergiant,Kolkata Knight Riders,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Faf du Plessis, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Sunil Narine, Robin Uthappa(w), Darren Bravo, Manish Pandey, Yusuf Pathan, Colin de Grandhomme, Chris Woakes, Piyush Chawla, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 26,2017",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Robin Uthappa,KKR,field,KKR,RPS,Gambhir, Washington Sundar,2,0,,,extra cover,,
7.4," Washington Sundar to Uthappa, 1 run, smart. Angles his blade and steals a quick single to short third ",2nd Inns,30t,Rising Pune Supergiant,Kolkata Knight Riders,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Faf du Plessis, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Sunil Narine, Robin Uthappa(w), Darren Bravo, Manish Pandey, Yusuf Pathan, Colin de Grandhomme, Chris Woakes, Piyush Chawla, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 26,2017",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Robin Uthappa,KKR,field,KKR,RPS,Uthappa, Washington Sundar,1,0,Short,,,,
7.3," Washington Sundar to Uthappa, SIX, make that two in a row. Over long-on this time. Good hand-eye coordination as he smears the ball with a clean swing of the willow ",2nd Inns,30t,Rising Pune Supergiant,Kolkata Knight Riders,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Faf du Plessis, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Sunil Narine, Robin Uthappa(w), Darren Bravo, Manish Pandey, Yusuf Pathan, Colin de Grandhomme, Chris Woakes, Piyush Chawla, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 26,2017",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Robin Uthappa,KKR,field,KKR,RPS,Uthappa, Washington Sundar,6,0,Good,,long-on,,
7.2,"Washington Sundar to Uthappa, SIX, on one knee and spank! Right towards the pitch of the delivery and he goes kaboom over wide long-off",2nd Inns,30t,Rising Pune Supergiant,Kolkata Knight Riders,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Faf du Plessis, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Sunil Narine, Robin Uthappa(w), Darren Bravo, Manish Pandey, Yusuf Pathan, Colin de Grandhomme, Chris Woakes, Piyush Chawla, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 26,2017",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Robin Uthappa,KKR,field,KKR,RPS,Uthappa,Washington Sundar,6,0,,wide,long-off,,
7.1," Washington Sundar to Uthappa, FOUR. Deft. Uses the crease to make subtle adjustments and glides a slider with a silk touch down to third man ",2nd Inns,30t,Rising Pune Supergiant,Kolkata Knight Riders,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Faf du Plessis, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Sunil Narine, Robin Uthappa(w), Darren Bravo, Manish Pandey, Yusuf Pathan, Colin de Grandhomme, Chris Woakes, Piyush Chawla, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 26,2017",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Robin Uthappa,KKR,field,KKR,RPS,Uthappa, Washington Sundar,4,0,,,third man,,
6.6," Tahir to Gambhir, FOUR, advances, gets to the pitch of the delivery and nails the straight drive. Take four ",2nd Inns,30t,Rising Pune Supergiant,Kolkata Knight Riders,"Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Faf du Plessis, MS Dhoni(w), Manoj Tiwary, Daniel Christian, Washington Sundar, Shardul Thakur, Imran Tahir, Jaydev Unadkat","Kolkata Knight Riders (Playing XI): Gautam Gambhir(c), Sunil Narine, Robin Uthappa(w), Darren Bravo, Manish Pandey, Yusuf Pathan, Colin de Grandhomme, Chris Woakes, Piyush Chawla, Kuldeep Yadav, Umesh Yadav",,,IPL,2017,"Maharashtra Cricket Association Stadium,Pune","Apr 26,2017",Kolkata Knight Riders have won the toss and have opted to field,Kolkata Knight Riders won by 7 wkts,Robin Uthappa,KKR,field,KKR,RPS,Gambhir, Tahir,4,0,,,straight,straight drive,
