ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name
19.6," Chris Morris to Tymal Mills, out Bowled!! Morris gets another wicket with a juicy full-toss. RCB finish with just 157 on the board. Mills made room on the drive, missed and the off-stump goes for a walk. Tymal Mills b Chris Morris 0(3) ",1st Inns,5th,Royal Challengers Bangalore,Delhi Daredevils,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Mandeep Singh, Vishnu Vinod(w), Kedar Jadhav, Shane Watson(c), Stuart Binny, Pawan Negi, Iqbal Abdulla, Tymal Mills, Yuzvendra Chahal, Billy Stanlake","Delhi Daredevils (Playing XI): Sam Billings, Aditya Tare, Sanju Samson, Karun Nair, Rishabh Pant(w), Carlos Brathwaite, Chris Morris, Pat Cummins, Shahbaz Nadeem, Zaheer Khan(c), Amit Mishra",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","Apr 08,2017","RCB won the toss and opted to bat first at the Chinnaswamy. That's a brave call, they are playing three spinners as well. Are they hoping for the bowlers to defend whatever their batsmen make? They are still without VK and AB, they have lost KL. Tough times if you are a RCB fan. Gayle and a change at the top - it's Watson who's walking out to the middle. We are ready for Bengaluru's first IPL 10 game..",Royal Challengers Bangalore won by 15 runs,Kedar Jadhav,RCB,bat,RCB,DD,Tymal Mills, Chris Morris,out,out,Full toss,,,beaten
19.5," Chris Morris to Tymal Mills, no run, another yorker length delivery outside off, Mills once again swings and misses, another dot ball ",1st Inns,5th,Royal Challengers Bangalore,Delhi Daredevils,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Mandeep Singh, Vishnu Vinod(w), Kedar Jadhav, Shane Watson(c), Stuart Binny, Pawan Negi, Iqbal Abdulla, Tymal Mills, Yuzvendra Chahal, Billy Stanlake","Delhi Daredevils (Playing XI): Sam Billings, Aditya Tare, Sanju Samson, Karun Nair, Rishabh Pant(w), Carlos Brathwaite, Chris Morris, Pat Cummins, Shahbaz Nadeem, Zaheer Khan(c), Amit Mishra",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","Apr 08,2017","RCB won the toss and opted to bat first at the Chinnaswamy. That's a brave call, they are playing three spinners as well. Are they hoping for the bowlers to defend whatever their batsmen make? They are still without VK and AB, they have lost KL. Tough times if you are a RCB fan. Gayle and a change at the top - it's Watson who's walking out to the middle. We are ready for Bengaluru's first IPL 10 game..",Royal Challengers Bangalore won by 15 runs,Kedar Jadhav,RCB,bat,RCB,DD,Tymal Mills, Chris Morris,0,0,yorker,off side,,beaten
19.4," Chris Morris to Tymal Mills, no run, very full and outside off, Mills backed away on the drive and missed ",1st Inns,5th,Royal Challengers Bangalore,Delhi Daredevils,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Mandeep Singh, Vishnu Vinod(w), Kedar Jadhav, Shane Watson(c), Stuart Binny, Pawan Negi, Iqbal Abdulla, Tymal Mills, Yuzvendra Chahal, Billy Stanlake","Delhi Daredevils (Playing XI): Sam Billings, Aditya Tare, Sanju Samson, Karun Nair, Rishabh Pant(w), Carlos Brathwaite, Chris Morris, Pat Cummins, Shahbaz Nadeem, Zaheer Khan(c), Amit Mishra",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","Apr 08,2017","RCB won the toss and opted to bat first at the Chinnaswamy. That's a brave call, they are playing three spinners as well. Are they hoping for the bowlers to defend whatever their batsmen make? They are still without VK and AB, they have lost KL. Tough times if you are a RCB fan. Gayle and a change at the top - it's Watson who's walking out to the middle. We are ready for Bengaluru's first IPL 10 game..",Royal Challengers Bangalore won by 15 runs,Kedar Jadhav,RCB,bat,RCB,DD,Tymal Mills, Chris Morris,0,0,Full,off side,,beaten
19.3," Chris Morris to Negi, out Bowled!! Morris gets his yorker right and Negi's stumps go for a walk. This was fast, this was full and this was on the middle-stump line. Negi backs away on the drive, misses and simply walks back to the pavilion. Negi b Chris Morris 10(8) [6s-1] ",1st Inns,5th,Royal Challengers Bangalore,Delhi Daredevils,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Mandeep Singh, Vishnu Vinod(w), Kedar Jadhav, Shane Watson(c), Stuart Binny, Pawan Negi, Iqbal Abdulla, Tymal Mills, Yuzvendra Chahal, Billy Stanlake","Delhi Daredevils (Playing XI): Sam Billings, Aditya Tare, Sanju Samson, Karun Nair, Rishabh Pant(w), Carlos Brathwaite, Chris Morris, Pat Cummins, Shahbaz Nadeem, Zaheer Khan(c), Amit Mishra",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","Apr 08,2017","RCB won the toss and opted to bat first at the Chinnaswamy. That's a brave call, they are playing three spinners as well. Are they hoping for the bowlers to defend whatever their batsmen make? They are still without VK and AB, they have lost KL. Tough times if you are a RCB fan. Gayle and a change at the top - it's Watson who's walking out to the middle. We are ready for Bengaluru's first IPL 10 game..",Royal Challengers Bangalore won by 15 runs,Kedar Jadhav,RCB,bat,RCB,DD,Negi, Chris Morris,out,out,yorker,,,beaten
19.2," Chris Morris to Negi, SIX, Negi connects one finally! This was the slower full-toss from Morris, Negi backed away, got underneath the delivery and sends it soaring over long-off for a maximum ",1st Inns,5th,Royal Challengers Bangalore,Delhi Daredevils,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Mandeep Singh, Vishnu Vinod(w), Kedar Jadhav, Shane Watson(c), Stuart Binny, Pawan Negi, Iqbal Abdulla, Tymal Mills, Yuzvendra Chahal, Billy Stanlake","Delhi Daredevils (Playing XI): Sam Billings, Aditya Tare, Sanju Samson, Karun Nair, Rishabh Pant(w), Carlos Brathwaite, Chris Morris, Pat Cummins, Shahbaz Nadeem, Zaheer Khan(c), Amit Mishra",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","Apr 08,2017","RCB won the toss and opted to bat first at the Chinnaswamy. That's a brave call, they are playing three spinners as well. Are they hoping for the bowlers to defend whatever their batsmen make? They are still without VK and AB, they have lost KL. Tough times if you are a RCB fan. Gayle and a change at the top - it's Watson who's walking out to the middle. We are ready for Bengaluru's first IPL 10 game..",Royal Challengers Bangalore won by 15 runs,Kedar Jadhav,RCB,bat,RCB,DD,Negi, Chris Morris,6,0,Full toss,,long-off,
19.1," Chris Morris to I Abdulla, 1 run, low full-toss from Morris as he followed Abdulla, clipped away towards long leg for a single ",1st Inns,5th,Royal Challengers Bangalore,Delhi Daredevils,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Mandeep Singh, Vishnu Vinod(w), Kedar Jadhav, Shane Watson(c), Stuart Binny, Pawan Negi, Iqbal Abdulla, Tymal Mills, Yuzvendra Chahal, Billy Stanlake","Delhi Daredevils (Playing XI): Sam Billings, Aditya Tare, Sanju Samson, Karun Nair, Rishabh Pant(w), Carlos Brathwaite, Chris Morris, Pat Cummins, Shahbaz Nadeem, Zaheer Khan(c), Amit Mishra",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","Apr 08,2017","RCB won the toss and opted to bat first at the Chinnaswamy. That's a brave call, they are playing three spinners as well. Are they hoping for the bowlers to defend whatever their batsmen make? They are still without VK and AB, they have lost KL. Tough times if you are a RCB fan. Gayle and a change at the top - it's Watson who's walking out to the middle. We are ready for Bengaluru's first IPL 10 game..",Royal Challengers Bangalore won by 15 runs,Kedar Jadhav,RCB,bat,RCB,DD,I Abdulla, Chris Morris,1,0,Full toss,,long leg,
18.6," Pat Cummins to Negi, no run, yorker length delivery outside off, Negi gets his left leg out of the way, swings hard and misses, just 6 runs from the over ",1st Inns,5th,Royal Challengers Bangalore,Delhi Daredevils,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Mandeep Singh, Vishnu Vinod(w), Kedar Jadhav, Shane Watson(c), Stuart Binny, Pawan Negi, Iqbal Abdulla, Tymal Mills, Yuzvendra Chahal, Billy Stanlake","Delhi Daredevils (Playing XI): Sam Billings, Aditya Tare, Sanju Samson, Karun Nair, Rishabh Pant(w), Carlos Brathwaite, Chris Morris, Pat Cummins, Shahbaz Nadeem, Zaheer Khan(c), Amit Mishra",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","Apr 08,2017","RCB won the toss and opted to bat first at the Chinnaswamy. That's a brave call, they are playing three spinners as well. Are they hoping for the bowlers to defend whatever their batsmen make? They are still without VK and AB, they have lost KL. Tough times if you are a RCB fan. Gayle and a change at the top - it's Watson who's walking out to the middle. We are ready for Bengaluru's first IPL 10 game..",Royal Challengers Bangalore won by 15 runs,Kedar Jadhav,RCB,bat,RCB,DD,Negi, Pat Cummins,0,0,yorker,off side,,beaten
18.5," Pat Cummins to Negi, 2 runs, another top bouncer from Cummins, Negi was backing away on the pull, gets a top-edge that goes high and lands in no man's land near mid-wicket ",1st Inns,5th,Royal Challengers Bangalore,Delhi Daredevils,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Mandeep Singh, Vishnu Vinod(w), Kedar Jadhav, Shane Watson(c), Stuart Binny, Pawan Negi, Iqbal Abdulla, Tymal Mills, Yuzvendra Chahal, Billy Stanlake","Delhi Daredevils (Playing XI): Sam Billings, Aditya Tare, Sanju Samson, Karun Nair, Rishabh Pant(w), Carlos Brathwaite, Chris Morris, Pat Cummins, Shahbaz Nadeem, Zaheer Khan(c), Amit Mishra",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","Apr 08,2017","RCB won the toss and opted to bat first at the Chinnaswamy. That's a brave call, they are playing three spinners as well. Are they hoping for the bowlers to defend whatever their batsmen make? They are still without VK and AB, they have lost KL. Tough times if you are a RCB fan. Gayle and a change at the top - it's Watson who's walking out to the middle. We are ready for Bengaluru's first IPL 10 game..",Royal Challengers Bangalore won by 15 runs,Kedar Jadhav,RCB,bat,RCB,DD,Negi, Pat Cummins,2,0,,,mid-wicket,edge
18.4," Pat Cummins to I Abdulla, 1 run, banged in short and on the stumps, Abdulla is late on the pull, the top-edge goes high and behind square on the on-side ",1st Inns,5th,Royal Challengers Bangalore,Delhi Daredevils,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Mandeep Singh, Vishnu Vinod(w), Kedar Jadhav, Shane Watson(c), Stuart Binny, Pawan Negi, Iqbal Abdulla, Tymal Mills, Yuzvendra Chahal, Billy Stanlake","Delhi Daredevils (Playing XI): Sam Billings, Aditya Tare, Sanju Samson, Karun Nair, Rishabh Pant(w), Carlos Brathwaite, Chris Morris, Pat Cummins, Shahbaz Nadeem, Zaheer Khan(c), Amit Mishra",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","Apr 08,2017","RCB won the toss and opted to bat first at the Chinnaswamy. That's a brave call, they are playing three spinners as well. Are they hoping for the bowlers to defend whatever their batsmen make? They are still without VK and AB, they have lost KL. Tough times if you are a RCB fan. Gayle and a change at the top - it's Watson who's walking out to the middle. We are ready for Bengaluru's first IPL 10 game..",Royal Challengers Bangalore won by 15 runs,Kedar Jadhav,RCB,bat,RCB,DD,I Abdulla, Pat Cummins,1,0,Short,stump line,square,edge
18.3," Pat Cummins to I Abdulla, 2 runs, full and on Abdulla's pads, clipped away in front of square on the on-side. Two fielders converge, leave it for the other and concede another run ",1st Inns,5th,Royal Challengers Bangalore,Delhi Daredevils,"Royal Challengers Bangalore (Playing XI): Chris Gayle, Mandeep Singh, Vishnu Vinod(w), Kedar Jadhav, Shane Watson(c), Stuart Binny, Pawan Negi, Iqbal Abdulla, Tymal Mills, Yuzvendra Chahal, Billy Stanlake","Delhi Daredevils (Playing XI): Sam Billings, Aditya Tare, Sanju Samson, Karun Nair, Rishabh Pant(w), Carlos Brathwaite, Chris Morris, Pat Cummins, Shahbaz Nadeem, Zaheer Khan(c), Amit Mishra",,,IPL,2017,"M.Chinnaswamy Stadium,Bengaluru","Apr 08,2017","RCB won the toss and opted to bat first at the Chinnaswamy. That's a brave call, they are playing three spinners as well. Are they hoping for the bowlers to defend whatever their batsmen make? They are still without VK and AB, they have lost KL. Tough times if you are a RCB fan. Gayle and a change at the top - it's Watson who's walking out to the middle. We are ready for Bengaluru's first IPL 10 game..",Royal Challengers Bangalore won by 15 runs,Kedar Jadhav,RCB,bat,RCB,DD,I Abdulla, Pat Cummins,2,0,Full,,square,leave
