ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,out_type
19.6," Bumrah to Dhoni, out Manoj Tiwary Run Out!! Two dot balls to end the over. Still 15 off it. Another pinpoint yorker, Dhoni squirts it out to the bowler. Manoj Tiwary is a long way down backing up. Bumrah easily removes the bails. Manoj Tiwary run out (Bumrah) 58(48) [4s-4 6s-2] ",1st Inns,Qua,Mumbai Indians,Rising Pune Supergiant,"Mumbai Indians (Playing XI): Parthiv Patel(w), Lendl Simmons, Rohit Sharma(c), Ambati Rayudu, Krunal Pandya, Kieron Pollard, Hardik Pandya, Karn Sharma, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Daniel Christian, Washington Sundar, Lockie Ferguson, Shardul Thakur, Jaydev Unadkat, Adam Zampa",,,IPL,2017,"Wankhede Stadium,Mumbai","May 16,2017",Mumbai Indians have won the toss and have opted to field,Rising Pune Supergiant won by 20 runs,Washington Sundar,MI,field,RPS,MI,Dhoni, Bumrah,out,out,yorker,,,,"run out ,(Bumrah)"
19.5," Bumrah to Dhoni, no run, superb ball. Right in the blockhole. Squeezed out to Bumrah ",1st Inns,Qua,Mumbai Indians,Rising Pune Supergiant,"Mumbai Indians (Playing XI): Parthiv Patel(w), Lendl Simmons, Rohit Sharma(c), Ambati Rayudu, Krunal Pandya, Kieron Pollard, Hardik Pandya, Karn Sharma, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Daniel Christian, Washington Sundar, Lockie Ferguson, Shardul Thakur, Jaydev Unadkat, Adam Zampa",,,IPL,2017,"Wankhede Stadium,Mumbai","May 16,2017",Mumbai Indians have won the toss and have opted to field,Rising Pune Supergiant won by 20 runs,Washington Sundar,MI,field,RPS,MI,Dhoni, Bumrah,0,0,,,,defend,
19.4," Bumrah to Dhoni, SIX, wow! Just wow! You can't do much when Dhoni is in such mood. Seam-up delivery from a goodish length, Dhoni decides to go downtown. Moves slightly off-side and bludgeons it over long-off for a gigantic hit ",1st Inns,Qua,Mumbai Indians,Rising Pune Supergiant,"Mumbai Indians (Playing XI): Parthiv Patel(w), Lendl Simmons, Rohit Sharma(c), Ambati Rayudu, Krunal Pandya, Kieron Pollard, Hardik Pandya, Karn Sharma, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Daniel Christian, Washington Sundar, Lockie Ferguson, Shardul Thakur, Jaydev Unadkat, Adam Zampa",,,IPL,2017,"Wankhede Stadium,Mumbai","May 16,2017",Mumbai Indians have won the toss and have opted to field,Rising Pune Supergiant won by 20 runs,Washington Sundar,MI,field,RPS,MI,Dhoni, Bumrah,6,0,Good,,off-side,,
19.3," Bumrah to Dhoni, 2 runs, pacy back of a length delivery that cramps up Dhoni, a mistimed pull to deep mid-wicket. But, MS is as quick as a cheetah. Runs hard and in the end makes it an easy couple ",1st Inns,Qua,Mumbai Indians,Rising Pune Supergiant,"Mumbai Indians (Playing XI): Parthiv Patel(w), Lendl Simmons, Rohit Sharma(c), Ambati Rayudu, Krunal Pandya, Kieron Pollard, Hardik Pandya, Karn Sharma, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Daniel Christian, Washington Sundar, Lockie Ferguson, Shardul Thakur, Jaydev Unadkat, Adam Zampa",,,IPL,2017,"Wankhede Stadium,Mumbai","May 16,2017",Mumbai Indians have won the toss and have opted to field,Rising Pune Supergiant won by 20 runs,Washington Sundar,MI,field,RPS,MI,Dhoni, Bumrah,2,0,Back of Length,,mid-wicket,pull shot,
19.2," Bumrah to Dhoni, SIX, that's a special shot! Back of a length delivery, Dhoni opened up the off-side by backing away. He generates massive power and biffs it over cover for a maximum ",1st Inns,Qua,Mumbai Indians,Rising Pune Supergiant,"Mumbai Indians (Playing XI): Parthiv Patel(w), Lendl Simmons, Rohit Sharma(c), Ambati Rayudu, Krunal Pandya, Kieron Pollard, Hardik Pandya, Karn Sharma, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Daniel Christian, Washington Sundar, Lockie Ferguson, Shardul Thakur, Jaydev Unadkat, Adam Zampa",,,IPL,2017,"Wankhede Stadium,Mumbai","May 16,2017",Mumbai Indians have won the toss and have opted to field,Rising Pune Supergiant won by 20 runs,Washington Sundar,MI,field,RPS,MI,Dhoni, Bumrah,6,0,Back of Length,,off-side,,
19.1," Bumrah to Manoj Tiwary, 1 run, a mistimed pick-up shot to deep mid-wicket. Strike given to the finisher ",1st Inns,Qua,Mumbai Indians,Rising Pune Supergiant,"Mumbai Indians (Playing XI): Parthiv Patel(w), Lendl Simmons, Rohit Sharma(c), Ambati Rayudu, Krunal Pandya, Kieron Pollard, Hardik Pandya, Karn Sharma, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Daniel Christian, Washington Sundar, Lockie Ferguson, Shardul Thakur, Jaydev Unadkat, Adam Zampa",,,IPL,2017,"Wankhede Stadium,Mumbai","May 16,2017",Mumbai Indians have won the toss and have opted to field,Rising Pune Supergiant won by 20 runs,Washington Sundar,MI,field,RPS,MI,Manoj Tiwary, Bumrah,1,0,,,mid-wicket,,
18.6,"McClenaghan to Dhoni, SIX, it's high and it is handsome as well. Not quite off the middle but Dhoni will collect another six. 26 runs off the over. Third time this season, McClenaghan has given more than 20 runs. Fullish ball outside off, Dhoni goes hard on his lofted off-drive. Rohit tried his best at long-off, but can't do much. He falls outside the boundary rope",1st Inns,Qua,Mumbai Indians,Rising Pune Supergiant,"Mumbai Indians (Playing XI): Parthiv Patel(w), Lendl Simmons, Rohit Sharma(c), Ambati Rayudu, Krunal Pandya, Kieron Pollard, Hardik Pandya, Karn Sharma, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Daniel Christian, Washington Sundar, Lockie Ferguson, Shardul Thakur, Jaydev Unadkat, Adam Zampa",,,IPL,2017,"Wankhede Stadium,Mumbai","May 16,2017",Mumbai Indians have won the toss and have opted to field,Rising Pune Supergiant won by 20 runs,Washington Sundar,MI,field,RPS,MI,Dhoni,McClenaghan,6,0,Full,off side,long-off,off drive,
18.5," McClenaghan to Dhoni, no run, ah! Dhoni wants to deposit it into the Arabian Sea. It was there in his slot to go for the heave, but failed to make contact. Goes past the inside edge ",1st Inns,Qua,Mumbai Indians,Rising Pune Supergiant,"Mumbai Indians (Playing XI): Parthiv Patel(w), Lendl Simmons, Rohit Sharma(c), Ambati Rayudu, Krunal Pandya, Kieron Pollard, Hardik Pandya, Karn Sharma, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Daniel Christian, Washington Sundar, Lockie Ferguson, Shardul Thakur, Jaydev Unadkat, Adam Zampa",,,IPL,2017,"Wankhede Stadium,Mumbai","May 16,2017",Mumbai Indians have won the toss and have opted to field,Rising Pune Supergiant won by 20 runs,Washington Sundar,MI,field,RPS,MI,Dhoni, McClenaghan,0,0,Slot,,,edge,
18.5," McClenaghan to Dhoni, wide, almost an action replay of the previous delivery. ",1st Inns,Qua,Mumbai Indians,Rising Pune Supergiant,"Mumbai Indians (Playing XI): Parthiv Patel(w), Lendl Simmons, Rohit Sharma(c), Ambati Rayudu, Krunal Pandya, Kieron Pollard, Hardik Pandya, Karn Sharma, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Daniel Christian, Washington Sundar, Lockie Ferguson, Shardul Thakur, Jaydev Unadkat, Adam Zampa",,,IPL,2017,"Wankhede Stadium,Mumbai","May 16,2017",Mumbai Indians have won the toss and have opted to field,Rising Pune Supergiant won by 20 runs,Washington Sundar,MI,field,RPS,MI,Dhoni, McClenaghan,wide,1,,wide,,wide,
18.5," McClenaghan to Dhoni, wide, this is pressure. Slower delivery, but the length is wide outside off. Dhoni lets it go ",1st Inns,Qua,Mumbai Indians,Rising Pune Supergiant,"Mumbai Indians (Playing XI): Parthiv Patel(w), Lendl Simmons, Rohit Sharma(c), Ambati Rayudu, Krunal Pandya, Kieron Pollard, Hardik Pandya, Karn Sharma, Mitchell McClenaghan, Lasith Malinga, Jasprit Bumrah","Rising Pune Supergiant (Playing XI): Ajinkya Rahane, Rahul Tripathi, Steven Smith(c), Manoj Tiwary, MS Dhoni(w), Daniel Christian, Washington Sundar, Lockie Ferguson, Shardul Thakur, Jaydev Unadkat, Adam Zampa",,,IPL,2017,"Wankhede Stadium,Mumbai","May 16,2017",Mumbai Indians have won the toss and have opted to field,Rising Pune Supergiant won by 20 runs,Washington Sundar,MI,field,RPS,MI,Dhoni, McClenaghan,wide,1,,wide,,wide,
