ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name,Batsman,Bowler,out_type
18.2," Shami to Hardik Pandya, 1 run, 141.7kph, low full toss outside off, Hardik doesn't get under it like he hopes to as he drills this to long-off ",1st Inns,9th,Mumbai Indians,Delhi Daredevils,"Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman, Akila Dananjaya","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Shreyas Iyer, Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Daniel Christian, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 14,2018",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 7 wkts,Jason Roy,DD,field,MI,DD,1,0,Full,off side,long-off,,Hardik Pandya, Shami,
18.1," Shami to Krunal Pandya, 1 run, uses his feet and spears it down to long-off ",1st Inns,9th,Mumbai Indians,Delhi Daredevils,"Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman, Akila Dananjaya","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Shreyas Iyer, Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Daniel Christian, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 14,2018",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 7 wkts,Jason Roy,DD,field,MI,DD,1,0,,,long-off,,Krunal Pandya, Shami,
17.6," Boult to Krunal Pandya, 1 run, good length ball, probably an off-cutter, Krunal hoicks it down to long-on. Fine over from Boult ",1st Inns,9th,Mumbai Indians,Delhi Daredevils,"Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman, Akila Dananjaya","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Shreyas Iyer, Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Daniel Christian, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 14,2018",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 7 wkts,Jason Roy,DD,field,MI,DD,1,0,Good,,long-on,cut shot,Krunal Pandya, Boult,
17.5," Boult to Hardik Pandya, 1 run, back of length off-cutter outside off, dabbed to backward point ",1st Inns,9th,Mumbai Indians,Delhi Daredevils,"Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman, Akila Dananjaya","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Shreyas Iyer, Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Daniel Christian, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 14,2018",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 7 wkts,Jason Roy,DD,field,MI,DD,1,0,Back of Length,off side,backward point,Cut,Hardik Pandya, Boult,
17.4," Boult to Krunal Pandya, 1 run, low full toss, flicked away through mid-wicket ",1st Inns,9th,Mumbai Indians,Delhi Daredevils,"Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman, Akila Dananjaya","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Shreyas Iyer, Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Daniel Christian, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 14,2018",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 7 wkts,Jason Roy,DD,field,MI,DD,1,0,Full,,mid-wicket,flick shot,Krunal Pandya, Boult,
17.4," Boult to Krunal Pandya, wide, aims for a wide yorker, but gets it too wide outside off ",1st Inns,9th,Mumbai Indians,Delhi Daredevils,"Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman, Akila Dananjaya","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Shreyas Iyer, Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Daniel Christian, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 14,2018",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 7 wkts,Jason Roy,DD,field,MI,DD,wide,1,yorker,wide,,wide,Krunal Pandya, Boult,
17.3," Boult to Rohit, out Caught by Roy!! Sliced up in the air, Roy lumbers across from long-off and takes it comfortably. Lovely bowling from Boult. He slanted this off-cutter away from Rohit's swiping zone, and it gripped further away from him after pitching. Despite that, Rohit doesn't quite smarten up. He swings cross-batted and slices it off the outside half. Rohit c Roy b Boult 18(15) [4s-2] ",1st Inns,9th,Mumbai Indians,Delhi Daredevils,"Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman, Akila Dananjaya","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Shreyas Iyer, Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Daniel Christian, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 14,2018",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 7 wkts,Jason Roy,DD,field,MI,DD,out,out,,,long-off,cut shot,Rohit, Boult,"Catch out , roy"
17.2," Boult to Rohit, 2 runs, low full toss outside off, sliced away through the covers. Sweeper cover is very straight, so it's a lot of ground to cover for Dan Christian who does well ",1st Inns,9th,Mumbai Indians,Delhi Daredevils,"Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman, Akila Dananjaya","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Shreyas Iyer, Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Daniel Christian, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 14,2018",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 7 wkts,Jason Roy,DD,field,MI,DD,2,0,Full,off side,covers,,Rohit, Boult,
17.1," Boult to Krunal Pandya, 1 run, Krunal plants himself so deep in the crease, but is still unable to get under this very full ball from Boult. Powers it down to long-on ",1st Inns,9th,Mumbai Indians,Delhi Daredevils,"Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman, Akila Dananjaya","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Shreyas Iyer, Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Daniel Christian, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 14,2018",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 7 wkts,Jason Roy,DD,field,MI,DD,1,0,Full,,long-on,,Krunal Pandya, Boult,
16.6," Shami to Rohit, 2 runs, skates down the pitch to convert this into a low full toss, which he delightfully slices through extra-cover. It's skimming across the turf, before Vijay Shankar slides across and cuts it off ",1st Inns,9th,Mumbai Indians,Delhi Daredevils,"Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Hardik Pandya, Krunal Pandya, Kieron Pollard, Mayank Markande, Jasprit Bumrah, Mustafizur Rahman, Akila Dananjaya","Delhi Daredevils (Playing XI): Jason Roy, Gautam Gambhir(c), Shreyas Iyer, Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Daniel Christian, Rahul Tewatia, Shahbaz Nadeem, Mohammed Shami, Trent Boult",,,IPL,2018,"Wankhede Stadium,Mumbai","Apr 14,2018",Delhi Daredevils have won the toss and have opted to field,Delhi Daredevils won by 7 wkts,Jason Roy,DD,field,MI,DD,2,0,Full,,down the pitch,cut shot,Rohit, Shami,
