ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name
18.2," Avesh Khan to Rayudu, 1 run, good pacy delivery, not exactly a yorker but a dipping low full toss that Rayudu struggles to get under. Heaves it to deep mid-wicket. Nicely bowled ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,1,0,Good,,mid-wicket,
18.2," Avesh Khan to Rayudu, wide, tries the wide yorker but it's beyond the tramline, Rayudu is happy to leave it ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,wide,1,yorker,wide,,wide
18.1," Avesh Khan to Dhoni, 1 run, dropped! That's a dolly and Munro has spilled it. Short ball and Dhoni pulled it aerially to deep mid-wicket. Didn't connect that well but got lucky in the end. Munro probably didn't pace himself well there but no excuses really. How much will this cost DD? ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,1,0,Short,,mid-wicket,pull shot
17.6," Plunkett to Rayudu, FOUR, bleeding runs. They have no clue how to bowl to these two at the moment. Plunkett pulls his length back but the width is there outside off, Rayudu just slashes hard at it and gets a slice that beats short third man comfortably to his left. Not exactly where he intended but he won't mind ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,4,0,Short,off side,short third man,pull shot
17.5," Plunkett to Rayudu, SIX, that's glorious from Rayudu! Talk about being in ripe form, this is another example of it. Premeditates the charge down the pitch and lofts it straight over the bowler's head. Dead straight and comfortably over the ropes ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,6,0,,,down the pitch,
17.4," Plunkett to Dhoni, 1 run, missed out there, Dhoni. Short of a length and he rode the bounce well to control the pull. Straight to Mishra at short fine leg who has a shy at the bowler's end but misses. Dhoni was in anyway ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,1,0,Short,,Straight,beaten
17.3," Plunkett to Rayudu, 1 run, how did that go there? Slower ball and Rayudu wanted to launch it over long-on, instead slices it off the bottom of the blade to long-off ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,1,0,,,long-on,
17.2," Plunkett to Rayudu, FOUR, gets it away very fine. Smart batting from Rayudu but this is equally poor from Plunkett who is having a horror night. Too straight in line on this short ball, Rayudu swivels across to get inside the line and pulls it away. Fine leg was too square ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,4,0,Short,,straight,pull shot
17.1," Plunkett to Dhoni, 1 run, slower back of a length ball, dabbed gently towards short third man for a single ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,1,0,Back of Length,,short third man,dab
16.6," Boult to Rayudu, no run, tries to be too cheeky, the reverse paddle but misses out on the full ball. Just inside the tramline perhaps. 21 off the over! ",1st Inns,30t,Chennai Super Kings,Delhi Daredevils,"Chennai Super Kings (Playing XI): Shane Watson, Ambati Rayudu, Suresh Raina, Faf du Plessis, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Karn Sharma, Harbhajan Singh, Lungi Ngidi, KM Asif","Delhi Daredevils (Playing XI): Prithvi Shaw, Colin Munro, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Rahul Tewatia, Liam Plunkett, Amit Mishra, Avesh Khan, Trent Boult",,,IPL,2018,"Maharashtra Cricket Association Stadium,Pune","Apr 30,2018",Delhi Daredevils have won the toss and have opted to field,Chennai Super Kings won by 13 runs,Shane Watson,DD,field,CSK,DD,0,0,Full,,,beaten
