ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name,Batsman,Bowler,out_type
18.4," Barinder to Shubman Gill, 1 run, on a good length and well outside off, driven straight to the fielder at cover, Karthik was backing up for a single and is sent back. There's a shy at the bowler's end and the batsmen do get the single they were looking for ",1st Inns,18th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Yuvraj Singh, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Ankit Rajpoot, Mujeeb Ur Rahman",,,IPL,2018,"Eden Gardens,Kolkata","Apr 21,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 9 wkts (DLS method),KL Rahul,PBKS,field,KKR,PBKS,1,0,Good,off side,straight,straight drive,Shubman Gill, Barinder,
18.3," Barinder to Karthik, 1 run, short of a length and well wide of off, the knuckle ball from Sran, Karthik was looking to pull and mistimes it towards long-on, went to the fielder on the bounce ",1st Inns,18th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Yuvraj Singh, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Ankit Rajpoot, Mujeeb Ur Rahman",,,IPL,2018,"Eden Gardens,Kolkata","Apr 21,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 9 wkts (DLS method),KL Rahul,PBKS,field,KKR,PBKS,1,0,Short,wide,long-on,pull shot,Karthik, Barinder,
18.2," Barinder to Shubman Gill, 1 run, loopy slower ball on Gill's pads, he has no pace to work with and nudges it towards short fine for a single ",1st Inns,18th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Yuvraj Singh, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Ankit Rajpoot, Mujeeb Ur Rahman",,,IPL,2018,"Eden Gardens,Kolkata","Apr 21,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 9 wkts (DLS method),KL Rahul,PBKS,field,KKR,PBKS,1,0,Short,,short fine,,Shubman Gill, Barinder,
18.1," Barinder to Karthik, 1 run, the slower ball from Sran, looks like Karthik didn't spot it, was setting himself up for a big slog - adjusts and drops it wide of point ",1st Inns,18th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Yuvraj Singh, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Ankit Rajpoot, Mujeeb Ur Rahman",,,IPL,2018,"Eden Gardens,Kolkata","Apr 21,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 9 wkts (DLS method),KL Rahul,PBKS,field,KKR,PBKS,1,0,,wide,point,slog shot,Karthik, Barinder,
17.6," Rajpoot to Shubman Gill, FOUR, beautifully played, too much of width on offer and Gill doesn't let it go. Prods across and crashes it square past cover, the man in the deep has no chance. 17 runs from the over, a terrible one from Rajpoot ",1st Inns,18th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Yuvraj Singh, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Ankit Rajpoot, Mujeeb Ur Rahman",,,IPL,2018,"Eden Gardens,Kolkata","Apr 21,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 9 wkts (DLS method),KL Rahul,PBKS,field,KKR,PBKS,4,0,Full,off side,square,,Shubman Gill, Rajpoot,
17.5," Rajpoot to Shubman Gill, 2 runs, short of a length and well outside off, slapped away to the left of long-off for a couple of runs ",1st Inns,18th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Yuvraj Singh, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Ankit Rajpoot, Mujeeb Ur Rahman",,,IPL,2018,"Eden Gardens,Kolkata","Apr 21,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 9 wkts (DLS method),KL Rahul,PBKS,field,KKR,PBKS,2,0,Short,off side,long-off,,Shubman Gill, Rajpoot,
17.5," Rajpoot to Shubman Gill, wide, Rajpoot is losing it in this over, high full-toss that slid down the leg-side, given as a wide ",1st Inns,18th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Yuvraj Singh, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Ankit Rajpoot, Mujeeb Ur Rahman",,,IPL,2018,"Eden Gardens,Kolkata","Apr 21,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 9 wkts (DLS method),KL Rahul,PBKS,field,KKR,PBKS,wide,1,Full toss,wide,,wide,Shubman Gill, Rajpoot,
17.5," Rajpoot to Shubman Gill, wide, the slower bouncer from Rajpoot, but it's too wide of off, called by the umpire ",1st Inns,18th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Yuvraj Singh, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Ankit Rajpoot, Mujeeb Ur Rahman",,,IPL,2018,"Eden Gardens,Kolkata","Apr 21,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 9 wkts (DLS method),KL Rahul,PBKS,field,KKR,PBKS,wide,1,,wide,,wide,Shubman Gill, Rajpoot,
17.4," Rajpoot to Shubman Gill, no run, much better from Rajpoot, fires in the yorker at the base of off-stump, Gill gets his bat down and digs it out ",1st Inns,18th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Yuvraj Singh, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Ankit Rajpoot, Mujeeb Ur Rahman",,,IPL,2018,"Eden Gardens,Kolkata","Apr 21,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 9 wkts (DLS method),KL Rahul,PBKS,field,KKR,PBKS,0,0,yorker,,,,Shubman Gill, Rajpoot,
17.3," Rajpoot to Karthik, 1 run, short of a good length and just outside off, the slower ball from Rajpoot, Karthik guides it straight to short third man ",1st Inns,18th,Kolkata Knight Riders,Kings XI Punjab,"Kolkata Knight Riders (Playing XI): Sunil Narine, Chris Lynn, Robin Uthappa, Nitish Rana, Dinesh Karthik(w/c), Andre Russell, Shubman Gill, Tom Curran, Piyush Chawla, Shivam Mavi, Kuldeep Yadav","Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Yuvraj Singh, Ravichandran Ashwin(c), Andrew Tye, Barinder Sran, Ankit Rajpoot, Mujeeb Ur Rahman",,,IPL,2018,"Eden Gardens,Kolkata","Apr 21,2018",Kings XI Punjab have won the toss and have opted to field,Kings XI Punjab won by 9 wkts (DLS method),KL Rahul,PBKS,field,KKR,PBKS,1,0,Short,off side,straight,,Karthik, Rajpoot,
