ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length
19.6," S Kaul to Laughlin, no run, another swing and another miss from Laughlin, they don't even think about a possible bye. That's poor from the Royals and they finish with just 125 on the board. Banged in short and on the stumps, Laughlin backed away on the pull and missed ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Wriddhiman Saha(w), Rashid Khan, Bhuvneshwar Kumar, Billy Stanlake, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 09,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,SRH,field,RR,SRH,0,0,Short
19.5," S Kaul to Laughlin, no run, banged in short and well outside off, Laughlin was looking to cut and missed. He isn't happy that it's not called as a wide for height ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Wriddhiman Saha(w), Rashid Khan, Bhuvneshwar Kumar, Billy Stanlake, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 09,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,SRH,field,RR,SRH,0,0,Short
19.4," S Kaul to D Kulkarni, 1 run, yorker length delivery on the stumps, Kulkarni backs away and drives it to deep cover for a single ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Wriddhiman Saha(w), Rashid Khan, Bhuvneshwar Kumar, Billy Stanlake, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 09,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,SRH,field,RR,SRH,1,0,yorker
19.3," S Kaul to Laughlin, 1 run, back of a length and on the stumps, steered behind square on the off-side ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Wriddhiman Saha(w), Rashid Khan, Bhuvneshwar Kumar, Billy Stanlake, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 09,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,SRH,field,RR,SRH,1,0,Back of Length
19.2," S Kaul to Unadkat, out Unadkat Run Out!! 1 run completed. Saha has demolished all the three stumps and I reckon Unadkat is short of his ground. OUT by a long way. Terrific keeping from Saha, on a good length and well wide of off, Unadkat sliced the drive behind square on the off-side. He was always coming for the second run, but was too slow in doing so. Pathan was quick on the ball and although his throw was well wide, Saha does well to gather it, turns across and throws down all the three stumps. Unadkat run out (Y Pathan/Saha) 1(2) ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Wriddhiman Saha(w), Rashid Khan, Bhuvneshwar Kumar, Billy Stanlake, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 09,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,SRH,field,RR,SRH,out,out,Short
19.1," S Kaul to Unadkat, no run, banged in short and at the stumps, Unadkat swivels across on the pull and misses ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Wriddhiman Saha(w), Rashid Khan, Bhuvneshwar Kumar, Billy Stanlake, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 09,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,SRH,field,RR,SRH,0,0,Short
18.6," Bhuvneshwar to Shreyas Gopal, out Caught by Y Pathan!! The extra ball gets Bhuvneshwar a wicket. This was a slower knuckle ball, Gopal had to go for runs, looks to tonk it over long-on, doesn't get anywhere near the middle of the bat and it's a simple catch for Yusuf - right in front of the ropes at long-on. Shreyas Gopal c Y Pathan b Bhuvneshwar 18(18) [4s-2] ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Wriddhiman Saha(w), Rashid Khan, Bhuvneshwar Kumar, Billy Stanlake, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 09,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,SRH,field,RR,SRH,out,out,
18.6," Bhuvneshwar to Shreyas Gopal, wide, another bouncer from Bhuvneshwar, Gopal was way too late on the pull and missed, tad too high though and it's called as a wide ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Wriddhiman Saha(w), Rashid Khan, Bhuvneshwar Kumar, Billy Stanlake, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 09,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,SRH,field,RR,SRH,wide,1,
18.5," Bhuvneshwar to D Kulkarni, 1 run, short and at the stumps, Kulkarni backs away and runs it down towards third man ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Wriddhiman Saha(w), Rashid Khan, Bhuvneshwar Kumar, Billy Stanlake, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 09,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,SRH,field,RR,SRH,1,0,Short
18.4," Bhuvneshwar to D Kulkarni, no run, another short ball from Bhuvneshwar, Kulkarni had nowhere to go as he fended at that, lobbed off the gloves and fell in front of the onrushing bowler, could have so easily carried to the bowler ",1st Inns,4th,Sunrisers Hyderabad,Rajasthan Royals,"Sunrisers Hyderabad (Playing XI): Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Wriddhiman Saha(w), Rashid Khan, Bhuvneshwar Kumar, Billy Stanlake, Siddarth Kaul","Rajasthan Royals (Playing XI): Ajinkya Rahane(c), D Arcy Short, Sanju Samson, Ben Stokes, Rahul Tripathi, Jos Buttler(w), Krishnappa Gowtham, Shreyas Gopal, Dhawal Kulkarni, Jaydev Unadkat, Ben Laughlin",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 09,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,SRH,field,RR,SRH,0,0,Short
