ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name,Batsman,Bowler,out_type
7.4,"Siraj to Mayank Agarwal, 1 run, shortish ball decking in and the batsman arches back to steer the ball away towards third man for a single",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,1,0,Short,,third man,,Mayank Agarwal,Siraj,
7.3," Siraj to Finch, 1 run, a little movement on the front foot and then the drive into the covers for a single ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,1,0,,,covers,cover drive,Finch, Siraj,
7.2," Siraj to Finch, no run, back of a length delivery outside off and has been pushed out into the off-side as the batsman stood up on his back foot ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,0,0,Back of Length,off side,off-side,push shot,Finch, Siraj,
7.1," Siraj to Finch, no run, length ball, going away and almost an edge to the keeper as the batsman tried to drive it on the up ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,0,0,Good,,keeper,edge,Finch, Siraj,
6.6," Chahal to Mayank Agarwal, no run, too full, flighted, pushed back to the bowler ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,0,0,Full,,,push shot,Mayank Agarwal, Chahal,
6.5,"Chahal to Stoinis, out Bowled!! The yorker from Chahal. Played it too late and did not pick the length to york himself. The ball sneaking under the bat. How on earth?! That was the googly. KXIP in deep waters now. Stoinis can't believe his luck. That was just a well flighted ball and he fails to pick it up. The LED bails sparkled red and RCB rejoiced more. Where is the fight KXIP? Stoinis b Chahal 2(3)",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,out,out,yorker,,,,Stoinis,Chahal,bowled
6.4," Chahal to Finch, 1 run, flat-bats the pull away! One bounce and straight to the man at long-on. That was hit flat and hard but with no placement ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,1,0,,,straight,pull shot,Finch, Chahal,
6.3," Chahal to Finch, no run, was it a flipper? The batsman backs away and smashes the cut away to find the man at cover. He took it from the sticks ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,0,0,,stump line,cover,square cut,Finch, Chahal,
6.2," Chahal to Stoinis, 1 run, preempts a reverse lap off a very full ball but fails to beat the man at short third man ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,1,0,Full,,short third man,,Stoinis, Chahal,
6.1," Chahal to Finch, 1 run, drags the ball short at a flat trajectory, chopped away into the covers for a single ",1st Inns,48th,Kings XI Punjab,Royal Challengers Bangalore,"Kings XI Punjab (Playing XI): Lokesh Rahul(w), Chris Gayle, Mayank Agarwal, Karun Nair, Aaron Finch, Marcus Stoinis, Axar Patel, Ravichandran Ashwin(c), Andrew Tye, Ankit Rajpoot, Mohit Sharma","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Moeen Ali, Virat Kohli(c), AB de Villiers, Mandeep Singh, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Holkar Cricket Stadium,Indore","May 14,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 10 wkts,Umesh Yadav,RCB,field,PBKS,RCB,1,0,Short,,covers,,Finch, Chahal,
