ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination
19.6," S Kaul to Markande, FOUR, cheeky! Markande decides to do something about the length Kaul was bowling, moving across the stumps and laps the length delivery over short fine leg, enough legs on that to reach the fence ",1st Inns,7th,Sunrisers Hyderabad,Mumbai Indians,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Rashid Khan, Billy Stanlake, Siddarth Kaul, Sandeep Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Krunal Pandya, Kieron Pollard, Ben Cutting, Mayank Markande, Pradeep Sangwan, Mustafizur Rahman, Jasprit Bumrah",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 12,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 1 wkt,Rashid Khan,SRH,field,MI,SRH,4,0,Good,,short fine leg
19.5," S Kaul to Bumrah, 1 run, fuller and at the stumps, Bumrah crouches a bit and has big swing to the on-side, the inside edge is found and it bobbles away towards fine leg, just a single ",1st Inns,7th,Sunrisers Hyderabad,Mumbai Indians,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Rashid Khan, Billy Stanlake, Siddarth Kaul, Sandeep Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Krunal Pandya, Kieron Pollard, Ben Cutting, Mayank Markande, Pradeep Sangwan, Mustafizur Rahman, Jasprit Bumrah",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 12,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 1 wkt,Rashid Khan,SRH,field,MI,SRH,1,0,Full,stump line,fine leg
19.4," S Kaul to Markande, 1 run, on a length and just outside off, Markande drops it into the off-side and settles with a single ",1st Inns,7th,Sunrisers Hyderabad,Mumbai Indians,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Rashid Khan, Billy Stanlake, Siddarth Kaul, Sandeep Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Krunal Pandya, Kieron Pollard, Ben Cutting, Mayank Markande, Pradeep Sangwan, Mustafizur Rahman, Jasprit Bumrah",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 12,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 1 wkt,Rashid Khan,SRH,field,MI,SRH,1,0,Good,off side,off-side
19.3," S Kaul to Bumrah, 1 run, banged in short and now hurries Bumrah on the pull shot, off the splice of the bat and down to long-on ",1st Inns,7th,Sunrisers Hyderabad,Mumbai Indians,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Rashid Khan, Billy Stanlake, Siddarth Kaul, Sandeep Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Krunal Pandya, Kieron Pollard, Ben Cutting, Mayank Markande, Pradeep Sangwan, Mustafizur Rahman, Jasprit Bumrah",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 12,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 1 wkt,Rashid Khan,SRH,field,MI,SRH,1,0,Short,,long-on
19.2," S Kaul to Markande, 1 run, on a length and outside off, Markande opens the bat face and directs it square on the off-side. Bumrah is sent back on the second, good call that by Markande ",1st Inns,7th,Sunrisers Hyderabad,Mumbai Indians,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Rashid Khan, Billy Stanlake, Siddarth Kaul, Sandeep Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Krunal Pandya, Kieron Pollard, Ben Cutting, Mayank Markande, Pradeep Sangwan, Mustafizur Rahman, Jasprit Bumrah",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 12,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 1 wkt,Rashid Khan,SRH,field,MI,SRH,1,0,Good,off side,square
19.1," S Kaul to Bumrah, 1 run, Bumrah tees off to play the heave and the inside edge is squirted past the leg-stump, just a single ",1st Inns,7th,Sunrisers Hyderabad,Mumbai Indians,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Rashid Khan, Billy Stanlake, Siddarth Kaul, Sandeep Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Krunal Pandya, Kieron Pollard, Ben Cutting, Mayank Markande, Pradeep Sangwan, Mustafizur Rahman, Jasprit Bumrah",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 12,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 1 wkt,Rashid Khan,SRH,field,MI,SRH,1,0,,,
19.1," S Kaul to Bumrah, no ball, tight call on the front foot. But umpire Llong reckons there was nothing behind the line. Good length ball and Bumrah swings off his feet only to connect with thin air ",1st Inns,7th,Sunrisers Hyderabad,Mumbai Indians,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Rashid Khan, Billy Stanlake, Siddarth Kaul, Sandeep Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Krunal Pandya, Kieron Pollard, Ben Cutting, Mayank Markande, Pradeep Sangwan, Mustafizur Rahman, Jasprit Bumrah",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 12,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 1 wkt,Rashid Khan,SRH,field,MI,SRH,no ball,1,Good,,
18.6," Sandeep Sharma to Bumrah, 1 run, Bumrah wanted to see off the hat-trick ball and he does so. Another slower delivery and Bumrah works it in front of long-on, settles with a single. Sharma, who replaced Bhuvi today, ends with impressive figures of 4-0-25-2 ",1st Inns,7th,Sunrisers Hyderabad,Mumbai Indians,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Rashid Khan, Billy Stanlake, Siddarth Kaul, Sandeep Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Krunal Pandya, Kieron Pollard, Ben Cutting, Mayank Markande, Pradeep Sangwan, Mustafizur Rahman, Jasprit Bumrah",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 12,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 1 wkt,Rashid Khan,SRH,field,MI,SRH,1,0,,,long-on
18.5," Sandeep Sharma to Sangwan, out Lbw!! You can't get more plumb LBW decisions than that. Umpire Nandan messed it up. The knuckle ball once again from Sharma, Sangwan is through his slog early and is struck on the back leg, yes back leg. The ball was crashing into middle stump as per ball-tracking and for some reason Nandan didn't give that out. Sharma was quick to ask KW to take the review and the skipper obliged. Sangwan lbw b Sandeep Sharma 0(4) ",1st Inns,7th,Sunrisers Hyderabad,Mumbai Indians,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Rashid Khan, Billy Stanlake, Siddarth Kaul, Sandeep Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Krunal Pandya, Kieron Pollard, Ben Cutting, Mayank Markande, Pradeep Sangwan, Mustafizur Rahman, Jasprit Bumrah",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 12,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 1 wkt,Rashid Khan,SRH,field,MI,SRH,out,out,,,
18.4," Sandeep Sharma to Suryakumar Yadav, out Caught by Deepak Hooda!! And another one gone. This knuckle ball epidemic is getting to every Indian pacer. Sharma the latest to show it off. Lands it on a length and Yadav thinking it was a normal length delivery, goes through the line with the loft, miscues it completely and Hooda runs forward from long-on to pouch that. Yadav was the key and even he is sent back. Suryakumar Yadav c Deepak Hooda b Sandeep Sharma 28(31) [4s-2 6s-1] ",1st Inns,7th,Sunrisers Hyderabad,Mumbai Indians,"Sunrisers Hyderabad (Playing XI): Wriddhiman Saha(w), Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Deepak Hooda, Yusuf Pathan, Shakib Al Hasan, Rashid Khan, Billy Stanlake, Siddarth Kaul, Sandeep Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Evin Lewis, Ishan Kishan(w), Suryakumar Yadav, Krunal Pandya, Kieron Pollard, Ben Cutting, Mayank Markande, Pradeep Sangwan, Mustafizur Rahman, Jasprit Bumrah",,,IPL,2018,"Rajiv Gandhi International Stadium,Hyderabad","Apr 12,2018",Sunrisers Hyderabad have won the toss and have opted to field,Sunrisers Hyderabad won by 1 wkt,Rashid Khan,SRH,field,MI,SRH,out,out,Good,,long-on
