ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name
11.4," Markande to Kohli, 1 run, stays low, Kohli drags the pull off the toe end of the bat, but wide of mid-wicket ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,1,0,,wide,mid-wicket,pull shot
11.3," Markande to Kohli, no run, full and on the pads, Kohli sweeps and misses. Is livid with himself for not connecting ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,0,0,Full,stump line,,beaten
11.2," Markande to Kohli, no run, quicker and hurries off the pitch, pings Kohli on the back foot on the pad, but it is sliding down ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,0,0,,stump line,,
11.1," Markande to Kohli, FOUR, phew! Markande despite getting a boot on that scorching drive, watches the ball run to the fence in a jiffy. Down the track and drilled so so hard ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,4,0,,,,drive
10.6," Krunal Pandya to Kohli, 1 run, ooh! Short cover was in business for a while as Kohli punched that airily, the ball stopped on him from a length, but he wasn't going to change his shot. Eventually the ball eludes the fielder by a distance ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,1,0,Short,,Short cover,
10.5," Krunal Pandya to Brendon McCullum, 1 run, down leg, Brendon McCullum can only find Bumrah at short fine with a fine sweep ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,1,0,Short,,short fine,
10.4," Krunal Pandya to Kohli, 1 run, another inside edge, is late in picking the indrift, but gets away with a single to short fine ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,1,0,Short,,short fine,edge
10.3," Krunal Pandya to Kohli, no run, dabs this from middle, but straight to the fielder at short third, Brendon McCullum doesn't want the quick single ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,0,0,Short,,straight,dab
10.2," Krunal Pandya to Kohli, 2 runs, darted in, Kohli gets a soft inside edge behind square, good again for a scampered two ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,2,0,Good,,square,edge
10.1," Krunal Pandya to Kohli, FOUR, that's one of his trademark shots. Saw the full middle stump delivery and then went inside out over cover. No chance for Polly at long-off. Gets forward and then gives himself room to get the elevation ",1st Inns,31s,Royal Challengers Bangalore,Mumbai Indians,"Royal Challengers Bangalore (Playing XI): Quinton de Kock(w), Brendon McCullum, Virat Kohli(c), Manan Vohra, Mandeep Singh, Colin de Grandhomme, Washington Sundar, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal","Mumbai Indians (Playing XI): Suryakumar Yadav, Rohit Sharma(c), Ishan Kishan(w), Jean-Paul Duminy, Hardik Pandya, Krunal Pandya, Kieron Pollard, Ben Cutting, Mitchell McClenaghan, Mayank Markande, Jasprit Bumrah",,,IPL,2018,"M.Chinnaswamy Stadium,Bengaluru","May 01,2018",Mumbai Indians have won the toss and have opted to field,Royal Challengers Bangalore won by 14 runs,Tim Southee,MI,field,RCB,MI,4,0,Full,,cover,
