ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length,ball_line,ball_destination,shot_name,Batsman,Bowler,out_type
6.5," Moeen Ali to Shreyas Iyer, no run, prods at the ball and pushes it with a sraight bat into the covers ",1st Inns,45t,Delhi Daredevils,Royal Challengers Bangalore,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Vijay Shankar, Harshal Patel, Abhishek Sharma, Amit Mishra, Sandeep Lamichhane, Junior Dala, Trent Boult","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 12,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 5 wkts,AB de Villiers,RCB,field,DD,RCB,0,0,,,covers,push shot,Shreyas Iyer, Moeen Ali,
6.5," Moeen Ali to Shreyas Iyer, wide, loses his radar, drifts this too far down leg, wided ",1st Inns,45t,Delhi Daredevils,Royal Challengers Bangalore,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Vijay Shankar, Harshal Patel, Abhishek Sharma, Amit Mishra, Sandeep Lamichhane, Junior Dala, Trent Boult","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 12,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 5 wkts,AB de Villiers,RCB,field,DD,RCB,wide,1,,wide,,wide,Shreyas Iyer, Moeen Ali,
6.4," Moeen Ali to Shreyas Iyer, no run, quicker and twirls in, Iyer tucks straight to short fine ",1st Inns,45t,Delhi Daredevils,Royal Challengers Bangalore,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Vijay Shankar, Harshal Patel, Abhishek Sharma, Amit Mishra, Sandeep Lamichhane, Junior Dala, Trent Boult","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 12,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 5 wkts,AB de Villiers,RCB,field,DD,RCB,0,0,Short,,straight,,Shreyas Iyer, Moeen Ali,
6.3," Moeen Ali to Pant, 1 run, short on middle, pulled away to deep mid-wicket ",1st Inns,45t,Delhi Daredevils,Royal Challengers Bangalore,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Vijay Shankar, Harshal Patel, Abhishek Sharma, Amit Mishra, Sandeep Lamichhane, Junior Dala, Trent Boult","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 12,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 5 wkts,AB de Villiers,RCB,field,DD,RCB,1,0,Short,stump line,mid-wicket,pull shot,Pant, Moeen Ali,
6.2," Moeen Ali to Pant, no run, short and spinning away, Pant clobbers it flat-footed, VK dives to his right at short extra cover to prevent a certain boundary ",1st Inns,45t,Delhi Daredevils,Royal Challengers Bangalore,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Vijay Shankar, Harshal Patel, Abhishek Sharma, Amit Mishra, Sandeep Lamichhane, Junior Dala, Trent Boult","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 12,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 5 wkts,AB de Villiers,RCB,field,DD,RCB,0,0,Short,,short extra cover,,Pant, Moeen Ali,
6.1," Moeen Ali to Shreyas Iyer, 1 run, offbreak, spins down leg, Iyer looks to help it fine but ends up hitting it quite squarer, picks fine leg ",1st Inns,45t,Delhi Daredevils,Royal Challengers Bangalore,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Vijay Shankar, Harshal Patel, Abhishek Sharma, Amit Mishra, Sandeep Lamichhane, Junior Dala, Trent Boult","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 12,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 5 wkts,AB de Villiers,RCB,field,DD,RCB,1,0,,,fine leg,,Shreyas Iyer, Moeen Ali,
5.6," Southee to Shreyas Iyer, 1 run, cuts off the back foot, good effort from point there, dives full length to his right and keeps it down to a single ",1st Inns,45t,Delhi Daredevils,Royal Challengers Bangalore,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Vijay Shankar, Harshal Patel, Abhishek Sharma, Amit Mishra, Sandeep Lamichhane, Junior Dala, Trent Boult","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 12,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 5 wkts,AB de Villiers,RCB,field,DD,RCB,1,0,Good,,point,Cut,Shreyas Iyer, Southee,
5.5," Southee to Shreyas Iyer, no run, pounds it short at a slower pace, it grips and trampolines over Iyer's bat swing ",1st Inns,45t,Delhi Daredevils,Royal Challengers Bangalore,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Vijay Shankar, Harshal Patel, Abhishek Sharma, Amit Mishra, Sandeep Lamichhane, Junior Dala, Trent Boult","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 12,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 5 wkts,AB de Villiers,RCB,field,DD,RCB,0,0,Short,,,ramp shot,Shreyas Iyer, Southee,
5.4," Southee to Pant, 1 run, off pace again! Pant reads it off the pitch and tucks off his pads into the square leg pocket ",1st Inns,45t,Delhi Daredevils,Royal Challengers Bangalore,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Vijay Shankar, Harshal Patel, Abhishek Sharma, Amit Mishra, Sandeep Lamichhane, Junior Dala, Trent Boult","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 12,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 5 wkts,AB de Villiers,RCB,field,DD,RCB,1,0,,,square leg,,Pant, Southee,
5.3," Southee to Shreyas Iyer, 1 run, slower length ball outside off, Iyer waits deep inside the crease and cuts late square on the off-side ",1st Inns,45t,Delhi Daredevils,Royal Challengers Bangalore,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Vijay Shankar, Harshal Patel, Abhishek Sharma, Amit Mishra, Sandeep Lamichhane, Junior Dala, Trent Boult","Royal Challengers Bangalore (Playing XI): Parthiv Patel(w), Virat Kohli(c), AB de Villiers, Mandeep Singh, Moeen Ali, Sarfaraz Khan, Colin de Grandhomme, Tim Southee, Umesh Yadav, Mohammed Siraj, Yuzvendra Chahal",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 12,2018",Royal Challengers Bangalore have won the toss and have opted to field,Royal Challengers Bangalore won by 5 wkts,AB de Villiers,RCB,field,DD,RCB,1,0,Good,off side,square,cut shot,Shreyas Iyer, Southee,
