ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,runs,extra,ball_length
19.6,"Bhuvneshwar to Pant, SIX, 26 runs off the final over as Pant ends on a scintillating 128*! Walks back to a standing ovation as he muscles the full toss over mid-wicket",1st Inns,42n,Delhi Daredevils,Sunrisers Hyderabad,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Liam Plunkett, Harshal Patel, Amit Mishra, Shahbaz Nadeem, Trent Boult","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 10,2018",Delhi Daredevils have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,DD,bat,DD,SRH,6,0,Full
19.5,"Bhuvneshwar to Pant, SIX, that's a one-handed six! Short of a length around off, Pant goes hard at it, in the process one hand comes off but he somehow manages to clear the long-on fence",1st Inns,42n,Delhi Daredevils,Sunrisers Hyderabad,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Liam Plunkett, Harshal Patel, Amit Mishra, Shahbaz Nadeem, Trent Boult","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 10,2018",Delhi Daredevils have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,DD,bat,DD,SRH,6,0,Short
19.4," Bhuvneshwar to Pant, SIX, don't think Bhuvi has been treated in such a way this season by anyone. He's under the pump! Bowls a short one around off, Pant transfers his weight on to the back foot and pulls it for a clean six over fine leg ",1st Inns,42n,Delhi Daredevils,Sunrisers Hyderabad,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Liam Plunkett, Harshal Patel, Amit Mishra, Shahbaz Nadeem, Trent Boult","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 10,2018",Delhi Daredevils have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,DD,bat,DD,SRH,6,0,Short
19.3," Bhuvneshwar to Pant, FOUR, how easy? Similar to the previous shot. An exact replica. A fullish one around off, Pant is quick to get into position and scoop it over short third man once again ",1st Inns,42n,Delhi Daredevils,Sunrisers Hyderabad,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Liam Plunkett, Harshal Patel, Amit Mishra, Shahbaz Nadeem, Trent Boult","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 10,2018",Delhi Daredevils have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,DD,bat,DD,SRH,4,0,Full
19.2,"Bhuvneshwar to Pant, FOUR, have run out of adjectives to describe this masterclass by Pant. Was a full length delivery around off, Pant gets into position early and scoops it over short third man with an angled bat",1st Inns,42n,Delhi Daredevils,Sunrisers Hyderabad,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Liam Plunkett, Harshal Patel, Amit Mishra, Shahbaz Nadeem, Trent Boult","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 10,2018",Delhi Daredevils have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,DD,bat,DD,SRH,4,0,Full
19.1," Bhuvneshwar to Maxwell, out Caught by Hales!! Maxwell looks to go big but misses. Was a back of a length delivery around off, Maxwell went at it with hard hands, swung at it only to get a top edge to wide long-off. Hales is the man who settles underneath and takes it. More importantly Pant is back on strike. Maxwell c Hales b Bhuvneshwar 9(8) [4s-1] ",1st Inns,42n,Delhi Daredevils,Sunrisers Hyderabad,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Liam Plunkett, Harshal Patel, Amit Mishra, Shahbaz Nadeem, Trent Boult","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 10,2018",Delhi Daredevils have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,DD,bat,DD,SRH,out,out,Back of Length
18.6," S Kaul to Maxwell, 1 run, a full toss to end the over. This was well outside off and Maxwell drove it away to sweeper cover ",1st Inns,42n,Delhi Daredevils,Sunrisers Hyderabad,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Liam Plunkett, Harshal Patel, Amit Mishra, Shahbaz Nadeem, Trent Boult","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 10,2018",Delhi Daredevils have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,DD,bat,DD,SRH,1,0,Full
18.5," S Kaul to Maxwell, FOUR, first one of the night for Maxwell. Another full toss around off, Maxwell stays put and smacks it right past the bowler, intercepts long-off and long-on to perfection ",1st Inns,42n,Delhi Daredevils,Sunrisers Hyderabad,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Liam Plunkett, Harshal Patel, Amit Mishra, Shahbaz Nadeem, Trent Boult","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 10,2018",Delhi Daredevils have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,DD,bat,DD,SRH,4,0,Full
18.4," S Kaul to Pant, 1 run, moves over to the other end with a single, down to long-off ",1st Inns,42n,Delhi Daredevils,Sunrisers Hyderabad,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Liam Plunkett, Harshal Patel, Amit Mishra, Shahbaz Nadeem, Trent Boult","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 10,2018",Delhi Daredevils have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,DD,bat,DD,SRH,1,0,
18.3," S Kaul to Pant, no run, full and quick outside off, Pant moves across and tries to squeeze it but fails to connect ",1st Inns,42n,Delhi Daredevils,Sunrisers Hyderabad,"Delhi Daredevils (Playing XI): Prithvi Shaw, Jason Roy, Shreyas Iyer(c), Rishabh Pant(w), Glenn Maxwell, Vijay Shankar, Liam Plunkett, Harshal Patel, Amit Mishra, Shahbaz Nadeem, Trent Boult","Sunrisers Hyderabad (Playing XI): Alex Hales, Shikhar Dhawan, Kane Williamson(c), Manish Pandey, Shakib Al Hasan, Yusuf Pathan, Shreevats Goswami(w), Rashid Khan, Bhuvneshwar Kumar, Siddarth Kaul, Sandeep Sharma",,,IPL,2018,"Arun Jaitley Stadium,Delhi","May 10,2018",Delhi Daredevils have won the toss and have opted to bat,Sunrisers Hyderabad won by 9 wkts,Shikhar Dhawan,DD,bat,DD,SRH,0,0,Full
