ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,batting_team,bowling_team,toss_winner,toss_choosen
18.4," Cottrell to Stoinis, no run, much better. Lasers this slower ball outside off, it hardly rises and sneaks under Stoinis's wielding willow ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
18.3," Cottrell to Stoinis, FOUR, third boundary of the over and KL Rahul immediately walks up to have a chat with the bowler. A juicy low full toss outside off, Stoinis with fast hands hammers it powerfully square on the off-side and threads the gap ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
18.3," Cottrell to Stoinis, wide, pressure, pressure.. Cottrell overshoots this full delivery and rifles it outside the widelines ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
18.2," Cottrell to Stoinis, FOUR, back-to-back fours for Stoinis. This is a well-calculated shot. Just got inside the line of this slower ball and helped it over short fine leg's head disdainfully. Fantastic start to the 19th over for Delhi ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
18.1," Cottrell to Stoinis, FOUR, bullied past mid-off. Stoinis is the designated finisher for DC and he's playing a gem here. Takes toll of this overpitched delivery outside off and places it perfectly in the gap ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
17.6," Jordan to Ashwin, 2 runs, slices it up, no power on this and it falls safely over mid-off's head. Got it off the toe-end and fortunately, didn't go to hand but they will nab two ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
17.5," Jordan to Ashwin, no run, two dots in a row. Very good from Jordan. Mixes his length up nicely. Digs it into the pitch, gets it to rise and Ashwin was advancing down the track, slashed his bat but got defeated by the extra bounce ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
17.4," Jordan to Ashwin, no run, clever. Fullish, took it wider of off as he forces Ashwin to reach for it. The batsman didn't move his feet, just stretches his bat and can't make any contact ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
17.3," Jordan to Stoinis, 1 run, drilled away to long-on ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
17.2," Jordan to Stoinis, FOUR, uff! How did Stoinis manage to get some bat on this? A fast low full toss, Stoinis gives everything at it and it brushes the inside edge, beats the man at short fine leg. Had he missed it, he would've caught plumb in front. KXIP knew how close it was.. sigh! ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
17.1," Jordan to Stoinis, SIX, muscled over cow corner. A 92-metre hit from Stoinis. Got the required length from Jordan, who perhaps missed his yorker and Stoinis punishes it with a massive strike, sending into the empty second tier ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
16.6," Cottrell to Stoinis, 1 run, pacy fuller length delivery at 136.2kph, Stoinis meets it with a crisp drive to sweeper cover and brings up Delhi's 100 ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
16.5," Cottrell to Stoinis, no run, rolls his fingers across this slower delivery outside off, Stoinis spotted it and threw his bat, just couldn't able to lay bat due to lack of bounce there ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
16.4," Cottrell to Ashwin, 1 run, 128.3kph, on a length and just outside off. Ashwin allows it to come to him and then plays a late dab to third man after opening his bat face ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
16.3," Cottrell to Stoinis, 1 run, hurls it fuller and outside off, driven through cover ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
16.2," Cottrell to Ashwin, 1 run, nipping away outside off, bashed away to sweeper cover ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
16.1," Cottrell to Axar, out Caught by Rahul!! Has this been taken? KL and Cottrell are ready to celebrate but umpire Nitin Menon pauses them, he isn't sure if the catch is clean. So, they are referring it to the third umpire. Axar is also asked to wait. No doubt about the glove, it's all about the catch. It's dipping on the way to Rahul and seems like he's grabbed it cleanly. OUT is the decision and the batsman can continue his walk back to the hut. Delhi are falling away quickly. A back of a length, veering down leg. Patel wanted to tickle it fine and he ended up gloving it to KLR, who went to his right and took a good low catch. Axar c Rahul b Cottrell 6(9) ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
15.6," Ravi Bishnoi to Stoinis, no run, drifting in just outside off, Stoinis jumps back and punches it to Bishnoi ",1st Inns,2nd,Delhi Capitals,Kings XI Punjab,"Delhi Capitals (Playing XI): Shikhar Dhawan, Prithvi Shaw, Shreyas Iyer(c), Rishabh Pant(w), Shimron Hetmyer, Marcus Stoinis, Axar Patel, Ravichandran Ashwin, Kagiso Rabada, Anrich Nortje, Mohit Sharma","Kings XI Punjab (Playing XI): Lokesh Rahul(c/w), Mayank Agarwal, Karun Nair, Sarfaraz Khan, Glenn Maxwell, Nicholas Pooran, Krishnappa Gowtham, Chris Jordan, Sheldon Cottrell, Ravi Bishnoi, Mohammed Shami",,,IPL,2020,"Dubai International Cricket Stadium,Dubai","Sep 20,2020",Kings XI Punjab have won the toss and have opted to field,Match tied (Delhi Capitals won the Super Over),Marcus Stoinis,DC,KKR,PBKS,field
