ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
5.3," Harshal Patel to Jaiswal, 1 run, short again, not too quick, but Jaiswal is hurried anyway - gets a bit of bat on the pull to short fine leg for one ",2nd Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,RR,DC,Jaiswal, Harshal Patel,1,0,Short,,short fine leg
5.2," Harshal Patel to Jaiswal, SIX, short ball, and Jaiswal was ready for that - just rocks back onto the backfoot and mows that over deep mid-wicket for six! Is this the activation energy this reaction needed? ",2nd Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,RR,DC,Jaiswal, Harshal Patel,6,0,Short,,mid-wicket
5.1," Harshal Patel to Jaiswal, no run, lack on pace, length ball, a thin outside edge on the late-cut and that goes to Pant on the bounce ",2nd Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,RR,DC,Jaiswal, Harshal Patel,0,0,Good,,
4.6," Ashwin to Smith, no run, skidding low onto the off-stump, Smith backs away and slaps it towards cover point ",2nd Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,RR,DC,Smith, Ashwin,0,0,,,cover
4.5," Ashwin to Jaiswal, 1 run, gets across and turns this away off the frontfoot to mid-wicket for a single ",2nd Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,RR,DC,Jaiswal, Ashwin,1,0,,,mid-wicket
4.4," Ashwin to Jaiswal, no run, chops this cut off the backfoot towards point ",2nd Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,RR,DC,Jaiswal, Ashwin,0,0,,,point
4.3," Ashwin to Jaiswal, no run, skids through outside off, Jaiswal misses the cut ",2nd Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,RR,DC,Jaiswal, Ashwin,0,0,,off side,
4.2," Ashwin to Smith, 1 run, works this away with the spin to mid-wicket for a quick single ",2nd Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,RR,DC,Smith, Ashwin,1,0,,,mid-wicket
4.1," Ashwin to Jaiswal, 1 run, pushed off the frontfoot to mid-off for one! ",2nd Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,RR,DC,Jaiswal, Ashwin,1,0,,,mid-off
3.6,"Rabada to Smith, FOUR, who'd've thought the world's best Test batsman would out-unorthodox a Maxi? Just paddle-pulls an express-pacer to fine leg, over short fine leg for four! Falls to his knees, avoiding the hit on the head, and gets a deflection on it over the in-field",2nd Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,RR,DC,Smith,Rabada,4,0,Short,,fine leg
3.5," Rabada to Smith, SIX, non-chalance in that flick - a microsix, 62 meters, flicked away over a leaping Dhawan at deep backward square leg for six! ",2nd Inns,23r,Rajasthan Royals,Delhi Capitals,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler(w), Steven Smith(c), Sanju Samson, Mahipal Lomror, Rahul Tewatia, Jofra Archer, Andrew Tye, Shreyas Gopal, Kartik Tyagi, Varun Aaron","Delhi Capitals (Playing XI): Prithvi Shaw, Shikhar Dhawan, Shreyas Iyer(c), Rishabh Pant(w), Marcus Stoinis, Shimron Hetmyer, Ravichandran Ashwin, Axar Patel, Harshal Patel, Kagiso Rabada, Anrich Nortje",,,IPL,2020,"Sharjah Cricket Stadium,Sharjah","Oct 09,2020",Rajasthan Royals have won the toss and have opted to field,Delhi Capitals won by 46 runs,Ravichandran Ashwin,RR,field,RR,DC,Smith, Rabada,6,0,,,deep backward square
