ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
4.4," Hazlewood to Jaiswal, FOUR, full and wide outside off, Jaiswal stays low and flays this away to the sweeper cover boundary for four! Bludgeoned! ",2nd Inns,47t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Akash Singh, Mayank Markande, Chetan Sakariya, Mustafizur Rahman","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Sam Curran, Shardul Thakur, KM Asif, Josh Hazlewood",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 02,2021",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Ruturaj Gaikwad,RR,field,RR,CSK,Jaiswal, Hazlewood,4,0,Full,wide,sweeper,,,
4.3," Hazlewood to Jaiswal, SIX, he's bludgeoned another one! Gets his weight back and opens his stance to pick another short one and deposits that over deep mid-wicket for another gigantic six! ",2nd Inns,47t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Akash Singh, Mayank Markande, Chetan Sakariya, Mustafizur Rahman","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Sam Curran, Shardul Thakur, KM Asif, Josh Hazlewood",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 02,2021",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Ruturaj Gaikwad,RR,field,RR,CSK,Jaiswal, Hazlewood,6,0,Short,,mid-wicket,,,
4.2," Hazlewood to Jaiswal, SIX, nailed it! Short ball, Jaiswal waits on it and once it reaches, he crunches a pull over deep backward square leg for six! No attempt to keep that down! ",2nd Inns,47t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Akash Singh, Mayank Markande, Chetan Sakariya, Mustafizur Rahman","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Sam Curran, Shardul Thakur, KM Asif, Josh Hazlewood",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 02,2021",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Ruturaj Gaikwad,RR,field,RR,CSK,Jaiswal, Hazlewood,6,0,Short,,deep backward square,pull shot,,
4.1," Hazlewood to Jaiswal, no run, good length ball on off, Jaiswal checks a drive towards cover but can't get through the infield ",2nd Inns,47t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Akash Singh, Mayank Markande, Chetan Sakariya, Mustafizur Rahman","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Sam Curran, Shardul Thakur, KM Asif, Josh Hazlewood",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 02,2021",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Ruturaj Gaikwad,RR,field,RR,CSK,Jaiswal, Hazlewood,0,0,Good,off side,cover,cover drive,,
3.6," Thakur to Lewis, SIX, he's absolutely leathered that! That's short and into the body, Lewis swivels on his heel and hammers the pull over the deep square fence for six! Fifty up, and CSK are in more than a spot of bother... ",2nd Inns,47t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Akash Singh, Mayank Markande, Chetan Sakariya, Mustafizur Rahman","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Sam Curran, Shardul Thakur, KM Asif, Josh Hazlewood",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 02,2021",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Ruturaj Gaikwad,RR,field,RR,CSK,Lewis, Thakur,6,0,Short,,deep square,pull shot,,
3.5," Thakur to Lewis, no run, short ball, and Lewis has to arch out of the way of that, as it goes through to Dhoni ",2nd Inns,47t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Akash Singh, Mayank Markande, Chetan Sakariya, Mustafizur Rahman","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Sam Curran, Shardul Thakur, KM Asif, Josh Hazlewood",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 02,2021",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Ruturaj Gaikwad,RR,field,RR,CSK,Lewis, Thakur,0,0,Short,,,,,
3.4," Thakur to Lewis, FOUR, short and into the body, Lewis pulls it down towards fine leg for four! Terrific shot and CSK are feeling the heat! ",2nd Inns,47t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Akash Singh, Mayank Markande, Chetan Sakariya, Mustafizur Rahman","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Sam Curran, Shardul Thakur, KM Asif, Josh Hazlewood",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 02,2021",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Ruturaj Gaikwad,RR,field,RR,CSK,Lewis, Thakur,4,0,Short,,fine leg,pull shot,,
3.3," Thakur to Jaiswal, 1 run, fuller length ball outside off, Jaiswal opens the face and steers it down towards deep backward point for a single ",2nd Inns,47t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Akash Singh, Mayank Markande, Chetan Sakariya, Mustafizur Rahman","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Sam Curran, Shardul Thakur, KM Asif, Josh Hazlewood",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 02,2021",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Ruturaj Gaikwad,RR,field,RR,CSK,Jaiswal, Thakur,1,0,Full,off side,deep backward point,,,
3.2," Thakur to Jaiswal, no run, fuller length ball on middle, Jaiswal check-drives it back towards the bowler ",2nd Inns,47t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Akash Singh, Mayank Markande, Chetan Sakariya, Mustafizur Rahman","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Sam Curran, Shardul Thakur, KM Asif, Josh Hazlewood",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 02,2021",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Ruturaj Gaikwad,RR,field,RR,CSK,Jaiswal, Thakur,0,0,Full,stump line,,drive,,
3.1," Thakur to Lewis, 1 run, lands on a length, and that's punched to mid-off for a risky single! A throw at the non-striker's end and might have been gone if he'd hit... ",2nd Inns,47t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Evin Lewis, Yashasvi Jaiswal, Sanju Samson(w/c), Shivam Dube, Glenn Phillips, David Miller, Rahul Tewatia, Akash Singh, Mayank Markande, Chetan Sakariya, Mustafizur Rahman","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Moeen Ali, Suresh Raina, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Sam Curran, Shardul Thakur, KM Asif, Josh Hazlewood",,,IPL,2021,"Sheikh Zayed Stadium,Abu Dhabi","Oct 02,2021",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 7 wkts,Ruturaj Gaikwad,RR,field,RR,CSK,Lewis, Thakur,1,0,Good,,mid-off,,,
