ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name
19.6," Shami to Dwayne Bravo, no run, bangs it in short, Dwayne Bravo looks to pull and misses. Dot ball to end the innings ",1st Inns,53r,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Robin Uthappa, Moeen Ali, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Aiden Markram, Sarfaraz Khan, Shahrukh Khan, Moises Henriques, Chris Jordan, Harpreet Brar, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 07,2021",Punjab Kings have won the toss and have opted to field,Punjab Kings won by 6 wkts,KL Rahul,PBKS,field,CSK,PBKS,Dwayne Bravo, Shami,0,0,Short,,,beaten
19.5," Shami to Dwayne Bravo, FOUR, low full toss and put away over cover. He plays that well. Backs away, one hand goes off the handle and he lifts it over cover for a four ",1st Inns,53r,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Robin Uthappa, Moeen Ali, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Aiden Markram, Sarfaraz Khan, Shahrukh Khan, Moises Henriques, Chris Jordan, Harpreet Brar, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 07,2021",Punjab Kings have won the toss and have opted to field,Punjab Kings won by 6 wkts,KL Rahul,PBKS,field,CSK,PBKS,Dwayne Bravo, Shami,4,0,Full,,cover,
19.5," Shami to Dwayne Bravo, wide, well outside the tramline and has been wided. Dwayne Bravo backed away too much. But the ball was well wide outside off for the umpire to deem it illegal. The birthday boy has two more shots ",1st Inns,53r,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Robin Uthappa, Moeen Ali, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Aiden Markram, Sarfaraz Khan, Shahrukh Khan, Moises Henriques, Chris Jordan, Harpreet Brar, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 07,2021",Punjab Kings have won the toss and have opted to field,Punjab Kings won by 6 wkts,KL Rahul,PBKS,field,CSK,PBKS,Dwayne Bravo, Shami,wide,1,,wide,,wide
19.4," Shami to Jadeja, 1 run, mows one across the line off a fuller ball outside off and the ball goes away to deep mid for a single ",1st Inns,53r,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Robin Uthappa, Moeen Ali, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Aiden Markram, Sarfaraz Khan, Shahrukh Khan, Moises Henriques, Chris Jordan, Harpreet Brar, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 07,2021",Punjab Kings have won the toss and have opted to field,Punjab Kings won by 6 wkts,KL Rahul,PBKS,field,CSK,PBKS,Jadeja, Shami,1,0,Full,off side,,
19.3," Shami to du Plessis, out Caught by Rahul!! And the short ball has another prey. The batter looks to pull, gets it higher on the bat and the ball goes off the top-edge for Rahul to take it easily to his left. The bowler cramped the batter for room and du Plessis just couldn't create enough space to put it away. End of a fine knock from du Plessis. He has played a terrific knock under the circumstances. du Plessis c Rahul b Shami 76(55) [4s-8 6s-2] ",1st Inns,53r,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Robin Uthappa, Moeen Ali, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Aiden Markram, Sarfaraz Khan, Shahrukh Khan, Moises Henriques, Chris Jordan, Harpreet Brar, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 07,2021",Punjab Kings have won the toss and have opted to field,Punjab Kings won by 6 wkts,KL Rahul,PBKS,field,CSK,PBKS,du Plessis, Shami,out,out,Short,,,edge
19.2," Shami to du Plessis, SIX, and that should be a six as the ball has hit the cushion on the full. That was a shortish delivery and du Plessis has slammed it down the ground for a sixer. Was hit flat and away from the man at long-on ",1st Inns,53r,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Robin Uthappa, Moeen Ali, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Aiden Markram, Sarfaraz Khan, Shahrukh Khan, Moises Henriques, Chris Jordan, Harpreet Brar, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 07,2021",Punjab Kings have won the toss and have opted to field,Punjab Kings won by 6 wkts,KL Rahul,PBKS,field,CSK,PBKS,du Plessis, Shami,6,0,Full,,long-on,
19.1," Shami to du Plessis, FOUR, short, slow delivery and du Plessis gets hold of it to pull it well past the man at deep mid for a four. Faf moves to 70. Has been a one man army for CSK today amidst the ruins ",1st Inns,53r,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Robin Uthappa, Moeen Ali, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Aiden Markram, Sarfaraz Khan, Shahrukh Khan, Moises Henriques, Chris Jordan, Harpreet Brar, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 07,2021",Punjab Kings have won the toss and have opted to field,Punjab Kings won by 6 wkts,KL Rahul,PBKS,field,CSK,PBKS,du Plessis, Shami,4,0,Short,,,pull shot
18.6," Arshdeep Singh to du Plessis, 1 run, full toss outside off and was mistimed to cover for du Plessis to steal a single ",1st Inns,53r,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Robin Uthappa, Moeen Ali, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Aiden Markram, Sarfaraz Khan, Shahrukh Khan, Moises Henriques, Chris Jordan, Harpreet Brar, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 07,2021",Punjab Kings have won the toss and have opted to field,Punjab Kings won by 6 wkts,KL Rahul,PBKS,field,CSK,PBKS,du Plessis, Arshdeep Singh,1,0,Full,off side,cover,
18.5," Arshdeep Singh to du Plessis, SIX, slot ball and bye bye ball. That was in the slot for du Plessis to free his arms and he has smoked it over deep mid for a sixer. Huge hit as CSK fans have a reason to smile ",1st Inns,53r,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Robin Uthappa, Moeen Ali, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Aiden Markram, Sarfaraz Khan, Shahrukh Khan, Moises Henriques, Chris Jordan, Harpreet Brar, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 07,2021",Punjab Kings have won the toss and have opted to field,Punjab Kings won by 6 wkts,KL Rahul,PBKS,field,CSK,PBKS,du Plessis, Arshdeep Singh,6,0,Slot,,,
18.4,"Arshdeep Singh to Jadeja, leg byes, 1 run, gets the yorker going and goes past Jadeja's inside edge and the batter steal a single. Punjab have decided to take a late review but don't think Jadeja will be in trouble. It might well be going down. The umpire had given it runs. But it is umpire's call on hitting and Jadeja will continue",1st Inns,53r,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Faf du Plessis, Robin Uthappa, Moeen Ali, Ambati Rayudu, MS Dhoni(w/c), Ravindra Jadeja, Dwayne Bravo, Shardul Thakur, Deepak Chahar, Josh Hazlewood","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Aiden Markram, Sarfaraz Khan, Shahrukh Khan, Moises Henriques, Chris Jordan, Harpreet Brar, Mohammed Shami, Ravi Bishnoi, Arshdeep Singh",,,IPL,2021,"Dubai International Cricket Stadium,Dubai","Oct 07,2021",Punjab Kings have won the toss and have opted to field,Punjab Kings won by 6 wkts,KL Rahul,PBKS,field,CSK,PBKS,Jadeja,Arshdeep Singh,byes,1,yorker,,,edge
