ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,winner,player_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,out_type,match_id
3.2," Bhuvneshwar to Rahul, no run, length delivery angled in on the stumps, tucked away to the right of mid-wicket ",1st Inns,37th,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): David Warner, Wriddhiman Saha(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Aiden Markram, Nicholas Pooran, Deepak Hooda, Ravi Bishnoi, Mohammed Shami, Harpreet Brar, Arshdeep Singh, Nathan Ellis",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 25,2021",Sunrisers Hyderabad have won the toss and have opted to field,Punjab Kings won by 5 runs,Jason Holder,SRH,field,PBKS,SRH,Rahul, Bhuvneshwar,0,0,Good,stump line,mid-wicket,,,202137
3.1," Bhuvneshwar to Rahul, no run, short of length just outside off, Rahul opens the bat face and punches to cover ",1st Inns,37th,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): David Warner, Wriddhiman Saha(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Aiden Markram, Nicholas Pooran, Deepak Hooda, Ravi Bishnoi, Mohammed Shami, Harpreet Brar, Arshdeep Singh, Nathan Ellis",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 25,2021",Sunrisers Hyderabad have won the toss and have opted to field,Punjab Kings won by 5 runs,Jason Holder,SRH,field,PBKS,SRH,Rahul, Bhuvneshwar,0,0,Short,off side,cover,,,202137
2.6," Sandeep Sharma to Rahul, 1 run, 125ks fuller and closer to off, flicked away wide of mid-wicket for a strike-retaining single ",1st Inns,37th,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): David Warner, Wriddhiman Saha(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Aiden Markram, Nicholas Pooran, Deepak Hooda, Ravi Bishnoi, Mohammed Shami, Harpreet Brar, Arshdeep Singh, Nathan Ellis",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 25,2021",Sunrisers Hyderabad have won the toss and have opted to field,Punjab Kings won by 5 runs,Jason Holder,SRH,field,PBKS,SRH,Rahul, Sandeep Sharma,1,0,Full,off side,mid-wicket,flick shot,,202137
2.5," Sandeep Sharma to Rahul, FOUR, finally! Gets the boundary he was looking for, not in the manner he wanted but he won't mind that... Pokes at an incoming length delivery and the thick edge flies wide of the keeper to his right. Sandeep Sharma has a wry smile... ",1st Inns,37th,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): David Warner, Wriddhiman Saha(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Aiden Markram, Nicholas Pooran, Deepak Hooda, Ravi Bishnoi, Mohammed Shami, Harpreet Brar, Arshdeep Singh, Nathan Ellis",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 25,2021",Sunrisers Hyderabad have won the toss and have opted to field,Punjab Kings won by 5 runs,Jason Holder,SRH,field,PBKS,SRH,Rahul, Sandeep Sharma,4,0,Good,wide,keeper,edge,,202137
2.4," Sandeep Sharma to Rahul, no run, no feet this time! Just flashes at a length ball outside off and gets beaten on the outside edge ",1st Inns,37th,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): David Warner, Wriddhiman Saha(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Aiden Markram, Nicholas Pooran, Deepak Hooda, Ravi Bishnoi, Mohammed Shami, Harpreet Brar, Arshdeep Singh, Nathan Ellis",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 25,2021",Sunrisers Hyderabad have won the toss and have opted to field,Punjab Kings won by 5 runs,Jason Holder,SRH,field,PBKS,SRH,Rahul, Sandeep Sharma,0,0,Good,off side,,edge,,202137
2.3," Sandeep Sharma to Rahul, no run, makes room, stays leg-side of the 128ks length delivery and punches it to the left of Warner at cover ",1st Inns,37th,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): David Warner, Wriddhiman Saha(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Aiden Markram, Nicholas Pooran, Deepak Hooda, Ravi Bishnoi, Mohammed Shami, Harpreet Brar, Arshdeep Singh, Nathan Ellis",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 25,2021",Sunrisers Hyderabad have won the toss and have opted to field,Punjab Kings won by 5 runs,Jason Holder,SRH,field,PBKS,SRH,Rahul, Sandeep Sharma,0,0,Good,,cover,,,202137
2.2," Sandeep Sharma to Rahul, no run, swinging in around off and middle, Rahul looks to come forward but restrains his momentum and punches it back to the bowler ",1st Inns,37th,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): David Warner, Wriddhiman Saha(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Aiden Markram, Nicholas Pooran, Deepak Hooda, Ravi Bishnoi, Mohammed Shami, Harpreet Brar, Arshdeep Singh, Nathan Ellis",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 25,2021",Sunrisers Hyderabad have won the toss and have opted to field,Punjab Kings won by 5 runs,Jason Holder,SRH,field,PBKS,SRH,Rahul, Sandeep Sharma,0,0,,,,,,202137
2.1," Sandeep Sharma to Mayank, 1 run, 126ks shaping in from a length just outside off, Agarwal uses his bottom hand to whip-drive it through non-existent mid-on. Fielder in the deep and he'll only get a single ",1st Inns,37th,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): David Warner, Wriddhiman Saha(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Aiden Markram, Nicholas Pooran, Deepak Hooda, Ravi Bishnoi, Mohammed Shami, Harpreet Brar, Arshdeep Singh, Nathan Ellis",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 25,2021",Sunrisers Hyderabad have won the toss and have opted to field,Punjab Kings won by 5 runs,Jason Holder,SRH,field,PBKS,SRH,Mayank, Sandeep Sharma,1,0,,off side,mid-on,on drive,,202137
1.6," Bhuvneshwar to Mayank, 3 runs, superb timing from Mayank Agarwal! Doesn't overhit at all. Opens the bat face and steer-punches the length delivery square wide of cover to his left, Samad gives chase and manages to pull the ball back inches inside the rope. Two boundaries saved in this over... ",1st Inns,37th,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): David Warner, Wriddhiman Saha(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Aiden Markram, Nicholas Pooran, Deepak Hooda, Ravi Bishnoi, Mohammed Shami, Harpreet Brar, Arshdeep Singh, Nathan Ellis",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 25,2021",Sunrisers Hyderabad have won the toss and have opted to field,Punjab Kings won by 5 runs,Jason Holder,SRH,field,PBKS,SRH,Mayank, Bhuvneshwar,3,0,Good,wide,square,pull shot,,202137
1.5," Bhuvneshwar to Rahul, 1 run, angled into the pads from a good length, clipped away into the mid-wicket pocket for an easy single ",1st Inns,37th,Sunrisers Hyderabad,Punjab Kings,"Sunrisers Hyderabad (Playing XI): David Warner, Wriddhiman Saha(w), Kane Williamson(c), Manish Pandey, Kedar Jadhav, Abdul Samad, Jason Holder, Rashid Khan, Bhuvneshwar Kumar, Sandeep Sharma, Khaleel Ahmed","Punjab Kings (Playing XI): KL Rahul(w/c), Mayank Agarwal, Chris Gayle, Aiden Markram, Nicholas Pooran, Deepak Hooda, Ravi Bishnoi, Mohammed Shami, Harpreet Brar, Arshdeep Singh, Nathan Ellis",,,IPL,2021,"Sharjah Cricket Stadium,Sharjah","Sep 25,2021",Sunrisers Hyderabad have won the toss and have opted to field,Punjab Kings won by 5 runs,Jason Holder,SRH,field,PBKS,SRH,Rahul, Bhuvneshwar,1,0,Good,,mid-wicket,,,202137
