ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination
12.6," Akash Deep to Thakur, SIX, goes for a leg-stump yorker, doesn't quite get it right and Thakur launches it over long-on to make the most of this free-hit ",1st Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur,RCB,field,KKR,RCB,Thakur, Akash Deep,6,0,yorker,undefined,long-on
12.6," Akash Deep to Rinku Singh, no ball, 1 run, short of length on off, Rinku pulls it to deep midwicket. Second no-ball from Akash Deep. Oh that's a very tight front foot call ",1st Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur,RCB,field,KKR,RCB,Rinku Singh, Akash Deep,no ball,1,Short,off side,deep midwicket
12.5," Akash Deep to Thakur, 1 run, short and wide, Thakur slaps it in the air and it lands wide of sweeper cover ",1st Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur,RCB,field,KKR,RCB,Thakur, Akash Deep,1,0,Short,wide,sweeper
12.4," Akash Deep to Rinku Singh, 1 run, short of length around the waist, Rinku pulls it to deep backward square ",1st Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur,RCB,field,KKR,RCB,Rinku Singh, Akash Deep,1,0,Short,undefined,deep backward square
12.3," Akash Deep to Thakur, 1 run, 137.9kph, back of a length on middle, Thakur tabs it in front of backward point ",1st Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur,RCB,field,KKR,RCB,Thakur, Akash Deep,1,0,Back of Length,stump line,backward point
12.2," Akash Deep to Thakur, FOUR, 137.4kph, full outside off, and Thakur throws his hands at it to carve it over extra cover ",1st Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur,RCB,field,KKR,RCB,Thakur, Akash Deep,4,0,Full,off side,extra cover
12.1," Akash Deep to Thakur, FOUR, back of a length delivery straying on leg, Thakur shuffles across and manages to tickle it fine. The outfield is lightning fast and fine leg is unable to cut it off ",1st Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur,RCB,field,KKR,RCB,Thakur, Akash Deep,4,0,Back of Length,leg side,fine leg
11.6," Karn Sharma to Thakur, 1 run, juicy full toss, Thakur drives to long-off ",1st Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur,RCB,field,KKR,RCB,Thakur, Karn Sharma,1,0,Full,undefined,long-off
11.5," Karn Sharma to Thakur, no run, length ball turning away, Thakur defends into the off-side ",1st Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur,RCB,field,KKR,RCB,Thakur, Karn Sharma,0,0,Good,undefined,off-side
11.4," Karn Sharma to Thakur, FOUR, nearly a hattrick for Karn! Plenty of flight on this legbreak, Thakur looks to drive but drags it off a thick inside edge past leg stump. Willey fails to keep it inside the boundary ",1st Inns,9th,Kolkata Knight Riders,Royal Challengers Bangalore,"Kolkata Knight Riders (Playing XI): Mandeep Singh, Rahmanullah Gurbaz(w), Venkatesh Iyer, Nitish Rana(c), Rinku Singh, Andre Russell, Shardul Thakur, Sunil Narine, Tim Southee, Umesh Yadav, Varun Chakaravarthy","Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Michael Bracewell, Dinesh Karthik(w), Shahbaz Ahmed, David Willey, Karn Sharma, Harshal Patel, Akash Deep, Mohammed Siraj","Kolkata Knight Riders Subs: Suyash Sharma, Anukul Roy, Vaibhav Arora, N Jagadeesan, David Wiese","Royal Challengers Bangalore Subs: Finn Allen, Sonu Yadav, Mahipal Lomror, Suyash Prabhudessai, Anuj Rawat",IPL,2023,"Eden Gardens,Kolkata","Apr 06,2023",Royal Challengers Bangalore have won the toss and have opted to field,Kolkata Knight Riders won by 81 runs,Shardul Thakur,RCB,field,KKR,RCB,Thakur, Karn Sharma,4,0,undefined,stump line,
