ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler
19.6," Sam Curran to Dhoni, SIX, back-to-back sixes from Dhoni to finish the innings! The place has gone berserk! Full toss at the stumps, Dhoni swings hard, connects, and deposits it over midwicket ",1st Inns,41s,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Punjab Kings (Playing XI): Atharva Taide, Shikhar Dhawan(c), Liam Livingstone, Sikandar Raza, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Chennai Super Kings Subs: Akash Singh, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Punjab Kings Subs: Prabhsimran Singh, Matthew Short, Rishi Dhawan, Mohit Rathee, Shivam Singh",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 30,2023",Chennai Super Kings have won the toss and have opted to bat,Punjab Kings won by 4 wkts,Devon Conway,CSK,bat,CSK,PBKS,Dhoni, Sam Curran
19.5," Sam Curran to Dhoni, SIX, slower short ball outside off, plenty of width for Dhoni and he slaps it over backward point for six! That's what the crowd have been waiting for! ",1st Inns,41s,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Punjab Kings (Playing XI): Atharva Taide, Shikhar Dhawan(c), Liam Livingstone, Sikandar Raza, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Chennai Super Kings Subs: Akash Singh, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Punjab Kings Subs: Prabhsimran Singh, Matthew Short, Rishi Dhawan, Mohit Rathee, Shivam Singh",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 30,2023",Chennai Super Kings have won the toss and have opted to bat,Punjab Kings won by 4 wkts,Devon Conway,CSK,bat,CSK,PBKS,Dhoni, Sam Curran
19.4," Sam Curran to Conway, 1 run, has he taken it? Livingstone seems unsure and the umpires have sent it upstairs. Slower short ball outside off, Conway pulls in the air, well in front of deep midwicket. Livingstone gets into an awkward position after running in. He's sliding forward legs first, with his body trailing behind. The ball is dying on him, but he somehow grabs it close to the turf. Third umpire has made his decision. He reckons it's touched the ground ",1st Inns,41s,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Punjab Kings (Playing XI): Atharva Taide, Shikhar Dhawan(c), Liam Livingstone, Sikandar Raza, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Chennai Super Kings Subs: Akash Singh, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Punjab Kings Subs: Prabhsimran Singh, Matthew Short, Rishi Dhawan, Mohit Rathee, Shivam Singh",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 30,2023",Chennai Super Kings have won the toss and have opted to bat,Punjab Kings won by 4 wkts,Devon Conway,CSK,bat,CSK,PBKS,Conway, Sam Curran
19.4," Sam Curran to Conway, wide, slower ball but Curran gets it wrong. It's way too wide outside off ",1st Inns,41s,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Punjab Kings (Playing XI): Atharva Taide, Shikhar Dhawan(c), Liam Livingstone, Sikandar Raza, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Chennai Super Kings Subs: Akash Singh, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Punjab Kings Subs: Prabhsimran Singh, Matthew Short, Rishi Dhawan, Mohit Rathee, Shivam Singh",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 30,2023",Chennai Super Kings have won the toss and have opted to bat,Punjab Kings won by 4 wkts,Devon Conway,CSK,bat,CSK,PBKS,Conway, Sam Curran
19.3," Sam Curran to Dhoni, 1 run, pitched right up, Dhoni is unable to get under it as he hammers it to long-on. Goes to the fielder on the bounce ",1st Inns,41s,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Punjab Kings (Playing XI): Atharva Taide, Shikhar Dhawan(c), Liam Livingstone, Sikandar Raza, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Chennai Super Kings Subs: Akash Singh, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Punjab Kings Subs: Prabhsimran Singh, Matthew Short, Rishi Dhawan, Mohit Rathee, Shivam Singh",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 30,2023",Chennai Super Kings have won the toss and have opted to bat,Punjab Kings won by 4 wkts,Devon Conway,CSK,bat,CSK,PBKS,Dhoni, Sam Curran
19.2," Sam Curran to Dhoni, no run, slower one dug into the pitch, Dhoni steps across looking to pull but misses. It bounces over the top of off ",1st Inns,41s,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Punjab Kings (Playing XI): Atharva Taide, Shikhar Dhawan(c), Liam Livingstone, Sikandar Raza, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Chennai Super Kings Subs: Akash Singh, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Punjab Kings Subs: Prabhsimran Singh, Matthew Short, Rishi Dhawan, Mohit Rathee, Shivam Singh",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 30,2023",Chennai Super Kings have won the toss and have opted to bat,Punjab Kings won by 4 wkts,Devon Conway,CSK,bat,CSK,PBKS,Dhoni, Sam Curran
19.1," Sam Curran to Jadeja, out Caught by Livingstone!! Huge roar as the catch is taken! Full toss on off, Jadeja swings but it goes only as far as deep midwicket. Didn't get hold of it. Jadeja c Livingstone b Sam Curran 12(10) ",1st Inns,41s,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Punjab Kings (Playing XI): Atharva Taide, Shikhar Dhawan(c), Liam Livingstone, Sikandar Raza, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Chennai Super Kings Subs: Akash Singh, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Punjab Kings Subs: Prabhsimran Singh, Matthew Short, Rishi Dhawan, Mohit Rathee, Shivam Singh",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 30,2023",Chennai Super Kings have won the toss and have opted to bat,Punjab Kings won by 4 wkts,Devon Conway,CSK,bat,CSK,PBKS,Jadeja, Sam Curran
18.6," Rabada to Conway, FOUR, full outside off, Conway hits down the ground and beats long-on! Don't think he got it off the middle, but he swung hard enough ",1st Inns,41s,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Punjab Kings (Playing XI): Atharva Taide, Shikhar Dhawan(c), Liam Livingstone, Sikandar Raza, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Chennai Super Kings Subs: Akash Singh, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Punjab Kings Subs: Prabhsimran Singh, Matthew Short, Rishi Dhawan, Mohit Rathee, Shivam Singh",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 30,2023",Chennai Super Kings have won the toss and have opted to bat,Punjab Kings won by 4 wkts,Devon Conway,CSK,bat,CSK,PBKS,Conway, Rabada
18.5," Rabada to Conway, no run, slower off-cutter, spins away off a length outside off and Conway is completely deceived. He tries dabbing it fine but gets beaten ",1st Inns,41s,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Punjab Kings (Playing XI): Atharva Taide, Shikhar Dhawan(c), Liam Livingstone, Sikandar Raza, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Chennai Super Kings Subs: Akash Singh, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Punjab Kings Subs: Prabhsimran Singh, Matthew Short, Rishi Dhawan, Mohit Rathee, Shivam Singh",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 30,2023",Chennai Super Kings have won the toss and have opted to bat,Punjab Kings won by 4 wkts,Devon Conway,CSK,bat,CSK,PBKS,Conway, Rabada
18.4," Rabada to Jadeja, 1 run, slower short ball, Jadeja pulls it to deep midwicket ",1st Inns,41s,Chennai Super Kings,Punjab Kings,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Ambati Rayudu, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Punjab Kings (Playing XI): Atharva Taide, Shikhar Dhawan(c), Liam Livingstone, Sikandar Raza, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Kagiso Rabada, Rahul Chahar, Arshdeep Singh","Chennai Super Kings Subs: Akash Singh, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar","Punjab Kings Subs: Prabhsimran Singh, Matthew Short, Rishi Dhawan, Mohit Rathee, Shivam Singh",IPL,2023,"MA Chidambaram Stadium,Chennai","Apr 30,2023",Chennai Super Kings have won the toss and have opted to bat,Punjab Kings won by 4 wkts,Devon Conway,CSK,bat,CSK,PBKS,Jadeja, Rabada
