ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,out_type,match_id
11.1," Meredith to Jaiswal, no run, slower ball and it does not come on, Jaiswal mistimes the drive to cover ",1st Inns,42nd,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Tim David, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Riley Meredith, Arshad Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","Mumbai Indians Impact Subs: Nehal Wadhera, Ramandeep Singh, Vishnu Vinod, Shams Mulani, Arjun Tendulkar","Rajasthan Royals Impact Subs: Donovan Ferreira, Murugan Ashwin, Riyan Parag, Kuldip Yadav, Kuldeep Sen",IPL,2023,"Wankhede Stadium,Mumbai","Apr 30,2023",Rajasthan Royals have won the toss and have opted to bat,Mumbai Indians won by 6 wkts,Yashasvi Jaiswal,RR,bat,RR,MI,Jaiswal, Meredith,0,0,undefined,undefined,cover,cover drive,,202342
10.6," Chawla to Holder, no run, wrong 'un outside off, Holder gets an inside edge onto the pad and the ball rolls to the off-side ",1st Inns,42nd,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Tim David, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Riley Meredith, Arshad Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","Mumbai Indians Impact Subs: Nehal Wadhera, Ramandeep Singh, Vishnu Vinod, Shams Mulani, Arjun Tendulkar","Rajasthan Royals Impact Subs: Donovan Ferreira, Murugan Ashwin, Riyan Parag, Kuldip Yadav, Kuldeep Sen",IPL,2023,"Wankhede Stadium,Mumbai","Apr 30,2023",Rajasthan Royals have won the toss and have opted to bat,Mumbai Indians won by 6 wkts,Yashasvi Jaiswal,RR,bat,RR,MI,Holder, Chawla,0,0,undefined,off side,off-side,edge,,202342
10.5," Chawla to Padikkal, out Bowled!! Beauty! This surface is not a belter. The slower balls are gripping and the wrong 'un turned. Padikkal showed last ball that he wasn't picking Chawla's googly, so this was shortened a touch and Padikkal is rooted to the crease, he looks to defend but the ball spins away, beats the outside edge and crashes into the stumps. Wickets in successive overs and RR are losing a bit of momentum. Padikkal b Chawla 2(4) ",1st Inns,42nd,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Tim David, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Riley Meredith, Arshad Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","Mumbai Indians Impact Subs: Nehal Wadhera, Ramandeep Singh, Vishnu Vinod, Shams Mulani, Arjun Tendulkar","Rajasthan Royals Impact Subs: Donovan Ferreira, Murugan Ashwin, Riyan Parag, Kuldip Yadav, Kuldeep Sen",IPL,2023,"Wankhede Stadium,Mumbai","Apr 30,2023",Rajasthan Royals have won the toss and have opted to bat,Mumbai Indians won by 6 wkts,Yashasvi Jaiswal,RR,bat,RR,MI,Padikkal, Chawla,out,out,Short,undefined,,edge,bowled,202342
10.4," Chawla to Padikkal, no run, wrong 'un and Padikkal had no clue, he goes searching for the ball and is beaten on the outside edge ",1st Inns,42nd,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Tim David, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Riley Meredith, Arshad Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","Mumbai Indians Impact Subs: Nehal Wadhera, Ramandeep Singh, Vishnu Vinod, Shams Mulani, Arjun Tendulkar","Rajasthan Royals Impact Subs: Donovan Ferreira, Murugan Ashwin, Riyan Parag, Kuldip Yadav, Kuldeep Sen",IPL,2023,"Wankhede Stadium,Mumbai","Apr 30,2023",Rajasthan Royals have won the toss and have opted to bat,Mumbai Indians won by 6 wkts,Yashasvi Jaiswal,RR,bat,RR,MI,Padikkal, Chawla,0,0,undefined,undefined,,edge,,202342
10.3," Chawla to Jaiswal, 1 run, fired full and around leg-stump, Jaiswal flicks wide of long-on and settles with a single ",1st Inns,42nd,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Tim David, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Riley Meredith, Arshad Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","Mumbai Indians Impact Subs: Nehal Wadhera, Ramandeep Singh, Vishnu Vinod, Shams Mulani, Arjun Tendulkar","Rajasthan Royals Impact Subs: Donovan Ferreira, Murugan Ashwin, Riyan Parag, Kuldip Yadav, Kuldeep Sen",IPL,2023,"Wankhede Stadium,Mumbai","Apr 30,2023",Rajasthan Royals have won the toss and have opted to bat,Mumbai Indians won by 6 wkts,Yashasvi Jaiswal,RR,bat,RR,MI,Jaiswal, Chawla,1,0,Full,wide,long-on,flick shot,,202342
10.2," Chawla to Jaiswal, FOUR, fifty for Jaiswal. Back to back half centuries for him. He pumps the RR badge on the chest and then raises his bat. Shimmies down and gets surprised by a high full toss, hammers it in front of square and beats sweeper ",1st Inns,42nd,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Tim David, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Riley Meredith, Arshad Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","Mumbai Indians Impact Subs: Nehal Wadhera, Ramandeep Singh, Vishnu Vinod, Shams Mulani, Arjun Tendulkar","Rajasthan Royals Impact Subs: Donovan Ferreira, Murugan Ashwin, Riyan Parag, Kuldip Yadav, Kuldeep Sen",IPL,2023,"Wankhede Stadium,Mumbai","Apr 30,2023",Rajasthan Royals have won the toss and have opted to bat,Mumbai Indians won by 6 wkts,Yashasvi Jaiswal,RR,bat,RR,MI,Jaiswal, Chawla,4,0,Full,undefined,square,,,202342
10.1," Chawla to Padikkal, 1 run, flighted outside off, Padikkal drives it down to long-off ",1st Inns,42nd,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Tim David, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Riley Meredith, Arshad Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","Mumbai Indians Impact Subs: Nehal Wadhera, Ramandeep Singh, Vishnu Vinod, Shams Mulani, Arjun Tendulkar","Rajasthan Royals Impact Subs: Donovan Ferreira, Murugan Ashwin, Riyan Parag, Kuldip Yadav, Kuldeep Sen",IPL,2023,"Wankhede Stadium,Mumbai","Apr 30,2023",Rajasthan Royals have won the toss and have opted to bat,Mumbai Indians won by 6 wkts,Yashasvi Jaiswal,RR,bat,RR,MI,Padikkal, Chawla,1,0,undefined,off side,long-off,off drive,,202342
9.6," Arshad Khan to Padikkal, 1 run, 139.5ks short of length delivery, Padikkal chops it in front of backward point ",1st Inns,42nd,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Tim David, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Riley Meredith, Arshad Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","Mumbai Indians Impact Subs: Nehal Wadhera, Ramandeep Singh, Vishnu Vinod, Shams Mulani, Arjun Tendulkar","Rajasthan Royals Impact Subs: Donovan Ferreira, Murugan Ashwin, Riyan Parag, Kuldip Yadav, Kuldeep Sen",IPL,2023,"Wankhede Stadium,Mumbai","Apr 30,2023",Rajasthan Royals have won the toss and have opted to bat,Mumbai Indians won by 6 wkts,Yashasvi Jaiswal,RR,bat,RR,MI,Padikkal, Arshad Khan,1,0,Short,undefined,backward point,,,202342
9.6," Arshad Khan to Padikkal, wide, tries to welcome Padikkal with a bouncer but it is too short and too high, called for height ",1st Inns,42nd,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Tim David, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Riley Meredith, Arshad Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","Mumbai Indians Impact Subs: Nehal Wadhera, Ramandeep Singh, Vishnu Vinod, Shams Mulani, Arjun Tendulkar","Rajasthan Royals Impact Subs: Donovan Ferreira, Murugan Ashwin, Riyan Parag, Kuldip Yadav, Kuldeep Sen",IPL,2023,"Wankhede Stadium,Mumbai","Apr 30,2023",Rajasthan Royals have won the toss and have opted to bat,Mumbai Indians won by 6 wkts,Yashasvi Jaiswal,RR,bat,RR,MI,Padikkal, Arshad Khan,wide,1,Short,wide,,wide,,202342
9.5," Arshad Khan to Samson, out Caught by Tilak Varma!! Soft dismissal. How many times have we seen this from Samson? He comes in, looks good and just like that gets out. This was nothing delivery - slower ball on the pads, Samson could have nudged it or flicked it along the ground, but instead chips it tamely to deep mid-wicket. He didn't even try to whip it harder and get it over the rope. Tilak runs in and takes an easy catch. Samson c Tilak Varma b Arshad Khan 14(10) [4s-1 6s-1] ",1st Inns,42nd,Mumbai Indians,Rajasthan Royals,"Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tilak Varma, Tim David, Jofra Archer, Piyush Chawla, Kumar Kartikeya, Riley Meredith, Arshad Khan","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Dhruv Jurel, Shimron Hetmyer, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","Mumbai Indians Impact Subs: Nehal Wadhera, Ramandeep Singh, Vishnu Vinod, Shams Mulani, Arjun Tendulkar","Rajasthan Royals Impact Subs: Donovan Ferreira, Murugan Ashwin, Riyan Parag, Kuldip Yadav, Kuldeep Sen",IPL,2023,"Wankhede Stadium,Mumbai","Apr 30,2023",Rajasthan Royals have won the toss and have opted to bat,Mumbai Indians won by 6 wkts,Yashasvi Jaiswal,RR,bat,RR,MI,Samson, Arshad Khan,out,out,Good,stump line,mid-wicket,beaten,"Catch out , tilak varma",202342
