ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name
18.3," Tushar Deshpande to Tim David, wide, too wide this time, David lets it go ",1st Inns,49t,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tristan Stubbs, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Akash Madhwal, Arshad Khan","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh","Mumbai Indians Subs: Kumar Kartikeya, Ramandeep Singh , Dewald Brevis, Raghav Goyal, Vishnu Vinod",IPL,2023,"MA Chidambaram Stadium,Chennai","May 06,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Matheesha Pathirana,CSK,field,MI,CSK,Tim David, Tushar Deshpande,wide,1,undefined,wide,,wide
18.2," Tushar Deshpande to Tristan Stubbs, 1 run, 135kph, wide line from Deshpande again, not quite in the blockhole but Stubbs can't get hold of it as he looks to launch. He mistimes it to long-on ",1st Inns,49t,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tristan Stubbs, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Akash Madhwal, Arshad Khan","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh","Mumbai Indians Subs: Kumar Kartikeya, Ramandeep Singh , Dewald Brevis, Raghav Goyal, Vishnu Vinod",IPL,2023,"MA Chidambaram Stadium,Chennai","May 06,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Matheesha Pathirana,CSK,field,MI,CSK,Tristan Stubbs, Tushar Deshpande,1,0,undefined,wide,long-on,defend
18.1," Tushar Deshpande to Tim David, 1 run, full and very wide outside off, David shuffles across, reaches out and drives to sweeper cover ",1st Inns,49t,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tristan Stubbs, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Akash Madhwal, Arshad Khan","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh","Mumbai Indians Subs: Kumar Kartikeya, Ramandeep Singh , Dewald Brevis, Raghav Goyal, Vishnu Vinod",IPL,2023,"MA Chidambaram Stadium,Chennai","May 06,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Matheesha Pathirana,CSK,field,MI,CSK,Tim David, Tushar Deshpande,1,0,Full,wide,sweeper,drive
17.6," Pathirana to Tristan Stubbs, no run, 133.6kph, short of length outside off. It stops on Stubbs who merely bunts it down the pitch after being deceived by the lack of pace ",1st Inns,49t,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tristan Stubbs, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Akash Madhwal, Arshad Khan","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh","Mumbai Indians Subs: Kumar Kartikeya, Ramandeep Singh , Dewald Brevis, Raghav Goyal, Vishnu Vinod",IPL,2023,"MA Chidambaram Stadium,Chennai","May 06,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Matheesha Pathirana,CSK,field,MI,CSK,Tristan Stubbs, Pathirana,0,0,Short,off side,down the pitch,
17.5," Pathirana to Tim David, 1 run, yorker on off, brilliant from Pathirana. David squeezes it down the wicket ",1st Inns,49t,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tristan Stubbs, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Akash Madhwal, Arshad Khan","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh","Mumbai Indians Subs: Kumar Kartikeya, Ramandeep Singh , Dewald Brevis, Raghav Goyal, Vishnu Vinod",IPL,2023,"MA Chidambaram Stadium,Chennai","May 06,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Matheesha Pathirana,CSK,field,MI,CSK,Tim David, Pathirana,1,0,yorker,off side,,
17.4," Pathirana to Tim David, no run, beaten outside off as this length ball skids through to the keeper ",1st Inns,49t,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tristan Stubbs, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Akash Madhwal, Arshad Khan","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh","Mumbai Indians Subs: Kumar Kartikeya, Ramandeep Singh , Dewald Brevis, Raghav Goyal, Vishnu Vinod",IPL,2023,"MA Chidambaram Stadium,Chennai","May 06,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Matheesha Pathirana,CSK,field,MI,CSK,Tim David, Pathirana,0,0,Good,off side,keeper,beaten
17.3," Pathirana to Nehal Wadhera, out Bowled!! Pathirana bowls him behind his legs! A cracking yorker with pinpoint accuracy! Wadhera goes after a crucial knock which has given MI some impetus. He stepped across the stumps here looking to target the on-side, only to get knocked over. The yorker crashes into the base of middle. Nehal Wadhera b Pathirana 64(51) [4s-8 6s-1] ",1st Inns,49t,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tristan Stubbs, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Akash Madhwal, Arshad Khan","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh","Mumbai Indians Subs: Kumar Kartikeya, Ramandeep Singh , Dewald Brevis, Raghav Goyal, Vishnu Vinod",IPL,2023,"MA Chidambaram Stadium,Chennai","May 06,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Matheesha Pathirana,CSK,field,MI,CSK,Nehal Wadhera, Pathirana,out,out,yorker,undefined,,
17.2," Pathirana to Tristan Stubbs, 1 run, pitched up outside off, right in the slot but Stubbs miscues it off the inside half. Drags it through midwicket ",1st Inns,49t,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tristan Stubbs, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Akash Madhwal, Arshad Khan","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh","Mumbai Indians Subs: Kumar Kartikeya, Ramandeep Singh , Dewald Brevis, Raghav Goyal, Vishnu Vinod",IPL,2023,"MA Chidambaram Stadium,Chennai","May 06,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Matheesha Pathirana,CSK,field,MI,CSK,Tristan Stubbs, Pathirana,1,0,Slot,off side,midwicket,
17.1," Pathirana to Tristan Stubbs, no run, length ball wide of off, Stubbs slashes hard but misses ",1st Inns,49t,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tristan Stubbs, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Akash Madhwal, Arshad Khan","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh","Mumbai Indians Subs: Kumar Kartikeya, Ramandeep Singh , Dewald Brevis, Raghav Goyal, Vishnu Vinod",IPL,2023,"MA Chidambaram Stadium,Chennai","May 06,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Matheesha Pathirana,CSK,field,MI,CSK,Tristan Stubbs, Pathirana,0,0,Good,wide,,beaten
16.6," Jadeja to Nehal Wadhera, FOUR, the sweep shot over short fine leg again! 16 off the over! MI and Wadhera getting a move-on ",1st Inns,49t,Chennai Super Kings,Mumbai Indians,"Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tristan Stubbs, Tim David, Nehal Wadhera, Jofra Archer, Piyush Chawla, Akash Madhwal, Arshad Khan","Chennai Super Kings Subs: Ambati Rayudu, Mitchell Santner, Subhranshu Senapati, Shaik Rasheed, Akash Singh","Mumbai Indians Subs: Kumar Kartikeya, Ramandeep Singh , Dewald Brevis, Raghav Goyal, Vishnu Vinod",IPL,2023,"MA Chidambaram Stadium,Chennai","May 06,2023",Chennai Super Kings have won the toss and have opted to field,Chennai Super Kings won by 6 wkts,Matheesha Pathirana,CSK,field,MI,CSK,Nehal Wadhera, Jadeja,4,0,Short,undefined,short fine leg,sweep shot
