ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra
19.2," Pathirana to Gowtham, out Caught by Rahane!! Pathirana deceives him with a slower one! Length ball around off, Gowtham is very early through the slog and skies it up. Goes high and wide of long-on, but Rahane makes it look easy. Gowtham c Rahane b Pathirana 1(3) ",1st Inns,45t,Lucknow Super Giants,Chennai Super Kings,"Lucknow Super Giants (Playing XI): Kyle Mayers, Manan Vohra, Karan Sharma, Ayush Badoni, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Naveen-ul-Haq, Ravi Bishnoi, Mohsin Khan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","LSG Subs: Quinton de Kock, Deepak Hooda, Daniel Sams, Yash Thakur, Prerak Mankad.","CSK Subs: Ambati Rayudu, Mitch Santner, S Senapati, Shaik Rasheed, Akash Singh",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 03,2023",Chennai Super Kings have won the toss and have opted to field,No result,,CSK,field,LSG,CSK,Gowtham, Pathirana,out,out
19.1," Pathirana to Gowtham, no run, appeal for a catch. Umpires have sent it upstairs to check whether it's carried to Dhoni. Ah there's no edge to begin with. He's missed it by a long way. Good length outside off, Gowtham swings and misses. Goes well under his bat ",1st Inns,45t,Lucknow Super Giants,Chennai Super Kings,"Lucknow Super Giants (Playing XI): Kyle Mayers, Manan Vohra, Karan Sharma, Ayush Badoni, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Naveen-ul-Haq, Ravi Bishnoi, Mohsin Khan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","LSG Subs: Quinton de Kock, Deepak Hooda, Daniel Sams, Yash Thakur, Prerak Mankad.","CSK Subs: Ambati Rayudu, Mitch Santner, S Senapati, Shaik Rasheed, Akash Singh",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 03,2023",Chennai Super Kings have won the toss and have opted to field,No result,,CSK,field,LSG,CSK,Gowtham, Pathirana,0,0
18.6," Chahar to Ayush Badoni, SIX, wow that's special! Badoni walks across the stumps to target the short leg-side boundary, Chahar sees him, and responds by going very wide. No problem says Badoni. He changes his shot and carves it over extra cover. Such is the timing that he has cleared the long boundary. This knock just keeps getting better ",1st Inns,45t,Lucknow Super Giants,Chennai Super Kings,"Lucknow Super Giants (Playing XI): Kyle Mayers, Manan Vohra, Karan Sharma, Ayush Badoni, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Naveen-ul-Haq, Ravi Bishnoi, Mohsin Khan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","LSG Subs: Quinton de Kock, Deepak Hooda, Daniel Sams, Yash Thakur, Prerak Mankad.","CSK Subs: Ambati Rayudu, Mitch Santner, S Senapati, Shaik Rasheed, Akash Singh",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 03,2023",Chennai Super Kings have won the toss and have opted to field,No result,,CSK,field,LSG,CSK,Ayush Badoni, Chahar,6,0
18.5," Chahar to Ayush Badoni, 2 runs, short outside off again, Badoni looks to pull again and drags it wide of long-on for two ",1st Inns,45t,Lucknow Super Giants,Chennai Super Kings,"Lucknow Super Giants (Playing XI): Kyle Mayers, Manan Vohra, Karan Sharma, Ayush Badoni, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Naveen-ul-Haq, Ravi Bishnoi, Mohsin Khan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","LSG Subs: Quinton de Kock, Deepak Hooda, Daniel Sams, Yash Thakur, Prerak Mankad.","CSK Subs: Ambati Rayudu, Mitch Santner, S Senapati, Shaik Rasheed, Akash Singh",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 03,2023",Chennai Super Kings have won the toss and have opted to field,No result,,CSK,field,LSG,CSK,Ayush Badoni, Chahar,2,0
18.4," Chahar to Ayush Badoni, no run, short ball outside off, holds in the pitch and Badoni is through the pull early. He toe-ends it in front of point ",1st Inns,45t,Lucknow Super Giants,Chennai Super Kings,"Lucknow Super Giants (Playing XI): Kyle Mayers, Manan Vohra, Karan Sharma, Ayush Badoni, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Naveen-ul-Haq, Ravi Bishnoi, Mohsin Khan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","LSG Subs: Quinton de Kock, Deepak Hooda, Daniel Sams, Yash Thakur, Prerak Mankad.","CSK Subs: Ambati Rayudu, Mitch Santner, S Senapati, Shaik Rasheed, Akash Singh",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 03,2023",Chennai Super Kings have won the toss and have opted to field,No result,,CSK,field,LSG,CSK,Ayush Badoni, Chahar,0,0
18.3,"Chahar to Ayush Badoni, SIX, smashed into the crowd to bring up his fifty! LSG needed a blinder to get 120, and Badoni has produced just that! Fifty off just 30 balls on this pitch! What an effort! This is a short ball and Badoni pulls it over midwicket",1st Inns,45t,Lucknow Super Giants,Chennai Super Kings,"Lucknow Super Giants (Playing XI): Kyle Mayers, Manan Vohra, Karan Sharma, Ayush Badoni, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Naveen-ul-Haq, Ravi Bishnoi, Mohsin Khan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","LSG Subs: Quinton de Kock, Deepak Hooda, Daniel Sams, Yash Thakur, Prerak Mankad.","CSK Subs: Ambati Rayudu, Mitch Santner, S Senapati, Shaik Rasheed, Akash Singh",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 03,2023",Chennai Super Kings have won the toss and have opted to field,No result,,CSK,field,LSG,CSK,Ayush Badoni,Chahar,6,0
18.2," Chahar to Ayush Badoni, FOUR, streaky but four! Slower short ball, climbs on Badoni as he pulls and it loops off the too-edge over Dhoni's head ",1st Inns,45t,Lucknow Super Giants,Chennai Super Kings,"Lucknow Super Giants (Playing XI): Kyle Mayers, Manan Vohra, Karan Sharma, Ayush Badoni, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Naveen-ul-Haq, Ravi Bishnoi, Mohsin Khan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","LSG Subs: Quinton de Kock, Deepak Hooda, Daniel Sams, Yash Thakur, Prerak Mankad.","CSK Subs: Ambati Rayudu, Mitch Santner, S Senapati, Shaik Rasheed, Akash Singh",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 03,2023",Chennai Super Kings have won the toss and have opted to field,No result,,CSK,field,LSG,CSK,Ayush Badoni, Chahar,4,0
18.1," Chahar to Ayush Badoni, 2 runs, this is slapped in the air right back past the bowler. Slower ball dug into the pitch, Badoni doesn't get much timing on it but it goes past Chahar's outstretched right hand ",1st Inns,45t,Lucknow Super Giants,Chennai Super Kings,"Lucknow Super Giants (Playing XI): Kyle Mayers, Manan Vohra, Karan Sharma, Ayush Badoni, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Naveen-ul-Haq, Ravi Bishnoi, Mohsin Khan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","LSG Subs: Quinton de Kock, Deepak Hooda, Daniel Sams, Yash Thakur, Prerak Mankad.","CSK Subs: Ambati Rayudu, Mitch Santner, S Senapati, Shaik Rasheed, Akash Singh",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 03,2023",Chennai Super Kings have won the toss and have opted to field,No result,,CSK,field,LSG,CSK,Ayush Badoni, Chahar,2,0
17.6," Pathirana to Ayush Badoni, 1 run, close to the blockhole just outside off, Badoni squeezes it in front of point ",1st Inns,45t,Lucknow Super Giants,Chennai Super Kings,"Lucknow Super Giants (Playing XI): Kyle Mayers, Manan Vohra, Karan Sharma, Ayush Badoni, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Naveen-ul-Haq, Ravi Bishnoi, Mohsin Khan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","LSG Subs: Quinton de Kock, Deepak Hooda, Daniel Sams, Yash Thakur, Prerak Mankad.","CSK Subs: Ambati Rayudu, Mitch Santner, S Senapati, Shaik Rasheed, Akash Singh",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 03,2023",Chennai Super Kings have won the toss and have opted to field,No result,,CSK,field,LSG,CSK,Ayush Badoni, Pathirana,1,0
17.5," Pathirana to Gowtham, 1 run, Pathirana welcomes Gowtham with a yorker on middle. It's squeezed out gently down the pitch and Badoni calls him through for the single ",1st Inns,45t,Lucknow Super Giants,Chennai Super Kings,"Lucknow Super Giants (Playing XI): Kyle Mayers, Manan Vohra, Karan Sharma, Ayush Badoni, Marcus Stoinis, Nicholas Pooran(w), Krunal Pandya(c), Krishnappa Gowtham, Naveen-ul-Haq, Ravi Bishnoi, Mohsin Khan","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Deepak Chahar, Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana","LSG Subs: Quinton de Kock, Deepak Hooda, Daniel Sams, Yash Thakur, Prerak Mankad.","CSK Subs: Ambati Rayudu, Mitch Santner, S Senapati, Shaik Rasheed, Akash Singh",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","May 03,2023",Chennai Super Kings have won the toss and have opted to field,No result,,CSK,field,LSG,CSK,Gowtham, Pathirana,1,0
