ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed
5.1," Rabada to Jaiswal, no run, short of length ball, skids off the deck and Jaiswal misses the pull to get hit around the thigh ",2nd Inns,66t,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Atharva Taide, Liam Livingstone, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Arshdeep Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Adam Zampa, Trent Boult, Navdeep Saini, Sandeep Sharma, Yuzvendra Chahal","PBKS Impact Subs: Nathan Ellis, Sikandar Raza, Rishi Dhawan, Mohit Rathee, Matthew Short.","RR Impact Subs: Dhruv Jurel, Donovan Ferreira, Akash Vasisht, Kuldeep Sen, Murugan Ashwin.",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 19,2023",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Devdutt Padikkal,RR,field,RR,PBKS,Jaiswal, Rabada,0,0,Short,undefined,,beaten,
4.6," Nathan Ellis to Jaiswal, 3 runs, off-pace, fullish delivery, driven by Jaiswal and it eludes extra cover to his left. Dhawan runs from mid-off to hunt it down ... and ... the batters take three ",2nd Inns,66t,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Atharva Taide, Liam Livingstone, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Arshdeep Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Adam Zampa, Trent Boult, Navdeep Saini, Sandeep Sharma, Yuzvendra Chahal","PBKS Impact Subs: Nathan Ellis, Sikandar Raza, Rishi Dhawan, Mohit Rathee, Matthew Short.","RR Impact Subs: Dhruv Jurel, Donovan Ferreira, Akash Vasisht, Kuldeep Sen, Murugan Ashwin.",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 19,2023",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Devdutt Padikkal,RR,field,RR,PBKS,Jaiswal, Nathan Ellis,3,0,Full,undefined,extra cover,cover drive,
4.5," Nathan Ellis to Padikkal, 1 run, 139kph, fuller than good length, tapped to backward point and Jaiswal forces his partner to take the single ",2nd Inns,66t,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Atharva Taide, Liam Livingstone, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Arshdeep Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Adam Zampa, Trent Boult, Navdeep Saini, Sandeep Sharma, Yuzvendra Chahal","PBKS Impact Subs: Nathan Ellis, Sikandar Raza, Rishi Dhawan, Mohit Rathee, Matthew Short.","RR Impact Subs: Dhruv Jurel, Donovan Ferreira, Akash Vasisht, Kuldeep Sen, Murugan Ashwin.",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 19,2023",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Devdutt Padikkal,RR,field,RR,PBKS,Padikkal, Nathan Ellis,1,0,Full,undefined,backward point,,139
4.4," Nathan Ellis to Padikkal, no run, guided to short third man with an opened bat-face ",2nd Inns,66t,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Atharva Taide, Liam Livingstone, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Arshdeep Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Adam Zampa, Trent Boult, Navdeep Saini, Sandeep Sharma, Yuzvendra Chahal","PBKS Impact Subs: Nathan Ellis, Sikandar Raza, Rishi Dhawan, Mohit Rathee, Matthew Short.","RR Impact Subs: Dhruv Jurel, Donovan Ferreira, Akash Vasisht, Kuldeep Sen, Murugan Ashwin.",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 19,2023",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Devdutt Padikkal,RR,field,RR,PBKS,Padikkal, Nathan Ellis,0,0,Short,undefined,short third man,,
4.3," Nathan Ellis to Padikkal, no run, misses out on this occasion. There was width again but Padikkal fails to lay bat on ball as he goes for another cut shot ",2nd Inns,66t,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Atharva Taide, Liam Livingstone, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Arshdeep Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Adam Zampa, Trent Boult, Navdeep Saini, Sandeep Sharma, Yuzvendra Chahal","PBKS Impact Subs: Nathan Ellis, Sikandar Raza, Rishi Dhawan, Mohit Rathee, Matthew Short.","RR Impact Subs: Dhruv Jurel, Donovan Ferreira, Akash Vasisht, Kuldeep Sen, Murugan Ashwin.",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 19,2023",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Devdutt Padikkal,RR,field,RR,PBKS,Padikkal, Nathan Ellis,0,0,undefined,undefined,,beaten,
4.2," Nathan Ellis to Padikkal, FOUR, 126.3kph, too much width offered on this fuller length ball and Padikkal pounces. Bends his back leg and fiercely cuts through backward point ",2nd Inns,66t,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Atharva Taide, Liam Livingstone, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Arshdeep Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Adam Zampa, Trent Boult, Navdeep Saini, Sandeep Sharma, Yuzvendra Chahal","PBKS Impact Subs: Nathan Ellis, Sikandar Raza, Rishi Dhawan, Mohit Rathee, Matthew Short.","RR Impact Subs: Dhruv Jurel, Donovan Ferreira, Akash Vasisht, Kuldeep Sen, Murugan Ashwin.",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 19,2023",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Devdutt Padikkal,RR,field,RR,PBKS,Padikkal, Nathan Ellis,4,0,Full,undefined,backward point,Cut,126.3
4.1," Nathan Ellis to Padikkal, no run, Ellis starts with a slower ball, driven down the pitch and mid-on tidies it up ",2nd Inns,66t,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Atharva Taide, Liam Livingstone, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Arshdeep Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Adam Zampa, Trent Boult, Navdeep Saini, Sandeep Sharma, Yuzvendra Chahal","PBKS Impact Subs: Nathan Ellis, Sikandar Raza, Rishi Dhawan, Mohit Rathee, Matthew Short.","RR Impact Subs: Dhruv Jurel, Donovan Ferreira, Akash Vasisht, Kuldeep Sen, Murugan Ashwin.",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 19,2023",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Devdutt Padikkal,RR,field,RR,PBKS,Padikkal, Nathan Ellis,0,0,undefined,undefined,down the pitch,drive,
3.6," Rabada to Padikkal, 1 run, shortish ball, Padikkal hops and runs it down to third man ",2nd Inns,66t,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Atharva Taide, Liam Livingstone, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Arshdeep Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Adam Zampa, Trent Boult, Navdeep Saini, Sandeep Sharma, Yuzvendra Chahal","PBKS Impact Subs: Nathan Ellis, Sikandar Raza, Rishi Dhawan, Mohit Rathee, Matthew Short.","RR Impact Subs: Dhruv Jurel, Donovan Ferreira, Akash Vasisht, Kuldeep Sen, Murugan Ashwin.",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 19,2023",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Devdutt Padikkal,RR,field,RR,PBKS,Padikkal, Rabada,1,0,Short,undefined,third man,,
3.5," Rabada to Jaiswal, 1 run, 142.3kph, short of a good length ball, dabbed down to third man ",2nd Inns,66t,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Atharva Taide, Liam Livingstone, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Arshdeep Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Adam Zampa, Trent Boult, Navdeep Saini, Sandeep Sharma, Yuzvendra Chahal","PBKS Impact Subs: Nathan Ellis, Sikandar Raza, Rishi Dhawan, Mohit Rathee, Matthew Short.","RR Impact Subs: Dhruv Jurel, Donovan Ferreira, Akash Vasisht, Kuldeep Sen, Murugan Ashwin.",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 19,2023",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Devdutt Padikkal,RR,field,RR,PBKS,Jaiswal, Rabada,1,0,Short,undefined,third man,dab,142.3
3.4," Rabada to Padikkal, 1 run, tapped to the right of backward point with an opened bat-face ",2nd Inns,66t,Punjab Kings,Rajasthan Royals,"Punjab Kings (Playing XI): Shikhar Dhawan(c), Prabhsimran Singh, Atharva Taide, Liam Livingstone, Sam Curran, Jitesh Sharma(w), Shahrukh Khan, Harpreet Brar, Rahul Chahar, Kagiso Rabada, Arshdeep Singh","Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Riyan Parag, Adam Zampa, Trent Boult, Navdeep Saini, Sandeep Sharma, Yuzvendra Chahal","PBKS Impact Subs: Nathan Ellis, Sikandar Raza, Rishi Dhawan, Mohit Rathee, Matthew Short.","RR Impact Subs: Dhruv Jurel, Donovan Ferreira, Akash Vasisht, Kuldeep Sen, Murugan Ashwin.",IPL,2023,"Himachal Pradesh Cricket Association Stadium,Dharamsala","May 19,2023",Rajasthan Royals have won the toss and have opted to field,Rajasthan Royals won by 4 wkts,Devdutt Padikkal,RR,field,RR,PBKS,Padikkal, Rabada,1,0,undefined,undefined,backward point,,
