ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name
0.4," Akash Singh to Jaiswal, FOUR, Akash Singh is too full and is paying the price. Full and angling into middle-stump, Jaiswal flicks wide of mid-wicket and the outfield is quick, races away ",1st Inns,37t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana, Akash Singh","Rajasthan Royals Subs: Donavon Ferreira, Murugan Ashwin, Riyan Parag, KM Asif, Kuldip Yadav","Chennai Super Kings Subs: Ambati Rayudu, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar",IPL,2023,"Sawai Mansingh Stadium,Jaipur","Apr 27,2023",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 32 runs,Yashasvi Jaiswal,RR,bat,RR,CSK,Jaiswal, Akash Singh,4,0,Full,wide,mid-wicket,flick shot
0.3," Akash Singh to Jaiswal, no run, good length and tight on the stumps, clipped to mid-on ",1st Inns,37t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana, Akash Singh","Rajasthan Royals Subs: Donavon Ferreira, Murugan Ashwin, Riyan Parag, KM Asif, Kuldip Yadav","Chennai Super Kings Subs: Ambati Rayudu, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar",IPL,2023,"Sawai Mansingh Stadium,Jaipur","Apr 27,2023",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 32 runs,Yashasvi Jaiswal,RR,bat,RR,CSK,Jaiswal, Akash Singh,0,0,Good,stump line,mid-on,
0.2," Akash Singh to Jaiswal, FOUR, beautiful. This is so good. A picture-perfect drive, another half-volley outside off, Jaiswal gets forward and holds the pose as he drives wide of mid-off, who did not even move ",1st Inns,37t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana, Akash Singh","Rajasthan Royals Subs: Donavon Ferreira, Murugan Ashwin, Riyan Parag, KM Asif, Kuldip Yadav","Chennai Super Kings Subs: Ambati Rayudu, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar",IPL,2023,"Sawai Mansingh Stadium,Jaipur","Apr 27,2023",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 32 runs,Yashasvi Jaiswal,RR,bat,RR,CSK,Jaiswal, Akash Singh,4,0,Good,off side,mid-off,off drive
0.1," Akash Singh to Jaiswal, FOUR, swinging half-volley outside off and Jaiswal has absolutely creamed it wide of cover, Akash Singh will feel encouraged by the swing but Jaiswal is off the mark ",1st Inns,37t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana, Akash Singh","Rajasthan Royals Subs: Donavon Ferreira, Murugan Ashwin, Riyan Parag, KM Asif, Kuldip Yadav","Chennai Super Kings Subs: Ambati Rayudu, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar",IPL,2023,"Sawai Mansingh Stadium,Jaipur","Apr 27,2023",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 32 runs,Yashasvi Jaiswal,RR,bat,RR,CSK,Jaiswal, Akash Singh,4,0,undefined,off side,cover,
19.6," Kuldip Yadav to Shivam Dube, out Caught by Buttler!! RR win by 32 runs. High-fives all around. It is a memorable 200th IPL game for the franchise. Kuldip caps off the over with a wicket to his name. He too executed his yorkers perfectly. This was also right up there and Dube was not able to get under it, miscues the loft towards long-on and Buttler makes no mistake. Shivam Dube c Buttler b Kuldip Yadav 52(33) [4s-2 6s-4] ",2nd Inns,37t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana, Akash Singh","Rajasthan Royals Subs: Donavon Ferreira, Murugan Ashwin, Riyan Parag, KM Asif, Kuldip Yadav","Chennai Super Kings Subs: Ambati Rayudu, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar",IPL,2023,"Sawai Mansingh Stadium,Jaipur","Apr 27,2023",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 32 runs,Yashasvi Jaiswal,RR,bat,CSK,RR,Shivam Dube, Kuldip Yadav,out,out,yorker,undefined,long-on,cut shot
19.5," Kuldip Yadav to Jadeja, 1 run, low full toss around off, Jadeja heaves it towards deep mid-wicket and Jaiswal grabs it with one hand ",2nd Inns,37t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana, Akash Singh","Rajasthan Royals Subs: Donavon Ferreira, Murugan Ashwin, Riyan Parag, KM Asif, Kuldip Yadav","Chennai Super Kings Subs: Ambati Rayudu, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar",IPL,2023,"Sawai Mansingh Stadium,Jaipur","Apr 27,2023",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 32 runs,Yashasvi Jaiswal,RR,bat,CSK,RR,Jadeja, Kuldip Yadav,1,0,Full,undefined,mid-wicket,
19.4," Kuldip Yadav to Shivam Dube, 1 run, full and close the wide marker outside off, Dube reaches and slaps it to deep extra cover ",2nd Inns,37t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana, Akash Singh","Rajasthan Royals Subs: Donavon Ferreira, Murugan Ashwin, Riyan Parag, KM Asif, Kuldip Yadav","Chennai Super Kings Subs: Ambati Rayudu, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar",IPL,2023,"Sawai Mansingh Stadium,Jaipur","Apr 27,2023",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 32 runs,Yashasvi Jaiswal,RR,bat,CSK,RR,Shivam Dube, Kuldip Yadav,1,0,Full,wide,deep extra cover,
19.3," Kuldip Yadav to Jadeja, 1 run, very full and close to yorker length, Jadeja drives it past Kuldip and long-off tidies up ",2nd Inns,37t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana, Akash Singh","Rajasthan Royals Subs: Donavon Ferreira, Murugan Ashwin, Riyan Parag, KM Asif, Kuldip Yadav","Chennai Super Kings Subs: Ambati Rayudu, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar",IPL,2023,"Sawai Mansingh Stadium,Jaipur","Apr 27,2023",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 32 runs,Yashasvi Jaiswal,RR,bat,CSK,RR,Jadeja, Kuldip Yadav,1,0,Full,undefined,long-off,off drive
19.2," Kuldip Yadav to Shivam Dube, 1 run, miscue. Full and outside off, Dube toe-ends the loft straight back over Kuldip and the ball lands safely ",2nd Inns,37t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana, Akash Singh","Rajasthan Royals Subs: Donavon Ferreira, Murugan Ashwin, Riyan Parag, KM Asif, Kuldip Yadav","Chennai Super Kings Subs: Ambati Rayudu, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar",IPL,2023,"Sawai Mansingh Stadium,Jaipur","Apr 27,2023",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 32 runs,Yashasvi Jaiswal,RR,bat,CSK,RR,Shivam Dube, Kuldip Yadav,1,0,Full,off side,straight,
19.1," Kuldip Yadav to Shivam Dube, no run, 125.1ks slower ball outside off, Dube swings for the stands but fails to connect ",2nd Inns,37t,Rajasthan Royals,Chennai Super Kings,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Devdutt Padikkal, Sanju Samson(w/c), Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Chennai Super Kings (Playing XI): Ruturaj Gaikwad, Devon Conway, Ajinkya Rahane, Moeen Ali, Shivam Dube, Ravindra Jadeja, MS Dhoni(w/c), Matheesha Pathirana, Tushar Deshpande, Maheesh Theekshana, Akash Singh","Rajasthan Royals Subs: Donavon Ferreira, Murugan Ashwin, Riyan Parag, KM Asif, Kuldip Yadav","Chennai Super Kings Subs: Ambati Rayudu, Dwaine Pretorius, Subhranshu Senapati, Shaik Rasheed, RS Hangargekar",IPL,2023,"Sawai Mansingh Stadium,Jaipur","Apr 27,2023",Rajasthan Royals have won the toss and have opted to bat,Rajasthan Royals won by 32 runs,Yashasvi Jaiswal,RR,bat,CSK,RR,Shivam Dube, Kuldip Yadav,0,0,undefined,off side,,
