ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
19.6," Unadkat to Abdul Samad, no run, full outside off, a swing and a miss for Abdul Samad. Innings ends with a dot ball. ",1st Inns,10t,Lucknow Super Giants,Sunrisers Hyderabad,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Nicholas Pooran(w), Romario Shepherd, Krunal Pandya, Amit Mishra, Yash Thakur, Jaydev Unadkat, Ravi Bishnoi","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Anmolpreet Singh(w), Rahul Tripathi, Aiden Markram(c), Harry Brook, Washington Sundar, Abdul Samad, Bhuvneshwar Kumar, T Natarajan, Umran Malik, Adil Rashid","Lucknow Super Giants Subs: Ayush Badoni, Swapnil Singh, Daniel Sams, Prerak Mankad, Avesh Khan","Sunrisers Hyderabad Subs: Heinrich Klaasen, Fazalhaq Farooqi, Mayank Markande, Mayank Dagar, Marco Jansen",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 07,2023",Sunrisers Hyderabad have won the toss and have opted to bat,Lucknow Super Giants won by 5 wkts,Krunal Pandya,SRH,bat,SRH,LSG,Abdul Samad, Unadkat,0,0,Full,off side
19.5," Unadkat to Abdul Samad, SIX, superb striking!! This was another pace off back of length delivery. Samad waits a long time and releases his pull at the right moment. Over deep mid-wicket and into the stands... ",1st Inns,10t,Lucknow Super Giants,Sunrisers Hyderabad,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Nicholas Pooran(w), Romario Shepherd, Krunal Pandya, Amit Mishra, Yash Thakur, Jaydev Unadkat, Ravi Bishnoi","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Anmolpreet Singh(w), Rahul Tripathi, Aiden Markram(c), Harry Brook, Washington Sundar, Abdul Samad, Bhuvneshwar Kumar, T Natarajan, Umran Malik, Adil Rashid","Lucknow Super Giants Subs: Ayush Badoni, Swapnil Singh, Daniel Sams, Prerak Mankad, Avesh Khan","Sunrisers Hyderabad Subs: Heinrich Klaasen, Fazalhaq Farooqi, Mayank Markande, Mayank Dagar, Marco Jansen",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 07,2023",Sunrisers Hyderabad have won the toss and have opted to bat,Lucknow Super Giants won by 5 wkts,Krunal Pandya,SRH,bat,SRH,LSG,Abdul Samad, Unadkat,6,0,Back of Length,undefined
19.4," Unadkat to Abdul Samad, no run, slow length ball outside off. Abdul Samad shufles in to slam it away but cuts it into the pitch. Dot ball ",1st Inns,10t,Lucknow Super Giants,Sunrisers Hyderabad,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Nicholas Pooran(w), Romario Shepherd, Krunal Pandya, Amit Mishra, Yash Thakur, Jaydev Unadkat, Ravi Bishnoi","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Anmolpreet Singh(w), Rahul Tripathi, Aiden Markram(c), Harry Brook, Washington Sundar, Abdul Samad, Bhuvneshwar Kumar, T Natarajan, Umran Malik, Adil Rashid","Lucknow Super Giants Subs: Ayush Badoni, Swapnil Singh, Daniel Sams, Prerak Mankad, Avesh Khan","Sunrisers Hyderabad Subs: Heinrich Klaasen, Fazalhaq Farooqi, Mayank Markande, Mayank Dagar, Marco Jansen",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 07,2023",Sunrisers Hyderabad have won the toss and have opted to bat,Lucknow Super Giants won by 5 wkts,Krunal Pandya,SRH,bat,SRH,LSG,Abdul Samad, Unadkat,0,0,Good,off side
19.3," Unadkat to Abdul Samad, no run, shorter length and keeps low, goes under Abdul Samad's slog ",1st Inns,10t,Lucknow Super Giants,Sunrisers Hyderabad,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Nicholas Pooran(w), Romario Shepherd, Krunal Pandya, Amit Mishra, Yash Thakur, Jaydev Unadkat, Ravi Bishnoi","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Anmolpreet Singh(w), Rahul Tripathi, Aiden Markram(c), Harry Brook, Washington Sundar, Abdul Samad, Bhuvneshwar Kumar, T Natarajan, Umran Malik, Adil Rashid","Lucknow Super Giants Subs: Ayush Badoni, Swapnil Singh, Daniel Sams, Prerak Mankad, Avesh Khan","Sunrisers Hyderabad Subs: Heinrich Klaasen, Fazalhaq Farooqi, Mayank Markande, Mayank Dagar, Marco Jansen",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 07,2023",Sunrisers Hyderabad have won the toss and have opted to bat,Lucknow Super Giants won by 5 wkts,Krunal Pandya,SRH,bat,SRH,LSG,Abdul Samad, Unadkat,0,0,Short,undefined
19.2," Unadkat to Abdul Samad, SIX, this could be very valuable!! Slower back of length delivery outside off. Abdul Samad takes it on and pulls it over long-on for a maximum. Came off the sweet spot ",1st Inns,10t,Lucknow Super Giants,Sunrisers Hyderabad,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Nicholas Pooran(w), Romario Shepherd, Krunal Pandya, Amit Mishra, Yash Thakur, Jaydev Unadkat, Ravi Bishnoi","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Anmolpreet Singh(w), Rahul Tripathi, Aiden Markram(c), Harry Brook, Washington Sundar, Abdul Samad, Bhuvneshwar Kumar, T Natarajan, Umran Malik, Adil Rashid","Lucknow Super Giants Subs: Ayush Badoni, Swapnil Singh, Daniel Sams, Prerak Mankad, Avesh Khan","Sunrisers Hyderabad Subs: Heinrich Klaasen, Fazalhaq Farooqi, Mayank Markande, Mayank Dagar, Marco Jansen",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 07,2023",Sunrisers Hyderabad have won the toss and have opted to bat,Lucknow Super Giants won by 5 wkts,Krunal Pandya,SRH,bat,SRH,LSG,Abdul Samad, Unadkat,6,0,Back of Length,off side
19.1," Unadkat to Abdul Samad, out Umran Malik Run Out!! 1 run completed Full outside off, comes slower than expected as Samad was through his drive early. Goes tamely past the bowler towards long-on. Umran Malik tries to go for a selfless second run but runs himself out. Out without facing a ball. [b]Umran Malik run out (Hooda/Unadkat) 0(0)[/b] ",1st Inns,10t,Lucknow Super Giants,Sunrisers Hyderabad,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Nicholas Pooran(w), Romario Shepherd, Krunal Pandya, Amit Mishra, Yash Thakur, Jaydev Unadkat, Ravi Bishnoi","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Anmolpreet Singh(w), Rahul Tripathi, Aiden Markram(c), Harry Brook, Washington Sundar, Abdul Samad, Bhuvneshwar Kumar, T Natarajan, Umran Malik, Adil Rashid","Lucknow Super Giants Subs: Ayush Badoni, Swapnil Singh, Daniel Sams, Prerak Mankad, Avesh Khan","Sunrisers Hyderabad Subs: Heinrich Klaasen, Fazalhaq Farooqi, Mayank Markande, Mayank Dagar, Marco Jansen",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 07,2023",Sunrisers Hyderabad have won the toss and have opted to bat,Lucknow Super Giants won by 5 wkts,Krunal Pandya,SRH,bat,SRH,LSG,Abdul Samad, Unadkat,out,out,Full,off side
18.6," Mishra to Adil Rashid, out Caught by Hooda!! Tossed up delivery again, Adil Rashid danced out and went for a big drive down the ground. Catching practice for Deepak Hooda at long-off. Adil Rashid c Hooda b Mishra 4(3) [4s-1] ",1st Inns,10t,Lucknow Super Giants,Sunrisers Hyderabad,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Nicholas Pooran(w), Romario Shepherd, Krunal Pandya, Amit Mishra, Yash Thakur, Jaydev Unadkat, Ravi Bishnoi","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Anmolpreet Singh(w), Rahul Tripathi, Aiden Markram(c), Harry Brook, Washington Sundar, Abdul Samad, Bhuvneshwar Kumar, T Natarajan, Umran Malik, Adil Rashid","Lucknow Super Giants Subs: Ayush Badoni, Swapnil Singh, Daniel Sams, Prerak Mankad, Avesh Khan","Sunrisers Hyderabad Subs: Heinrich Klaasen, Fazalhaq Farooqi, Mayank Markande, Mayank Dagar, Marco Jansen",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 07,2023",Sunrisers Hyderabad have won the toss and have opted to bat,Lucknow Super Giants won by 5 wkts,Krunal Pandya,SRH,bat,SRH,LSG,Adil Rashid, Mishra,out,out,Full toss,undefined
18.5," Mishra to Adil Rashid, no run, googly this time and keeps low. Rashid can't connect on the clip ",1st Inns,10t,Lucknow Super Giants,Sunrisers Hyderabad,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Nicholas Pooran(w), Romario Shepherd, Krunal Pandya, Amit Mishra, Yash Thakur, Jaydev Unadkat, Ravi Bishnoi","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Anmolpreet Singh(w), Rahul Tripathi, Aiden Markram(c), Harry Brook, Washington Sundar, Abdul Samad, Bhuvneshwar Kumar, T Natarajan, Umran Malik, Adil Rashid","Lucknow Super Giants Subs: Ayush Badoni, Swapnil Singh, Daniel Sams, Prerak Mankad, Avesh Khan","Sunrisers Hyderabad Subs: Heinrich Klaasen, Fazalhaq Farooqi, Mayank Markande, Mayank Dagar, Marco Jansen",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 07,2023",Sunrisers Hyderabad have won the toss and have opted to bat,Lucknow Super Giants won by 5 wkts,Krunal Pandya,SRH,bat,SRH,LSG,Adil Rashid, Mishra,0,0,undefined,undefined
18.4," Mishra to Adil Rashid, FOUR, once again the new man gets a first ball four. Flighted with width, Rashid slams his drive through deep extra cover. Between the two deep fielders and goes for four... ",1st Inns,10t,Lucknow Super Giants,Sunrisers Hyderabad,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Nicholas Pooran(w), Romario Shepherd, Krunal Pandya, Amit Mishra, Yash Thakur, Jaydev Unadkat, Ravi Bishnoi","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Anmolpreet Singh(w), Rahul Tripathi, Aiden Markram(c), Harry Brook, Washington Sundar, Abdul Samad, Bhuvneshwar Kumar, T Natarajan, Umran Malik, Adil Rashid","Lucknow Super Giants Subs: Ayush Badoni, Swapnil Singh, Daniel Sams, Prerak Mankad, Avesh Khan","Sunrisers Hyderabad Subs: Heinrich Klaasen, Fazalhaq Farooqi, Mayank Markande, Mayank Dagar, Marco Jansen",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 07,2023",Sunrisers Hyderabad have won the toss and have opted to bat,Lucknow Super Giants won by 5 wkts,Krunal Pandya,SRH,bat,SRH,LSG,Adil Rashid, Mishra,4,0,undefined,undefined
18.3," Mishra to Washington Sundar, out Caught by Hooda!! The first real big shot from Washington Sundar and he holes out!! Gently tossed up again, Sundar had to take it on. Gets a good enough connection towards long-on but these are big straight boundaries. Deepak Hooda is the fielder and he doesn't drop these kind of catches. End of a troubled innings for Washington Sundar. Washington Sundar c Hooda b Mishra 16(28) ",1st Inns,10t,Lucknow Super Giants,Sunrisers Hyderabad,"Lucknow Super Giants (Playing XI): KL Rahul(c), Kyle Mayers, Deepak Hooda, Marcus Stoinis, Nicholas Pooran(w), Romario Shepherd, Krunal Pandya, Amit Mishra, Yash Thakur, Jaydev Unadkat, Ravi Bishnoi","Sunrisers Hyderabad (Playing XI): Mayank Agarwal, Anmolpreet Singh(w), Rahul Tripathi, Aiden Markram(c), Harry Brook, Washington Sundar, Abdul Samad, Bhuvneshwar Kumar, T Natarajan, Umran Malik, Adil Rashid","Lucknow Super Giants Subs: Ayush Badoni, Swapnil Singh, Daniel Sams, Prerak Mankad, Avesh Khan","Sunrisers Hyderabad Subs: Heinrich Klaasen, Fazalhaq Farooqi, Mayank Markande, Mayank Dagar, Marco Jansen",IPL,2023,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,Lucknow","Apr 07,2023",Sunrisers Hyderabad have won the toss and have opted to bat,Lucknow Super Giants won by 5 wkts,Krunal Pandya,SRH,bat,SRH,LSG,Washington Sundar, Mishra,out,out,Full toss,undefined
