ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler
19.6,"Mukesh Kumar to Russell, out Chakaravarthy Run Out!! 1 run completed. Slower delivery, dragged to deep mid-wicket, Varun goes for the non-existent second run, no wasy Russell is going to complete. Sends Varun back and he is well short. Chakaravarthy run out ((sub)Yash Dhull/Philip Salt) 1(6)",1st Inns,28t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Kolkata Knight Riders (Playing XI): Jason Roy, Litton Das(w), Venkatesh Iyer, Nitish Rana(c), Mandeep Singh, Andre Russell, Rinku Singh, Sunil Narine, Kulwant Khejroliya, Umesh Yadav, Varun Chakaravarthy",,,IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 20,2023",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Ishant Sharma,DC,field,KKR,DC,Russell,Mukesh Kumar
19.5," Mukesh Kumar to Russell, no run, wide yorker, Russell wasn't expecting, so he toe-ends it trying to reach out ",1st Inns,28t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Kolkata Knight Riders (Playing XI): Jason Roy, Litton Das(w), Venkatesh Iyer, Nitish Rana(c), Mandeep Singh, Andre Russell, Rinku Singh, Sunil Narine, Kulwant Khejroliya, Umesh Yadav, Varun Chakaravarthy",,,IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 20,2023",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Ishant Sharma,DC,field,KKR,DC,Russell, Mukesh Kumar
19.4," Mukesh Kumar to Russell, SIX, hat-trick of sixes! Tries the slower ball this time but doesn't matter. Slogs it away over backward square leg. No not a slower ball, but a normal pace slot ball. Is this the same Mukesh who bowled last over? Amazing how the pressure has got to the bowler all of a sudden ",1st Inns,28t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Kolkata Knight Riders (Playing XI): Jason Roy, Litton Das(w), Venkatesh Iyer, Nitish Rana(c), Mandeep Singh, Andre Russell, Rinku Singh, Sunil Narine, Kulwant Khejroliya, Umesh Yadav, Varun Chakaravarthy",,,IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 20,2023",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Ishant Sharma,DC,field,KKR,DC,Russell, Mukesh Kumar
19.3," Mukesh Kumar to Russell, SIX, this is way up into the night sky. The cameras lose it too. Yet again slot from Mukesh Kumar as he misses the yorker under pressure. 109m hit over mid-wicket ",1st Inns,28t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Kolkata Knight Riders (Playing XI): Jason Roy, Litton Das(w), Venkatesh Iyer, Nitish Rana(c), Mandeep Singh, Andre Russell, Rinku Singh, Sunil Narine, Kulwant Khejroliya, Umesh Yadav, Varun Chakaravarthy",,,IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 20,2023",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Ishant Sharma,DC,field,KKR,DC,Russell, Mukesh Kumar
19.2," Mukesh Kumar to Russell, SIX, misses the yorker and that's just enough for Russell to get under the ball. Full ball, Russell clears the front foot knowing Mukesh Kumar is going to cramp him for room, neat lofted drive over long-on ",1st Inns,28t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Kolkata Knight Riders (Playing XI): Jason Roy, Litton Das(w), Venkatesh Iyer, Nitish Rana(c), Mandeep Singh, Andre Russell, Rinku Singh, Sunil Narine, Kulwant Khejroliya, Umesh Yadav, Varun Chakaravarthy",,,IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 20,2023",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Ishant Sharma,DC,field,KKR,DC,Russell, Mukesh Kumar
19.1," Mukesh Kumar to Russell, no run, sets base very low, hits straight to deep mid-wicket ",1st Inns,28t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Kolkata Knight Riders (Playing XI): Jason Roy, Litton Das(w), Venkatesh Iyer, Nitish Rana(c), Mandeep Singh, Andre Russell, Rinku Singh, Sunil Narine, Kulwant Khejroliya, Umesh Yadav, Varun Chakaravarthy",,,IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 20,2023",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Ishant Sharma,DC,field,KKR,DC,Russell, Mukesh Kumar
18.6," Kuldeep Yadav to Chakaravarthy, no run, short and turning back in, Varun punches it to cover ",1st Inns,28t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Kolkata Knight Riders (Playing XI): Jason Roy, Litton Das(w), Venkatesh Iyer, Nitish Rana(c), Mandeep Singh, Andre Russell, Rinku Singh, Sunil Narine, Kulwant Khejroliya, Umesh Yadav, Varun Chakaravarthy",,,IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 20,2023",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Ishant Sharma,DC,field,KKR,DC,Chakaravarthy, Kuldeep Yadav
18.5," Kuldeep Yadav to Russell, 1 run, on the leg stump, knocked to mid-wicket and he takes one ",1st Inns,28t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Kolkata Knight Riders (Playing XI): Jason Roy, Litton Das(w), Venkatesh Iyer, Nitish Rana(c), Mandeep Singh, Andre Russell, Rinku Singh, Sunil Narine, Kulwant Khejroliya, Umesh Yadav, Varun Chakaravarthy",,,IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 20,2023",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Ishant Sharma,DC,field,KKR,DC,Russell, Kuldeep Yadav
18.4," Kuldeep Yadav to Russell, no run, oh quick delivery that totally surprised Russell, Somehow brings his bat down in time to defend ",1st Inns,28t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Kolkata Knight Riders (Playing XI): Jason Roy, Litton Das(w), Venkatesh Iyer, Nitish Rana(c), Mandeep Singh, Andre Russell, Rinku Singh, Sunil Narine, Kulwant Khejroliya, Umesh Yadav, Varun Chakaravarthy",,,IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 20,2023",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Ishant Sharma,DC,field,KKR,DC,Russell, Kuldeep Yadav
18.4," Kuldeep Yadav to Russell, wide, fired down leg ",1st Inns,28t,Delhi Capitals,Kolkata Knight Riders,"Delhi Capitals (Playing XI): David Warner(c), Philip Salt(w), Mitchell Marsh, Manish Pandey, Axar Patel, Aman Hakim Khan, Lalit Yadav, Kuldeep Yadav, Anrich Nortje, Ishant Sharma, Mukesh Kumar","Kolkata Knight Riders (Playing XI): Jason Roy, Litton Das(w), Venkatesh Iyer, Nitish Rana(c), Mandeep Singh, Andre Russell, Rinku Singh, Sunil Narine, Kulwant Khejroliya, Umesh Yadav, Varun Chakaravarthy",,,IPL,2023,"Arun Jaitley Stadium,Delhi","Apr 20,2023",Delhi Capitals have won the toss and have opted to field,Delhi Capitals won by 4 wkts,Ishant Sharma,DC,field,KKR,DC,Russell, Kuldeep Yadav
