ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,toss_winner,toss_choosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,out_type
19.6,"Sandeep Sharma to Willey, no run, a dot to end. RR need 190 to win. The wide yorker outside off, on the tramline, Willey reverse-scoops and misses, feels it is a wide and reviews. The third ump feels he has moved and reckons it is a fair delivery",1st Inns,32nd,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, David Willey, Wanindu Hasaranga, Mohammed Siraj, Vijaykumar Vyshak","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","RCB subs: Harshal Patel, Finn Allen, Akash Deep, Karn Sharma and Anuj Rawat.","RR subs: Donavon Ferreira, M Ashwin, Akash Vasisht, KM Asif and Abdul Basith.",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 23,2023",Rajasthan Royals have won the toss and have opted to field,Royal Challengers Bangalore won by 7 runs,Glenn Maxwell,RR,field,RCB,RR,Willey,Sandeep Sharma,0,0,yorker,wide,,beaten,
19.5," Sandeep Sharma to Willey, FOUR, Willey starts well. Sets up for the reverse-scoop and picks the slower ball length delivery on the stumps, lifts it over Samson ",1st Inns,32nd,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, David Willey, Wanindu Hasaranga, Mohammed Siraj, Vijaykumar Vyshak","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","RCB subs: Harshal Patel, Finn Allen, Akash Deep, Karn Sharma and Anuj Rawat.","RR subs: Donavon Ferreira, M Ashwin, Akash Vasisht, KM Asif and Abdul Basith.",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 23,2023",Rajasthan Royals have won the toss and have opted to field,Royal Challengers Bangalore won by 7 runs,Glenn Maxwell,RR,field,RCB,RR,Willey, Sandeep Sharma,4,0,Good,stump line,,,
19.4," Sandeep Sharma to Siraj, 1 run, the hat-trick ball is full just outside off, Siraj drives through cover-point, just a single ",1st Inns,32nd,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, David Willey, Wanindu Hasaranga, Mohammed Siraj, Vijaykumar Vyshak","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","RCB subs: Harshal Patel, Finn Allen, Akash Deep, Karn Sharma and Anuj Rawat.","RR subs: Donavon Ferreira, M Ashwin, Akash Vasisht, KM Asif and Abdul Basith.",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 23,2023",Rajasthan Royals have won the toss and have opted to field,Royal Challengers Bangalore won by 7 runs,Glenn Maxwell,RR,field,RCB,RR,Siraj, Sandeep Sharma,1,0,Full,off side,cover,cover drive,
19.3," Sandeep Sharma to Vijaykumar Vyshak, out Caught by Hetmyer!! Two in two. Sandeep Sharma back over the wicket. Vijaykumar Vyshak comes down the track and takes it from a length, heaves and finds Hetmyer at deep mid-wicket. Willey is stranded at the other end. Vijaykumar Vyshak c Hetmyer b Sandeep Sharma 0(1) ",1st Inns,32nd,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, David Willey, Wanindu Hasaranga, Mohammed Siraj, Vijaykumar Vyshak","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","RCB subs: Harshal Patel, Finn Allen, Akash Deep, Karn Sharma and Anuj Rawat.","RR subs: Donavon Ferreira, M Ashwin, Akash Vasisht, KM Asif and Abdul Basith.",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 23,2023",Rajasthan Royals have won the toss and have opted to field,Royal Challengers Bangalore won by 7 runs,Glenn Maxwell,RR,field,RCB,RR,Vijaykumar Vyshak, Sandeep Sharma,out,out,Good,undefined,mid-wicket,,"Catch out , hetmyer"
19.2," Sandeep Sharma to Karthik, out Caught by Buttler!! Karthik finds long-on. This is fuller and wider outside off, Karthik shuffles across on one knee and does not get the timing, picks out Buttler with a flat skimmer. Karthik c Buttler b Sandeep Sharma 16(13) [4s-2] ",1st Inns,32nd,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, David Willey, Wanindu Hasaranga, Mohammed Siraj, Vijaykumar Vyshak","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","RCB subs: Harshal Patel, Finn Allen, Akash Deep, Karn Sharma and Anuj Rawat.","RR subs: Donavon Ferreira, M Ashwin, Akash Vasisht, KM Asif and Abdul Basith.",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 23,2023",Rajasthan Royals have won the toss and have opted to field,Royal Challengers Bangalore won by 7 runs,Glenn Maxwell,RR,field,RCB,RR,Karthik, Sandeep Sharma,out,out,Full,wide,long-on,,"Catch out , buttler"
19.1," Sandeep Sharma to Karthik, FOUR, Sandeep Sharma misses the yorker, it's a half-volley outside off, Karthik stays deep and lofts over extra-cover, just clears him to his right ",1st Inns,32nd,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, David Willey, Wanindu Hasaranga, Mohammed Siraj, Vijaykumar Vyshak","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","RCB subs: Harshal Patel, Finn Allen, Akash Deep, Karn Sharma and Anuj Rawat.","RR subs: Donavon Ferreira, M Ashwin, Akash Vasisht, KM Asif and Abdul Basith.",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 23,2023",Rajasthan Royals have won the toss and have opted to field,Royal Challengers Bangalore won by 7 runs,Glenn Maxwell,RR,field,RCB,RR,Karthik, Sandeep Sharma,4,0,yorker,off side,cover,beaten,
19.1," Sandeep Sharma to Hasaranga, wide, out Hasaranga Run Out!! Another run-out as Karthik wants the strike. It is a short ball at Hasaranga, too short and left alone, they try a bye to Samson who misses with the under-arm flick, had he hit, Karthik was gone, Karthik and Hasaranga bump into each other and that's an easy run-out for Sandeep Sharma. Hasaranga run out (Samson/Sandeep Sharma) 6(7) ",1st Inns,32nd,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, David Willey, Wanindu Hasaranga, Mohammed Siraj, Vijaykumar Vyshak","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","RCB subs: Harshal Patel, Finn Allen, Akash Deep, Karn Sharma and Anuj Rawat.","RR subs: Donavon Ferreira, M Ashwin, Akash Vasisht, KM Asif and Abdul Basith.",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 23,2023",Rajasthan Royals have won the toss and have opted to field,Royal Challengers Bangalore won by 7 runs,Glenn Maxwell,RR,field,RCB,RR,Hasaranga, Sandeep Sharma,wide,1,Short,wide,,wide,
18.6," Chahal to Karthik, 2 runs, the legbreak is fraction short outside off, sliced cut with the bottom-hand coming off, Boult from sweeper cover gets across and cuts it off to save the four ",1st Inns,32nd,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, David Willey, Wanindu Hasaranga, Mohammed Siraj, Vijaykumar Vyshak","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","RCB subs: Harshal Patel, Finn Allen, Akash Deep, Karn Sharma and Anuj Rawat.","RR subs: Donavon Ferreira, M Ashwin, Akash Vasisht, KM Asif and Abdul Basith.",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 23,2023",Rajasthan Royals have won the toss and have opted to field,Royal Challengers Bangalore won by 7 runs,Glenn Maxwell,RR,field,RCB,RR,Karthik, Chahal,2,0,Short,off side,sweeper,cut shot,
18.5," Chahal to Hasaranga, 1 run, pushed through flat on a length outside off, flat-batted to long-on ",1st Inns,32nd,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, David Willey, Wanindu Hasaranga, Mohammed Siraj, Vijaykumar Vyshak","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","RCB subs: Harshal Patel, Finn Allen, Akash Deep, Karn Sharma and Anuj Rawat.","RR subs: Donavon Ferreira, M Ashwin, Akash Vasisht, KM Asif and Abdul Basith.",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 23,2023",Rajasthan Royals have won the toss and have opted to field,Royal Challengers Bangalore won by 7 runs,Glenn Maxwell,RR,field,RCB,RR,Hasaranga, Chahal,1,0,Good,off side,long-on,push shot,
18.5," Chahal to Hasaranga, wide, this is too wide outside off, Hasaranga lets it go and takes the wide ",1st Inns,32nd,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, David Willey, Wanindu Hasaranga, Mohammed Siraj, Vijaykumar Vyshak","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","RCB subs: Harshal Patel, Finn Allen, Akash Deep, Karn Sharma and Anuj Rawat.","RR subs: Donavon Ferreira, M Ashwin, Akash Vasisht, KM Asif and Abdul Basith.",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 23,2023",Rajasthan Royals have won the toss and have opted to field,Royal Challengers Bangalore won by 7 runs,Glenn Maxwell,RR,field,RCB,RR,Hasaranga, Chahal,wide,1,undefined,wide,,wide,
18.4," Chahal to Karthik, 1 run, tossed up on leg-stump, Karthik flicks to deep mid-wicket ",1st Inns,32nd,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, David Willey, Wanindu Hasaranga, Mohammed Siraj, Vijaykumar Vyshak","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","RCB subs: Harshal Patel, Finn Allen, Akash Deep, Karn Sharma and Anuj Rawat.","RR subs: Donavon Ferreira, M Ashwin, Akash Vasisht, KM Asif and Abdul Basith.",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 23,2023",Rajasthan Royals have won the toss and have opted to field,Royal Challengers Bangalore won by 7 runs,Glenn Maxwell,RR,field,RCB,RR,Karthik, Chahal,1,0,Full toss,leg side,mid-wicket,flick shot,
18.3," Chahal to Hasaranga, 1 run, thrown up wider outside off, Hasaranga comes down the track and drives to long-off ",1st Inns,32nd,Royal Challengers Bangalore,Rajasthan Royals,"Royal Challengers Bangalore (Playing XI): Virat Kohli(c), Faf du Plessis, Mahipal Lomror, Glenn Maxwell, Shahbaz Ahmed, Dinesh Karthik(w), Suyash Prabhudessai, David Willey, Wanindu Hasaranga, Mohammed Siraj, Vijaykumar Vyshak","Rajasthan Royals (Playing XI): Jos Buttler, Yashasvi Jaiswal, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Jason Holder, Trent Boult, Sandeep Sharma, Yuzvendra Chahal","RCB subs: Harshal Patel, Finn Allen, Akash Deep, Karn Sharma and Anuj Rawat.","RR subs: Donavon Ferreira, M Ashwin, Akash Vasisht, KM Asif and Abdul Basith.",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","Apr 23,2023",Rajasthan Royals have won the toss and have opted to field,Royal Challengers Bangalore won by 7 runs,Glenn Maxwell,RR,field,RCB,RR,Hasaranga, Chahal,1,0,undefined,wide,long-off,off drive,
