ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,out_type
10.4," Joshua Little to Padikkal, no run, Padikkal goes for the off-drive and mistimes to mid-off ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Padikkal, Joshua Little,0,0,undefined,undefined,mid-off,off drive,
10.3," Joshua Little to Hetmyer, 1 run, this time he punches this length delivery to mid-off ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Hetmyer, Joshua Little,1,0,Good,undefined,mid-off,,
10.2," Joshua Little to Hetmyer, no run, good length delivery, Hetmyer punches it to cover ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Hetmyer, Joshua Little,0,0,Good,undefined,cover,,
10.1," Joshua Little to Padikkal, 1 run, short of length delivery outside off stump, Padikkal guides it to third man ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Padikkal, Joshua Little,1,0,Short,off side,third man,,
9.6," Rashid Khan to Hetmyer, no run, full ball again, Hetmyer respects with a defence ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Hetmyer, Rashid Khan,0,0,Full,undefined,defence,,
9.5," Rashid Khan to Hetmyer, no run, googly from round the stumps, Hetmyer leans forward and defends off the outer half of the bat ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Hetmyer, Rashid Khan,0,0,undefined,undefined,,defend,
9.4," Rashid Khan to Padikkal, 1 run, flatter delivery, pushed to deep cover ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Padikkal, Rashid Khan,1,0,undefined,undefined,deep cover,push shot,
9.4," Rashid Khan to Padikkal, wide, fired down leg ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Padikkal, Rashid Khan,wide,1,undefined,wide,,wide,
9.3," Rashid Khan to Hetmyer, 1 run, leg-side ball, Hetmyer works it to deep mid-wicket ",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Hetmyer, Rashid Khan,1,0,undefined,undefined,mid-wicket,,
9.2,"Rashid Khan to Riyan Parag, out Lbw!! This was coming. Rashid not the easiest to read off the hand even if you are a modern day great. So he will fancy his chances v Riyan, which is why he wouldn't have been too unhappy about bowling a short ball for two than a single the previous ball. Googly from Rashid Khan, pitching just outside off stump, Riyan couldn't read it, played across the line, just sneaked past the inside edge to hit him in line with off stump. Ball-tracker shows ball smashing middle of middle stump, so the review too is gone for RR. The impact sub doesn't work. Unfortunately, Riyan was up against a giant. Brilliant captaincy from Hardik to not hold back Rashid for later and go for the kill. Riyan Parag lbw b Rashid Khan 4(6)",1st Inns,48t,Rajasthan Royals,Gujarat Titans,"Rajasthan Royals (Playing XI): Yashasvi Jaiswal, Jos Buttler, Sanju Samson(w/c), Devdutt Padikkal, Shimron Hetmyer, Dhruv Jurel, Ravichandran Ashwin, Trent Boult, Adam Zampa, Sandeep Sharma, Yuzvendra Chahal","Gujarat Titans (Playing XI): Wriddhiman Saha(w), Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Joshua Little","Rajasthan Royals Subs: Murugan Ashwin, Joe Root, Riyan Parag, Kuldip Yadav, KM Asif","Gujarat Titans Subs: Shubman Gill, Sai Sudharsan, Srikar Bharat, Shivam Mavi, Ravisrinivasan Sai Kishore",IPL,2023,"Sawai Mansingh Stadium,Jaipur","May 05,2023",Rajasthan Royals have won the toss and have opted to bat,Gujarat Titans won by 9 wkts,Rashid Khan,RR,bat,RR,GT,Riyan Parag,Rashid Khan,out,out,Short,off side,,edge,LBW
