ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line,ball_destination,shot_name,ball_speed,out_type
10.6," Himanshu Sharma to Shubman Gill, 1 run, 89.5kph, fuller and wider, driven down to long-off. 12 runs off the over! ",2nd Inns,70t,Royal Challengers Bangalore,Gujarat Titans,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Mahipal Lomror, Michael Bracewell, Anuj Rawat, Dinesh Karthik(w), Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Hardik Pandya(c), David Miller, Dasun Shanaka, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Yash Dayal","Royal Challengers Bangalore Subs: Himanshu Sharma, S Prabhudesai, Finn Allen, Sonu Yadav, Akash Deep","Gujarat Titans Subs: Vijay Shankar, KS Bharat, Shivam Mavi, Sai Kishore, Abhinav Manohar",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","May 21,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Shubman Gill,GT,field,GT,RCB,Shubman Gill, Himanshu Sharma,1,0,Full,wide,long-off,off drive,89.5,
10.5," Himanshu Sharma to Shubman Gill, FOUR, shot! Shubman Gill shimmies down, gets close to the pitch of the delivery and smashes the drive past extra cover. Speeds away to the fence ",2nd Inns,70t,Royal Challengers Bangalore,Gujarat Titans,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Mahipal Lomror, Michael Bracewell, Anuj Rawat, Dinesh Karthik(w), Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Hardik Pandya(c), David Miller, Dasun Shanaka, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Yash Dayal","Royal Challengers Bangalore Subs: Himanshu Sharma, S Prabhudesai, Finn Allen, Sonu Yadav, Akash Deep","Gujarat Titans Subs: Vijay Shankar, KS Bharat, Shivam Mavi, Sai Kishore, Abhinav Manohar",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","May 21,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Shubman Gill,GT,field,GT,RCB,Shubman Gill, Himanshu Sharma,4,0,undefined,undefined,extra cover,cover drive,,
10.4," Himanshu Sharma to Shankar, 1 run, 86.9kph, very full, driven along the ground to deep extra cover ",2nd Inns,70t,Royal Challengers Bangalore,Gujarat Titans,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Mahipal Lomror, Michael Bracewell, Anuj Rawat, Dinesh Karthik(w), Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Hardik Pandya(c), David Miller, Dasun Shanaka, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Yash Dayal","Royal Challengers Bangalore Subs: Himanshu Sharma, S Prabhudesai, Finn Allen, Sonu Yadav, Akash Deep","Gujarat Titans Subs: Vijay Shankar, KS Bharat, Shivam Mavi, Sai Kishore, Abhinav Manohar",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","May 21,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Shubman Gill,GT,field,GT,RCB,Shankar, Himanshu Sharma,1,0,Full,undefined,deep extra cover,cover drive,86.9,
10.3," Himanshu Sharma to Shankar, FOUR, slogged away and into the gap! 92.3kph, full delivery on middle, Shankar gets down on one leg and hammers it over mid-wicket. Splits the gap between deep mid-wicket and long-on ",2nd Inns,70t,Royal Challengers Bangalore,Gujarat Titans,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Mahipal Lomror, Michael Bracewell, Anuj Rawat, Dinesh Karthik(w), Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Hardik Pandya(c), David Miller, Dasun Shanaka, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Yash Dayal","Royal Challengers Bangalore Subs: Himanshu Sharma, S Prabhudesai, Finn Allen, Sonu Yadav, Akash Deep","Gujarat Titans Subs: Vijay Shankar, KS Bharat, Shivam Mavi, Sai Kishore, Abhinav Manohar",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","May 21,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Shubman Gill,GT,field,GT,RCB,Shankar, Himanshu Sharma,4,0,Full,stump line,mid-wicket,slog shot,92.3,
10.2," Himanshu Sharma to Shubman Gill, 1 run, 92.8kph, legbreak outside off, Gill waits and pats it towards point ",2nd Inns,70t,Royal Challengers Bangalore,Gujarat Titans,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Mahipal Lomror, Michael Bracewell, Anuj Rawat, Dinesh Karthik(w), Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Hardik Pandya(c), David Miller, Dasun Shanaka, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Yash Dayal","Royal Challengers Bangalore Subs: Himanshu Sharma, S Prabhudesai, Finn Allen, Sonu Yadav, Akash Deep","Gujarat Titans Subs: Vijay Shankar, KS Bharat, Shivam Mavi, Sai Kishore, Abhinav Manohar",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","May 21,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Shubman Gill,GT,field,GT,RCB,Shubman Gill, Himanshu Sharma,1,0,undefined,off side,point,,92.8,
10.1," Himanshu Sharma to Shankar, 1 run, 87.5kph, tossed up, full and outside off, lifted over extra cover for just a single. The man in the deep ran to his right and was quick to release the ball ",2nd Inns,70t,Royal Challengers Bangalore,Gujarat Titans,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Mahipal Lomror, Michael Bracewell, Anuj Rawat, Dinesh Karthik(w), Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Hardik Pandya(c), David Miller, Dasun Shanaka, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Yash Dayal","Royal Challengers Bangalore Subs: Himanshu Sharma, S Prabhudesai, Finn Allen, Sonu Yadav, Akash Deep","Gujarat Titans Subs: Vijay Shankar, KS Bharat, Shivam Mavi, Sai Kishore, Abhinav Manohar",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","May 21,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Shubman Gill,GT,field,GT,RCB,Shankar, Himanshu Sharma,1,0,Full toss,off side,extra cover,,87.5,
9.6," Harshal Patel to Shubman Gill, no run, 114ks bumper on the stumps, Shubman Gill decides to sit under that ",2nd Inns,70t,Royal Challengers Bangalore,Gujarat Titans,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Mahipal Lomror, Michael Bracewell, Anuj Rawat, Dinesh Karthik(w), Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Hardik Pandya(c), David Miller, Dasun Shanaka, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Yash Dayal","Royal Challengers Bangalore Subs: Himanshu Sharma, S Prabhudesai, Finn Allen, Sonu Yadav, Akash Deep","Gujarat Titans Subs: Vijay Shankar, KS Bharat, Shivam Mavi, Sai Kishore, Abhinav Manohar",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","May 21,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Shubman Gill,GT,field,GT,RCB,Shubman Gill, Harshal Patel,0,0,undefined,stump line,,,,
9.5," Harshal Patel to Shankar, 1 run, Harshal Patel goes for the slower ball and keeps it full on the stumps, Shankar squeezes it off the toe-end to long-on ",2nd Inns,70t,Royal Challengers Bangalore,Gujarat Titans,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Mahipal Lomror, Michael Bracewell, Anuj Rawat, Dinesh Karthik(w), Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Hardik Pandya(c), David Miller, Dasun Shanaka, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Yash Dayal","Royal Challengers Bangalore Subs: Himanshu Sharma, S Prabhudesai, Finn Allen, Sonu Yadav, Akash Deep","Gujarat Titans Subs: Vijay Shankar, KS Bharat, Shivam Mavi, Sai Kishore, Abhinav Manohar",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","May 21,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Shubman Gill,GT,field,GT,RCB,Shankar, Harshal Patel,1,0,Full,stump line,long-on,,,
9.4," Harshal Patel to Shankar, FOUR, where's that bat hiding Vijay Shankar? Change of bats and change of timing. Absolutely nailed it off the middle. Sat back to a length delivery and opened the bat face really late to cut it past the diving left hand of backward point ",2nd Inns,70t,Royal Challengers Bangalore,Gujarat Titans,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Mahipal Lomror, Michael Bracewell, Anuj Rawat, Dinesh Karthik(w), Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Hardik Pandya(c), David Miller, Dasun Shanaka, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Yash Dayal","Royal Challengers Bangalore Subs: Himanshu Sharma, S Prabhudesai, Finn Allen, Sonu Yadav, Akash Deep","Gujarat Titans Subs: Vijay Shankar, KS Bharat, Shivam Mavi, Sai Kishore, Abhinav Manohar",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","May 21,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Shubman Gill,GT,field,GT,RCB,Shankar, Harshal Patel,4,0,Good,undefined,backward point,Cut,,
9.3," Harshal Patel to Shubman Gill, 1 run, 138ks tad fuller outside off, Shubman Gill pushes it to the left of cover and hares across for a quick single ",2nd Inns,70t,Royal Challengers Bangalore,Gujarat Titans,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Mahipal Lomror, Michael Bracewell, Anuj Rawat, Dinesh Karthik(w), Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Hardik Pandya(c), David Miller, Dasun Shanaka, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Yash Dayal","Royal Challengers Bangalore Subs: Himanshu Sharma, S Prabhudesai, Finn Allen, Sonu Yadav, Akash Deep","Gujarat Titans Subs: Vijay Shankar, KS Bharat, Shivam Mavi, Sai Kishore, Abhinav Manohar",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","May 21,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Shubman Gill,GT,field,GT,RCB,Shubman Gill, Harshal Patel,1,0,Full,off side,cover,push shot,,
9.2," Harshal Patel to Shubman Gill, no run, 119ks slower back of a length delivery outside off, Shubman Gill punches crisply but can't get it past the fielder at extra cover ",2nd Inns,70t,Royal Challengers Bangalore,Gujarat Titans,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Mahipal Lomror, Michael Bracewell, Anuj Rawat, Dinesh Karthik(w), Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Hardik Pandya(c), David Miller, Dasun Shanaka, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Yash Dayal","Royal Challengers Bangalore Subs: Himanshu Sharma, S Prabhudesai, Finn Allen, Sonu Yadav, Akash Deep","Gujarat Titans Subs: Vijay Shankar, KS Bharat, Shivam Mavi, Sai Kishore, Abhinav Manohar",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","May 21,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Shubman Gill,GT,field,GT,RCB,Shubman Gill, Harshal Patel,0,0,Back of Length,off side,extra cover,,,
9.1," Harshal Patel to Shubman Gill, no run, 131ks full and just outside off, Shubman Gill jams it off the bottom half into the surface ",2nd Inns,70t,Royal Challengers Bangalore,Gujarat Titans,"Royal Challengers Bangalore (Playing XI): Virat Kohli, Faf du Plessis(c), Glenn Maxwell, Mahipal Lomror, Michael Bracewell, Anuj Rawat, Dinesh Karthik(w), Harshal Patel, Wayne Parnell, Mohammed Siraj, Vijaykumar Vyshak","Gujarat Titans (Playing XI): Shubman Gill, Wriddhiman Saha(w), Hardik Pandya(c), David Miller, Dasun Shanaka, Rahul Tewatia, Rashid Khan, Mohit Sharma, Noor Ahmad, Mohammed Shami, Yash Dayal","Royal Challengers Bangalore Subs: Himanshu Sharma, S Prabhudesai, Finn Allen, Sonu Yadav, Akash Deep","Gujarat Titans Subs: Vijay Shankar, KS Bharat, Shivam Mavi, Sai Kishore, Abhinav Manohar",IPL,2023,"M.Chinnaswamy Stadium,Bengaluru","May 21,2023",Gujarat Titans have won the toss and have opted to field,Gujarat Titans won by 6 wkts,Shubman Gill,GT,field,GT,RCB,Shubman Gill, Harshal Patel,0,0,Full,off side,,,,
