ball,Commentary Text,innings,match_no,team_a,team_b,team_a_11,team_b_11,team_a_subs,team_b_subs,series,season,venue,date,toss,win,man_of_the_match,Toss_winner,toss_chosen,batting_team,bowling_team,Batsman,Bowler,runs,extra,ball_length,ball_line
18.1," Joshua Little to Arjun Tendulkar, 1 run, back of length onto the ribs, Tendulkar tickles it to fine leg ",2nd Inns,35t,Gujarat Titans,Mumbai Indians,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Kumar Kartikeya, Arjun Tendulkar, Riley Meredith, Piyush Chawla, Jason Behrendorff","Gujarat Titans subs: Joshua Little, Dasun Shanaka, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat","Mumbai Indians subs: Ramandeep Singh, Tilak Varma, Shams Mulani, Vishnu Vinod, Sandeep Warrier",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 25,2023",Mumbai Indians have won the toss and have opted to field,Gujarat Titans won by 55 runs,Abhinav Manohar,MI,field,MI,GT,Arjun Tendulkar, Joshua Little,1,0,Back of Length,undefined
17.6," Mohit Sharma to Arjun Tendulkar, 1 run, full outside off, Tendulkar gets a thick outer edge to the left of Noor Ahmed at short third. Single to retain strike ",2nd Inns,35t,Gujarat Titans,Mumbai Indians,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Kumar Kartikeya, Arjun Tendulkar, Riley Meredith, Piyush Chawla, Jason Behrendorff","Gujarat Titans subs: Joshua Little, Dasun Shanaka, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat","Mumbai Indians subs: Ramandeep Singh, Tilak Varma, Shams Mulani, Vishnu Vinod, Sandeep Warrier",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 25,2023",Mumbai Indians have won the toss and have opted to field,Gujarat Titans won by 55 runs,Abhinav Manohar,MI,field,MI,GT,Arjun Tendulkar, Mohit Sharma,1,0,Full,off side
17.5," Mohit Sharma to Behrendorff, 1 run, back of length and offers no pace again. Pushed towards point ",2nd Inns,35t,Gujarat Titans,Mumbai Indians,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Kumar Kartikeya, Arjun Tendulkar, Riley Meredith, Piyush Chawla, Jason Behrendorff","Gujarat Titans subs: Joshua Little, Dasun Shanaka, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat","Mumbai Indians subs: Ramandeep Singh, Tilak Varma, Shams Mulani, Vishnu Vinod, Sandeep Warrier",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 25,2023",Mumbai Indians have won the toss and have opted to field,Gujarat Titans won by 55 runs,Abhinav Manohar,MI,field,MI,GT,Behrendorff, Mohit Sharma,1,0,Back of Length,undefined
17.4,"Mohit Sharma to Nehal Wadhera, out Caught by Shami!! Slower delivery on off, Wadhera shuffled across to scoop it away but once again the lack of pace means he can get no timing. Goes tamely towards Shami at short fine. Nehal Wadhera c Shami b Mohit Sharma 40(21) [4s-3 6s-3]",2nd Inns,35t,Gujarat Titans,Mumbai Indians,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Kumar Kartikeya, Arjun Tendulkar, Riley Meredith, Piyush Chawla, Jason Behrendorff","Gujarat Titans subs: Joshua Little, Dasun Shanaka, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat","Mumbai Indians subs: Ramandeep Singh, Tilak Varma, Shams Mulani, Vishnu Vinod, Sandeep Warrier",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 25,2023",Mumbai Indians have won the toss and have opted to field,Gujarat Titans won by 55 runs,Abhinav Manohar,MI,field,MI,GT,Nehal Wadhera,Mohit Sharma,out,out,Short,off side
17.3," Mohit Sharma to Arjun Tendulkar, 1 run, full on off, pushed towards the sweeper. First runs for Arjun Tendulkar in the IPL. ",2nd Inns,35t,Gujarat Titans,Mumbai Indians,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Kumar Kartikeya, Arjun Tendulkar, Riley Meredith, Piyush Chawla, Jason Behrendorff","Gujarat Titans subs: Joshua Little, Dasun Shanaka, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat","Mumbai Indians subs: Ramandeep Singh, Tilak Varma, Shams Mulani, Vishnu Vinod, Sandeep Warrier",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 25,2023",Mumbai Indians have won the toss and have opted to field,Gujarat Titans won by 55 runs,Abhinav Manohar,MI,field,MI,GT,Arjun Tendulkar, Mohit Sharma,1,0,Full,off side
17.2,"Mohit Sharma to Nehal Wadhera, 1 run, short of length onto leg, clipped towards deep square. Wadhera stayed in his crease but eventually took the single as Tendulkar kept running",2nd Inns,35t,Gujarat Titans,Mumbai Indians,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Kumar Kartikeya, Arjun Tendulkar, Riley Meredith, Piyush Chawla, Jason Behrendorff","Gujarat Titans subs: Joshua Little, Dasun Shanaka, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat","Mumbai Indians subs: Ramandeep Singh, Tilak Varma, Shams Mulani, Vishnu Vinod, Sandeep Warrier",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 25,2023",Mumbai Indians have won the toss and have opted to field,Gujarat Titans won by 55 runs,Abhinav Manohar,MI,field,MI,GT,Nehal Wadhera,Mohit Sharma,1,0,Short,undefined
17.1,"Mohit Sharma to Chawla, out Chawla Run Out!! Slower delivery outside off, left alone thinking it may be called wide. Don't know why but non-striker Wadhera started running for the bye, despite Saha making a clean gather. He then tells Chawla to get out his crease. The veteran sacrifices his wicket. Wadhera wanted strike and hence tried to steal a bye but Chawla pays the price Chawla run out (Saha/Mohit Sharma) 18(12) [4s-1 6s-1]",2nd Inns,35t,Gujarat Titans,Mumbai Indians,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Kumar Kartikeya, Arjun Tendulkar, Riley Meredith, Piyush Chawla, Jason Behrendorff","Gujarat Titans subs: Joshua Little, Dasun Shanaka, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat","Mumbai Indians subs: Ramandeep Singh, Tilak Varma, Shams Mulani, Vishnu Vinod, Sandeep Warrier",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 25,2023",Mumbai Indians have won the toss and have opted to field,Gujarat Titans won by 55 runs,Abhinav Manohar,MI,field,MI,GT,Chawla,Mohit Sharma,out,out,undefined,off side
16.6," Shami to Nehal Wadhera, FOUR, yorker length again, Wadhera drives towards mid-off where Pandya makes a meal of it. Gifts a boundary to MI ",2nd Inns,35t,Gujarat Titans,Mumbai Indians,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Kumar Kartikeya, Arjun Tendulkar, Riley Meredith, Piyush Chawla, Jason Behrendorff","Gujarat Titans subs: Joshua Little, Dasun Shanaka, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat","Mumbai Indians subs: Ramandeep Singh, Tilak Varma, Shams Mulani, Vishnu Vinod, Sandeep Warrier",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 25,2023",Mumbai Indians have won the toss and have opted to field,Gujarat Titans won by 55 runs,Abhinav Manohar,MI,field,MI,GT,Nehal Wadhera, Shami,4,0,yorker,undefined
16.5," Shami to Chawla, 1 run, short onto middle and leg, Chawla with an aimless swipe that falls exactly between covers, backward point and sweeper cover ",2nd Inns,35t,Gujarat Titans,Mumbai Indians,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Kumar Kartikeya, Arjun Tendulkar, Riley Meredith, Piyush Chawla, Jason Behrendorff","Gujarat Titans subs: Joshua Little, Dasun Shanaka, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat","Mumbai Indians subs: Ramandeep Singh, Tilak Varma, Shams Mulani, Vishnu Vinod, Sandeep Warrier",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 25,2023",Mumbai Indians have won the toss and have opted to field,Gujarat Titans won by 55 runs,Abhinav Manohar,MI,field,MI,GT,Chawla, Shami,1,0,Short,undefined
16.4," Shami to Chawla, no run, yorker, right in the blockhole!! Chawla blocks it out ",2nd Inns,35t,Gujarat Titans,Mumbai Indians,"Gujarat Titans (Playing XI): Wriddhiman Saha(w), Shubman Gill, Hardik Pandya(c), Vijay Shankar, David Miller, Abhinav Manohar, Rahul Tewatia, Rashid Khan, Mohammed Shami, Noor Ahmad, Mohit Sharma","Mumbai Indians (Playing XI): Rohit Sharma(c), Ishan Kishan(w), Cameron Green, Suryakumar Yadav, Tim David, Nehal Wadhera, Kumar Kartikeya, Arjun Tendulkar, Riley Meredith, Piyush Chawla, Jason Behrendorff","Gujarat Titans subs: Joshua Little, Dasun Shanaka, Shivam Mavi, Ravisrinivasan Sai Kishore, Srikar Bharat","Mumbai Indians subs: Ramandeep Singh, Tilak Varma, Shams Mulani, Vishnu Vinod, Sandeep Warrier",IPL,2023,"Narendra Modi Stadium,Ahmedabad","Apr 25,2023",Mumbai Indians have won the toss and have opted to field,Gujarat Titans won by 55 runs,Abhinav Manohar,MI,field,MI,GT,Chawla, Shami,0,0,yorker,undefined
